Title,Author,ISBN,Local Price,Price (USD),Condition,Platform,Territory,URL
Literature Books,,9780226768687,EGP 10,0.21,,Flipkart (IN),Egypt,"https://www.flipkart.com/books/literature-books/pr?sid=bks,w4n&q=University+of+Chicago+Press&otracker=categorytree"
Healthy Living And Wellness Books,,9780226296937,EGP 10,0.21,,Flipkart (IN),Egypt,"https://www.flipkart.com/books/healthy-living-and-wellness-books/pr?sid=bks,4z4&q=University+of+Chicago+Press&otracker=categorytree"
The Chicago Manual of Style: Buy The Chicago Manual of Style by University of Chicago Press at Low Price in India,,,EGP 14,0.3,,Flipkart (IN),Egypt,https://www.flipkart.com/chicago-manual-style/p/itmfbqtnpmpwmqfw?pid=9780226104034&lid=LSTBOK9780226104034INQK1K&marketplace=FLIPKART&hl_lid=&q=University+of+Chicago+Press&store=bks&ctx=eyJkZWxpdmVyZWRCeSI6IiIsImRpc3BsYXlQcmljZSI6IjMyNjcifQ==&fm=eyJ3dHAiOiJwcm9kdWN0Q2FyZExpc3QiLCJwcnB0Ijoic3AiLCJtaWQiOiJQUk9EVUNUIn0
Amazon.com.br : University of Chicago Press,,,30,0.36,,Amazon Brazil,Peru,https://www.amazon.com.br/s?k=University+of+Chicago+Press&rh=p_n_publication_date%3A5560469011&dc&qid=1782667335&rnid=5560468011&ref=sr_rib_m_web_fi_1_6_a_p_n_publication_date_5560469011_0&ds=v1%3Aob4JLNVqmkj8xlhPpeabxaXQlQECv3qTfdIwrQcF9vM
"The Chicago Manual of Style, 17th Edition: Buy The Chicago Manual of Style, 17th Edition by The University of Chicago Press Editorial Staff at Low Price in India",,,EGP 17,0.36,,Flipkart (IN),Egypt,https://www.flipkart.com/chicago-manual-style-17th/p/itm2f252b7258e0d?pid=9780226287058&lid=LSTBOK9780226287058FELGYQ&marketplace=FLIPKART&hl_lid=&q=University+of+Chicago+Press&store=bks&ctx=eyJkZWxpdmVyZWRCeSI6IiIsImRpc3BsYXlQcmljZSI6IjYxMDMifQ==&fm=eyJ3dHAiOiJwcm9kdWN0Q2FyZExpc3QiLCJwcnB0Ijoic3AiLCJtaWQiOiJQUk9EVUNUIn0
Amazon.sg : University of Chicago Press,,,30,0.36,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_n_publication_date%3A6439959051&dc&qid=1782666994&rnid=6439944051&ref=sr_rib_m_web_fi_0_4_a_p_n_publication_date_6439959051_0&ds=v1%3A0fdrXYQXJLciDluzJV9SfQrWRVJPNPxqFqpZys2qE2U
Amazon.sg : University of Chicago Press,,,30,0.36,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_n_publication_date%3A6439960051&dc&qid=1782666994&rnid=6439944051&ref=sr_rib_m_web_fi_0_4_a_p_n_publication_date_6439960051_1&ds=v1%3A7DfJPixx9PZOdELQp8E6Pb4anjBFK1BcTd4zSAg1%2FAE
Amazon.sg : University of Chicago Press,,,30,0.36,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_n_publication_date%3A6439961051&dc&qid=1782666994&rnid=6439944051&ref=sr_rib_m_web_fi_0_4_a_p_n_publication_date_6439961051_2&ds=v1%3AKbe9YLzRZ4MXiOdCG3Ni7uCjR6xjfyt4cBp7lrOB6kY
Amazon.sg : University of Chicago Press,,,30,0.36,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_n_publication_date%3A6439959051&dc&qid=1782667339&rnid=6439944051&ref=sr_rib_m_web_fi_0_4_a_p_n_publication_date_6439959051_0&ds=v1%3AsUbkGlFKjiMyqhMlQ8%2BTkQ07CtryeBY39Hu%2B8X%2BZFBs
Amazon.sg : University of Chicago Press,,,30,0.36,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_n_publication_date%3A6439960051&dc&qid=1782667339&rnid=6439944051&ref=sr_rib_m_web_fi_0_4_a_p_n_publication_date_6439960051_1&ds=v1%3AUhBPhppbI70ILR7%2Be9r3ZX4Ugay0424qS5dx%2Brur5gk
Amazon.sg : University of Chicago Press,,,30,0.36,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_n_publication_date%3A6439961051&dc&qid=1782667339&rnid=6439944051&ref=sr_rib_m_web_fi_0_4_a_p_n_publication_date_6439961051_2&ds=v1%3AS9momYZOSySmJ4gVsmF%2Byy7P9E7OL7Wfo6jXXV0LekU
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_n_deal_type%3A10343599051&dc&qid=1782666994&rnid=10343596051&ref=sr_rib_m_web_fi_0_1_a_p_n_deal_type_10343599051_0&ds=v1%3AdpI3W9BMVOZsskf8pfxf3PTHVgBz5Lnl%2F2rBAN3tHzg
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_n_deal_type%3A10343597051&dc&qid=1782666994&rnid=10343596051&ref=sr_rib_m_web_fi_0_1_a_p_n_deal_type_10343597051_1&ds=v1%3Aq%2BYj7ZmDwaPt57p%2BU6xRokXUhk5ZnuM2hnVKcdmHiF8
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_36%3A-4000&dc&qid=1782666994&rnid=6469114051&ref=sr_rib_m_web_fi_0_2_a_p_36_dynamic-picker-0_0&ds=v1%3ARAHBTc8FKhc2Zp3j2Gq62D2lnn2jztxUGGmsWfv%2BSwY
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_36%3A4000-5000&dc&qid=1782666994&rnid=6469114051&ref=sr_rib_m_web_fi_0_2_a_p_36_dynamic-picker-1_1&ds=v1%3Amen0Q3BMM8hv2SheazKGlSLw0C29WQPHMY23TudpJQ0
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_36%3A5000-8000&dc&qid=1782666994&rnid=6469114051&ref=sr_rib_m_web_fi_0_2_a_p_36_dynamic-picker-2_2&ds=v1%3A9NpGEs6nEFhxT7lnuiv8xiWca87JCKaUPKevPQQ7gJI
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_36%3A8000-&dc&qid=1782666994&rnid=6469114051&ref=sr_rib_m_web_fi_0_2_a_p_36_dynamic-picker-3_3&ds=v1%3AYfLD3F9X79Q8IUSIAW9W1URThOH0mpgz1xBOHyG29K0
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_n_deal_type%3A10343599051&dc&qid=1782667339&rnid=10343596051&ref=sr_rib_m_web_fi_0_1_a_p_n_deal_type_10343599051_0&ds=v1%3AbbMGjuVaV6fOnwSl%2BSkbrwiGtxJhRGl4B2HDGbRzY50
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_n_deal_type%3A10343597051&dc&qid=1782667339&rnid=10343596051&ref=sr_rib_m_web_fi_0_1_a_p_n_deal_type_10343597051_1&ds=v1%3AqtEaG4RXDycHPaXS8A4xPpcIxWkXwBOqAfzlQ9TUHUQ
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_36%3A-4000&dc&qid=1782667339&rnid=6469114051&ref=sr_rib_m_web_fi_0_2_a_p_36_dynamic-picker-0_0&ds=v1%3AST%2Fkfo7azoAHF0VAmxQ9T9RTL%2Bxjk3TbR38qYgCO%2FQ4
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_36%3A4000-5000&dc&qid=1782667339&rnid=6469114051&ref=sr_rib_m_web_fi_0_2_a_p_36_dynamic-picker-1_1&ds=v1%3ACHGg%2F3oaNhreSgTMQY%2BpJcYoGsBnOmu4WmR9wne3Fuc
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_36%3A5000-8000&dc&qid=1782667339&rnid=6469114051&ref=sr_rib_m_web_fi_0_2_a_p_36_dynamic-picker-2_2&ds=v1%3AnNLPiTEtUmgieJUGBMF2OpYOQYfkGqn9jRPgW0NdJww
Amazon.sg : University of Chicago Press,,,40,0.48,,Amazon Singapore,Nigeria,https://www.amazon.sg/s?k=University+of+Chicago+Press&rh=p_36%3A8000-&dc&qid=1782667339&rnid=6469114051&ref=sr_rib_m_web_fi_0_2_a_p_36_dynamic-picker-3_3&ds=v1%3AfT8NnWuQjQwc3t5AUnApBAPXnB9Q2jUogajSQ5qDXyk
