country,source_surface,source_class,evidence_type,observed_fact,governance_note,url
Denmark,Boghandlerforeningen + Bogbrancheguiden / Bog & idé chain locator,association-anchor + chain-locator/private-directory fallback,probe_summary,Boghandlerforeningen is the Danish booksellers trade association; the current site confirms trade-association scope and membership via bookshop number but no current public member/location directory was confirmed. Bogbrancheguiden states there are 'godt 200 boghandler i Danmark' and links 'Find boghandler'; Bog & idé exposes a chain store locator and store profile pages.,"Do not treat as registry-grade. Probe the historical/current find-boghandler URL, then chain locators (Bog & idé, Arnold Busck remnants if relevant) as supplemental surfaces; private directories like Krak/De Gule Sider remain fallback only.",https://www.boghandlerforeningen.dk/
Denmark,secondary corroborating or supplemental surface,association-anchor + chain-locator/private-directory fallback,secondary_surface,"Secondary/supporting source surface identified for later crawl, count reconciliation, or role-boundary handling.",Do not promote secondary/fallback surfaces over primary authority.,https://bogbrancheguiden.dk/nyttige-links/
Norway,Den norske Bokhandlerforening,association-anchor/statutory member-definition + online-member list,probe_summary,"Bokhandlerforeningen describes itself as the interest organization for all Norwegian bookstores. Statutes define members to include main bookshop, branch, online bookseller, textbook branch, or niche bookshop; a separate page lists online bookseller members.","No complete public physical-store roster confirmed. Use as authority anchor and taxonomy; harvest online-member list separately; later test chain locators (ARK, Norli, independent groups) as supplemental entity surfaces.",https://bokhandlerforeningen.no/
Norway,secondary corroborating or supplemental surface,association-anchor/statutory member-definition + online-member list,secondary_surface,"Secondary/supporting source surface identified for later crawl, count reconciliation, or role-boundary handling.",Do not promote secondary/fallback surfaces over primary authority.,https://bokhandlerforeningen.no/om-oss-2/formal-og-lover/
Sweden,Svenska Bokhandlareföreningen — Hitta bokhandlare,member-grade/network-grade public bookstore directory,probe_summary,"The Swedish Booksellers Association operates a 'Hitta bokhandlare' page with searchable city field and visible bookstore rows; rows expose bookstore names and addresses. The association site describes its member-oriented role for Sweden's book, paper and office merchants.","Harvestable static public directory. Stage all rows, then classify bookstore vs paper/office hybrid where visible. Add chain overlays such as Akademibokhandeln separately.",https://booksellers.se/hitta-bokhandlare/
Sweden,secondary corroborating or supplemental surface,member-grade/network-grade public bookstore directory,secondary_surface,"Secondary/supporting source surface identified for later crawl, count reconciliation, or role-boundary handling.",Do not promote secondary/fallback surfaces over primary authority.,https://booksellers.se/
Finland,Kirjakauppaliitto,official association + statistical count surface,probe_summary,"Kirjakauppaliitto describes itself as the Finnish book and paper shops' interest organization. Its bookstore-count page provides category counts by year, including 2026 counts: general bookstores 122, market/department store 167, specialty bookstores 32, and defines bookstore as a separate shop-based bookstore including Akateeminen locations and mall bookstores.","High-value count/statistics surface, but no public member-row export confirmed. Use counts as audit control; harvest chain/profile surfaces separately if needed.",https://kirjakauppaliitto.fi/
Finland,secondary corroborating or supplemental surface,official association + statistical count surface,secondary_surface,"Secondary/supporting source surface identified for later crawl, count reconciliation, or role-boundary handling.",Do not promote secondary/fallback surfaces over primary authority.,https://kirjakauppaliitto.fi/kirjakauppojen-maara-suomessa/
Czechia,SČKN — Databáze členů SČKN,member-grade mixed publisher/bookseller/distributor directory,probe_summary,"SČKN exposes a public member database with company name, city, street/address, contact person, and detail links. European Booksellers Federation context says SČKN members include publishers, booksellers, distributors, and other entities with publishing departments; therefore the directory is valuable but mixed-role.",Harvest public member database into staging. Classify entity role before promoting bookstore rows. Preserve detail-page URLs and contact person as evidence fields.,https://www.sckn.cz/databaze-clenu-sckn/
Czechia,secondary corroborating or supplemental surface,member-grade mixed publisher/bookseller/distributor directory,secondary_surface,"Secondary/supporting source surface identified for later crawl, count reconciliation, or role-boundary handling.",Do not promote secondary/fallback surfaces over primary authority.,https://www.sckn.cz/
Slovenia,JAK RS campaign roster + Bralnica private directory,official campaign roster / private-directory fallback,probe_summary,JAK RS archive page for 'Vrnitev napisanih' says about 80 Slovenian bookstores joined the campaign and that the complete list is below; this is an official but campaign-specific/stale roster. Bralnica provides a private directory of Slovenian bookstores for new or used books.,"Stage as dated/campaign roster, not full national registry. Use Bralnica only as a private-directory supplement and reconcile against official/known bookstore chains.",https://www.jakrs.si/bralna-kultura/arhiv/vrnitev-napisanih
Slovenia,secondary corroborating or supplemental surface,official campaign roster / private-directory fallback,secondary_surface,"Secondary/supporting source surface identified for later crawl, count reconciliation, or role-boundary handling.",Do not promote secondary/fallback surfaces over primary authority.,https://www.bralnica.com/knjigarne/
