rank,macroregion,country_or_source,source_name,source_class,harvest_status,primary_url,validated_surface,extraction_plan,minimum_fields_to_map,typing_rules,caveats,next_probe
1,LATAM,Mexico,SIC Directorio de librerías y puntos de venta,registry-grade,probe_complete_raw_retry_needed,https://sic.cultura.gob.mx/datos.php?table=libreria,"SIC live national page reports 1,351 total Librerías; SIC state-count page reports 1,351 and the 32-state counts sum to 1,351. Open-data page exposes JSON/CSV/XML/metadata links and timestamp 2026-04-25 12:00:52. JSON endpoint opened in web tool and confirmed field structure; direct file persistence still requires retry in networked runtime.","Run included Mexico SIC harvester script to download JSON, CSV, XML, and metadata XLSX; compute file hashes and row counts; normalize JSON as primary, then compare CSV row count/hash. Use state-count ledger as current live count checkpoint.",country_or_territory; state; municipality; locality; entity_name; address; colonia; postal_code; phone1; phone2; email; website; latitude; longitude; source_modified; source_record_id; source_url,Set entity_role_primary from name/adscripcion; flag chain_branch for Sanborns/FCE/Educal/Gandhi-style branch names; flag religious_bookstore for Catholic/San Pablo/religious entities; flag stationery_hybrid only when name or adscripcion implies papelería/stationery.,"Current governed live count = 1,351. SIC all-resources category page separately shows 1,350 for Librerías y puntos de venta; preserve as unresolved source-surface mismatch. datos.gob.mx catalog resource is older/static with last data update 2025-05-10, metadata update 2025-05-27, size 537.4 KiB. Rows include chains/institutional sales points, blank-name row(s), 0.00000 coordinates, and 1000-01-01 sentinel dates.",Run harvester in networked runtime; ingest normalized CSV only after raw JSON/CSV counts and hashes are captured.
2,LATAM,Argentina,SInCA / Datos Argentina Mapa Cultural: Librerías,registry-grade,metadata_probe_complete_download_blocked_current_runtime,https://datos.gob.ar/dataset/cultura-mapa-cultural-espacios-culturales/archivo/cultura_ee6ec36e-e4f2-42a0-adb8-525f0cb93c87,"Datos Argentina and origin portal expose Librerías CSV resource; schema, format, annual frequency, creation date, and last-change date observed. Direct CSV URL identified but raw download blocked in current runtime.","Run included harvester in networked runtime; download direct CSV; compute row count, province distribution, update-year distribution; normalize while preserving categoria, fuente, tipo_gestion, actualizacion.",province; department; locality; entity_name; address; postal_code; phone_area; phone; email; website_or_social; latitude; longitude; coordinate_type; source; management_type; update_year,"Default bookstore=true; used_antiquarian=true only if name/source indicates used or antiquarian, despite definition including new and/or used; preserve public/private/mixed management as a separate field.","Official/open data but stale-sensitive: resource last change observed as 2022-05-03. Data explorer/preview unavailable; current runtime could not fetch raw CSV, so exact row count remains uncomputed.",Execute harvester externally or in a runtime with DNS access; write raw CSV + normalized CSV + QA counts/hashes; then spot-check stale rows.
3,Iberia,Spain,CEGAL / Todos tus libros,network-grade / registry-network,static_listing_probe_complete_full_harvest_needed,https://www.todostuslibros.com/librerias,"CEGAL official project page confirms TTL as sector platform; TTL /librerias exposes public associated-bookshop listing with profile pages; CEGAL Mapa de Librerías 2024|2025 reports 776 TTL platform bookstores and 2,754 independent bookstores in Spain; visible TTL pagination supports 776 via 32 pages with one row on the final page.","Run included Spain TTL harvester in networked runtime: crawl /librerias pages for profile URLs, then crawl /libreria/<slug>_<id> profiles for address/contact fields. Produce profile URL ledger, normalized profile CSV, raw HTML, row-count QA, and hash manifest. Keep title inventory/availability observations separate from store entities.",country; source_platform; source_owner; source_record_id; store_name; street_address; postal_code; city; province; phone; email; website; hours; source_profile_url; source_listing_page; platform_membership,"Default platform_membership=ttl_associated_bookshop. Treat source as network-grade, not government open data. Do not use CEGAL 2,754 Spain-wide independent-bookstore census as TTL row count. Flag hybrid/store-type only from source name or profile content, not by assumption.","No public bulk CSV/JSON export found in this probe. The 776 count is official-report plus static-pagination supported, but full raw crawl and hash ledger remain pending. Dynamic location and inventory widgets may expose additional signals but should not be mixed into the bookstore-entity table.","Run full polite paginated/profile crawl; verify unique profile URL count against 776; preserve raw HTML and profile-level hashes. If deferred, proceed to Poland OBK with Spain marked full_crawl_ready."
4,Europe,Poland,Ogólnopolska Baza Księgarń OBK,registry-grade,static_listing_probe_complete_full_harvest_needed,https://obk.pik.org.pl/,"OBK official surfaces verify registry-grade national bookstore base. Institute of Books describes OBK as free public database of Polish stationary bookstores with address, activity profile, website, and more, built from bookseller submissions. OBK statistics archive reports 1,592 locations and 921 independent at end-March 2026; homepage live counter observed 1,584 księgarnie and 83 klubokawiarnie. Search/listing pages expose filters, static rows, pagination, and row fields.","Run included OBK harvester in networked runtime: discover unfiltered listing route/API if present; crawl static /search pages and paginated variants; preserve raw HTML; parse row blocks for names, phones, hours, obfuscated email, websites, address/postal/city/voivodeship, map links, awards/certificates; reconcile unique rows against live counter and dated statistics.",country; source_name; source_class; source_record_id_if_found; store_name; chain_or_network_name; phone; hours; email_obfuscated; website; street_address; postal_code; city; voivodeship; map_url; awards_certificates; bookstore_type; assortment_profile; source_url,"Treat OBK as registry-grade. Preserve source chain/network labels. Keep independent/chain from source where exposed; otherwise infer only after known-chain audit. Keep used/antiquarian as overlay when type/assortment/name indicates antykwariat or used-book profile. Keep club-café as separate flag, not a bookstore replacement.","No public bulk CSV/JSON confirmed in this probe. Count signals conflict by context: dated statistics 1,592/921, homepage live counter 1,584 bookstores and 83 club-cafes, filtered search counts 249 and 425. Do not collapse until full crawl/API inspection.",Run full polite OBK crawl in networked runtime; identify canonical unfiltered listing; compute unique row count and split filtered overlays; preserve raw HTML and hash manifest.
5,Africa,South Africa,SA Booksellers bookshops member table,member-grade / industry-network directory,static_member_table_probe_complete_role_filter_needed,https://www.sabooksellers.com/bookshops/,"SA Booksellers /bookshops page exposes Current members table with header Bookstore, EmailAddress, FirstName, SAAddressLine1-4, SACity, SARegion, SAPostalCode, PhoneNumber. Parsed text line span 12-260 gives 249 raw row-like candidate lines, but the member table includes non-bookshop and noise rows.",Fetch and archive /bookshops/ HTML; parse Current members block; preserve raw rendered line and HTML block; use email as strong delimiter where present; extract terminal phone candidate; classify entity_role_primary before promotion; exclude accounting/noise artifacts; split head-office/branch cases; preserve publishers/distributors/platforms in member-grade side table.,country_or_territory; entity_name; raw_email; contact_person; raw_address; city; region; postal_code; raw_phone; entity_role_primary; role_flags; qa_status; source_url; source_line_or_order,Promote only true bookshop/bookseller/campus bookstore candidates after QA. Mark stationers and school/office suppliers as stationery_hybrid; publishers/presses/PASA/councils as publisher_or_institutional_member; distributors/logistics/services as non_store_book_trade; Takealot/Snapplify as online/platform; Head Office as branch_expansion_needed; Admin/Bank/Credit/Digital Payment/Transaction rows as exclude_noise.,"Not a clean national bookstore registry. It is a public SABA member table for the book trade and includes storefront bookstores, stationery hybrids, publishers, distributors, professional services, chain head offices, online platforms, and apparent accounting/noise artifacts. Raw candidate line count should not be cited as bookstore count.",Run harvester in networked runtime to capture raw HTML and parsed candidates; produce role-filtered staging table; then proceed to United States ABA/IndieBound endpoint probe.
6,North America,United States,ABA BookWeb / IndieBound,member-grade / network-grade,static_query_probe_complete_query_matrix_harvest_needed,https://www.bookweb.org/member_directory/search/ABAmember,"ABA BookWeb About page states support for over 3,200 independent bookstores; ABA member directory landing exposes bookstore/company name, city, state, and zip searches; BookWeb says ABA members appear on IndieBound locator. ABA static result pages expose query-specific counts and row fields. IndieBound finder supports ZIP/city/address plus optional public ownership identity filters and uses geocoding for closest-store lookup.","Run included ABA harvester in networked runtime: query BookWeb member-directory result pages by state/city and supplemental name-token routes; preserve raw HTML; parse linked name, external site, address, phone, description; dedupe by normalized name/address/website/phone; classify entity_role_primary before promotion. Use IndieBound only as locator/identity/geocoding overlay.",country; source_name; source_query_url; source_query_result_count; entity_name; website; street_address; city; state_or_region; postal_code; phone; description_raw; entity_role_primary; role_flags; source_url; identity_flags_public_opt_in,"Treat ABA directory as member/network authority, not a government registry. Distinguish physical bookstore_location, airport_branch, chain_branch, online_only_bookstore, mobile_pop_up_bookstore, planned bookstore, specialty comics/non-general bookstore, and review_needed. IndieBound ownership identity absence = unknown, not false.","No public bulk CSV/API confirmed. Query-specific counts observed: Chicago IL 55; name-token/letter o 429. ABA About count over 3,200 and Bookshop participation over 2,500 are context signals, not directory row counts. Directory rows mix physical, online-only, mobile/pop-up, airport branches, chain/concession rows, and malformed website values.",Run networked query-matrix harvest and dedupe/role QA; then proceed to Canada CIBA / IndieBookstores.ca probe.
7,North America,Canada,CIBA / IndieBookstores.ca,member-grade / network-grade,static_roster_profile_probe_complete_rendered_endpoint_harvest_needed,https://www.indiebookstores.ca/bookstores/,"CIBA member-directory landing confirms all CIBA Bookseller Members in good standing and member-supplied data, but static no-JS rows require JS/rendered/endpoint probe. CIBA eligibility confirms independent Canadian bookstores including traditional, pop-up, and mobile, one to ten locations, selling new books; secondhand/specialty eligible if ongoing new-book sales. IndieBookstores.ca is CIBA-owned and exposes bookstore finder/profile surfaces. Static CIBA member roster page says list represents CIBA Bookseller Members as of March 2025; visible counted roster captured 208 entries across 11 provinces/territories.","Run included Canada harvester in a networked/rendered runtime. Preserve March 2025 static CIBA roster as dated name/city/province checkpoint. Render/probe CIBA Wild Apricot member directory for member rows. Crawl IndieBookstores.ca /bookstores/ with Load More/filter endpoint discovery; follow /locations/<slug>/ profiles for full address, phone, website, events_url, amenities, and nearby-store graph. Dedupe and classify before promotion.",country; province_or_territory; city; entity_name; street_address_full; postal_code; phone; website; events_url; services_or_amenities; source_surface; source_list_date; profile_url; source_url; entity_role_primary; confidence,Default profile/listing rows to bookstore_location only when public address/profile supports it. Use chain_branch for named branches/local chains; mobile_pop_up_bookstore for mobile/pop-up; specialty_comics_or_non_general_bookstore for comics/collectibles; specialty_store_with_books for non-book-primary member stores; online_only_or_no_public_storefront when no public street-front evidence; review_needed for ambiguous rows.,No public bulk CSV/API confirmed. CIBA directory rows require JavaScript/rendered or endpoint extraction. Static CIBA roster is dated March 2025 and names/cities only. The more-than-200 wording is not a clean store-row count. IndieBookstores finder may include non-CIBA indie bookstores and CIBA stores with richer profiles; preserve source surfaces separately.,Run rendered/endpoint probe for IndieBookstores.ca Load More/store JSON and CIBA Wild Apricot directory; reconcile live profile list against March 2025 static roster.
8,Oceania,Australia,BookPeople / Love Your Bookshop Find a Bookshop,member-grade / network-grade,profile_probe_complete_store_crawl_needed,https://loveyourbookshop.org.au/find-a-bookshop/,"ABA/Love Your Bookshop about page confirms national industry-body role and bookshop-support mandate; Find a Bookshop exposes public category filters; store profiles expose name, description, address or Online only, email, phone, website, gift-card/voucher and guide-stockist flags; ABA/Membes member form exposes directory taxonomy, store category and opt-in governance fields.","Run included Australia harvester in a networked runtime. Probe WordPress sitemaps and REST routes; crawl /store/<slug>/ profile pages; preserve raw HTML and parse profile fields. Stage every row, then classify physical bookstore_location vs online_only_bookstore vs used_antiquarian/specialist/chain/review_needed before promotion.",country; source_name; entity_name; description_raw; street_address_full; locality; state_or_territory; postal_code; online_only_flag; email; phone; website; stockist_flags; gift_card_flags; voucher_flags; source_url; entity_role_primary; role_flags,"Default physical profiles with address to bookstore_location. Mark explicit Online only as online_only_bookstore. Mark secondhand/antiquarian/used from description or category flags. Use chain_branch only from branch/brand evidence. Preserve specialist categories and gift-card/voucher flags as enrichments, not identity proof.","No public bulk CSV/API confirmed. Finder UI itself exposes filters but not all rows in no-JS text. Some member profiles are online-only, secondhand/antiquarian, specialist, chains/franchises, or hybrid stores. Do not infer a national count before complete profile crawl/deduplication.",Run networked sitemap/REST/profile crawl and compare discovered profile count against finder/category filters; then proceed to New Zealand BookHub.
9,Oceania,New Zealand,Booksellers Aotearoa / BookHub,registry/network,needs_circlepos_probe,https://bookhub.co.nz/,BookHub is presented by Booksellers Aotearoa NZ and exposes member bookshop/inventory surfaces; its About page states it brings together shelves of 70+ independent bookshops.,"Identify store pages, stock/find-store payloads and CircleSoft/CirclePOS endpoints; separate store entity rows from stock-by-title observations.",store_name; city/suburb; profile_url; inventory_enabled; stock_count_signals; website; source_layer,"Default independent/member network; keep BookHub inventory rows as observations linked to store entities, not standalone stores.","BookHub is an inventory-commerce network, not a national statutory registry; storefront coverage may be smaller than all NZ booksellers.",Probe BookHub store/profile index; inspect Find Store calls for API shape.
10,East Asia,Japan,e-hon bookstore network + Nihon no Furuhon-ya/Kosho,network + used-antiquarian overlay,split_probe_required,https://www.e-hon.ne.jp/bec/SF/Search,e-hon exposes bookstore-network search for pickup/receiving bookstores; Kosho/Nihon no Furuhon-ya is operated by old-book dealer associations and describes affiliated old-book stores/dealers.,"Split into two manifests: new-book/pickup bookstore network from e-hon, and used/antiquarian overlay from Kosho. Probe prefecture search and dealer/store info pages separately.",store_name; prefecture; municipality; address; source_layer; pickup_network_flag; used_antiquarian_flag; association_affiliation; profile_url,"For e-hon, avoid marking pickup-only partners as full bookstores unless store profile confirms retail bookstore. For Kosho, flag used_antiquarian=true and keep separate from new-book retail.",Japan lane is rich but not one clean registry. New-book/pickup and old-book dealer ecosystems need separate counts and dedupe later.,Run Tokyo-prefecture e-hon scrape dry test; run Kosho dealer listing probe; design dedupe key.
