rank,macroregion,country_or_source,source_name,source_class,harvest_status,primary_url,validated_surface,extraction_plan,minimum_fields_to_map,typing_rules,caveats,next_probe
1,LATAM,Mexico,SIC Directorio de librerías y puntos de venta,registry-grade,probe_complete_raw_retry_needed,https://sic.cultura.gob.mx/datos.php?table=libreria,"SIC live national page reports 1,351 total Librerías; SIC state-count page reports 1,351 and the 32-state counts sum to 1,351. Open-data page exposes JSON/CSV/XML/metadata links and timestamp 2026-04-25 12:00:52. JSON endpoint opened in web tool and confirmed field structure; direct file persistence still requires retry in networked runtime.","Run included Mexico SIC harvester script to download JSON, CSV, XML, and metadata XLSX; compute file hashes and row counts; normalize JSON as primary, then compare CSV row count/hash. Use state-count ledger as current live count checkpoint.",country_or_territory; state; municipality; locality; entity_name; address; colonia; postal_code; phone1; phone2; email; website; latitude; longitude; source_modified; source_record_id; source_url,Set entity_role_primary from name/adscripcion; flag chain_branch for Sanborns/FCE/Educal/Gandhi-style branch names; flag religious_bookstore for Catholic/San Pablo/religious entities; flag stationery_hybrid only when name or adscripcion implies papelería/stationery.,"Current governed live count = 1,351. SIC all-resources category page separately shows 1,350 for Librerías y puntos de venta; preserve as unresolved source-surface mismatch. datos.gob.mx catalog resource is older/static with last data update 2025-05-10, metadata update 2025-05-27, size 537.4 KiB. Rows include chains/institutional sales points, blank-name row(s), 0.00000 coordinates, and 1000-01-01 sentinel dates.",Run harvester in networked runtime; ingest normalized CSV only after raw JSON/CSV counts and hashes are captured.
2,LATAM,Argentina,SInCA / Datos Argentina Mapa Cultural: Librerías,registry-grade,metadata_probe_complete_download_blocked_current_runtime,https://datos.gob.ar/dataset/cultura-mapa-cultural-espacios-culturales/archivo/cultura_ee6ec36e-e4f2-42a0-adb8-525f0cb93c87,"Datos Argentina and origin portal expose Librerías CSV resource; schema, format, annual frequency, creation date, and last-change date observed. Direct CSV URL identified but raw download blocked in current runtime.","Run included harvester in networked runtime; download direct CSV; compute row count, province distribution, update-year distribution; normalize while preserving categoria, fuente, tipo_gestion, actualizacion.",province; department; locality; entity_name; address; postal_code; phone_area; phone; email; website_or_social; latitude; longitude; coordinate_type; source; management_type; update_year,"Default bookstore=true; used_antiquarian=true only if name/source indicates used or antiquarian, despite definition including new and/or used; preserve public/private/mixed management as a separate field.","Official/open data but stale-sensitive: resource last change observed as 2022-05-03. Data explorer/preview unavailable; current runtime could not fetch raw CSV, so exact row count remains uncomputed.",Execute harvester externally or in a runtime with DNS access; write raw CSV + normalized CSV + QA counts/hashes; then spot-check stale rows.
3,Iberia,Spain,CEGAL / Todos tus libros,registry/network,needs_dynamic_probe,https://www.todostuslibros.com/librerias,"CEGAL and Todos tus libros provide a high-quality independent bookstore platform; CEGAL states around 1,100 bookstores and TTL has a location/store-availability flow.","Probe static pages, embedded JSON, sitemap, and search endpoints; if dynamic geolocation blocks full pull, build city/province crawl with polite throttling.",store_name; address; city; province; postal_code; website; commerce_enabled; pickup_or_shipping_capability; inventory_availability_signal; association/source link,Default independent bookstore/network member; do not merge inventory-only availability rows into store entities; keep store network and title-stock observations separate.,May require dynamic requests and location parameters. Commerce/inventory layer is not identical to a complete store registry.,Identify store endpoint/API or sitemap; run one-province dry crawl; compare with CEGAL association counts.
4,Europe,Poland,Ogólnopolska Baza Księgarń OBK,registry-grade,needs_scrape_probe,https://obk.pik.org.pl/,"OBK is a public national base for Polish stationary bookstores; current public page reports 1,592 registered locations at end of March, 921 independent.",Inspect OBK frontend/API/network calls; scrape store profiles if accessible; preserve independent vs chain classification from source where available.,store_name; address; city; voivodeship; website; profile/type; independent_or_chain; source_record_id; source_url,Use source independent/chain status if present; otherwise derive chain_branch only from known chain names after source classification.,Counts are source-reported and date-specific. Need exact row scrape count and whether the public base has pagination/API limits.,Find API or paginated listing; export all profiles; compute independent/chain split.
5,Africa,South Africa,SA Booksellers bookshops member table,registry/member,ready_for_html_table_scrape,https://www.sabooksellers.com/bookshops/,"SA Booksellers exposes a public current-members/bookshops table with columns for bookstore, email, contact, address, city, region, postal code and phone.","Parse HTML table; aggressively type roles because table includes stationers, distributors, publishers, education suppliers and administrative/noise rows.",entity_name; email; contact_first_name; address_lines; city; region; postal_code; phone; source_url,"Do not default all rows to live general bookstores. Flag publisher, distributor, schoolbook_supplier, stationery_hybrid, admin_noise, chain_branch when indicated by name/context.",Table is excellent but mixed-role/noisy; member table is not a pure bookstore census.,Scrape table; classify rows with transparent rules; create reject/review queue for non-bookstore/admin rows.
6,North America,United States,ABA BookWeb / IndieBound,registry/network,needs_query_endpoint_probe,https://www.bookweb.org/member_directory/search/ABAmember,ABA exposes a Bookseller Member Directory search and IndieBound exposes an indie-store finder; IndieBound results are member stores and can include ownership-identity filters.,Probe directory form parameters and IndieBound finder; use state/city sweeps only if permitted; preserve ABA member vs IndieBound public listing as separate source layers.,store_name; city; state; zip; address; phone; website; ownership_identity_public_flags; source_layer,Default independent bookstore/member; ownership identity fields are optional and public-only; do not infer missing identity data.,Search forms may require query inputs and may not expose bulk export; avoid overclaiming completeness if only finder-accessible.,Test form POST/GET parameters with one city/state; inspect if results paginate.
7,North America,Canada,CIBA / IndieBookstores.ca,registry/network,needs_static_dynamic_probe,https://www.indiebookstores.ca/bookstores/,IndieBookstores.ca has a Find an Independent Bookstore page with province and service filters; CIBA member bookstore list is available separately as March 2025.,Crawl bookstore finder and CIBA member-list page separately; treat bookstore finder and membership list as two overlays.,store_name; address; city; province; services; website; source_layer; member_list_date,"Default independent bookstore; services like stationery/cafe/games are attributes, not role replacement; CIBA member rows require date stamp.","Visible page includes placeholders before dynamic content loads; the complete data may be embedded JS or API-backed. CIBA member list date is March 2025, not necessarily current.",Inspect JS/API payload; compare all-bookstores page with CIBA member list.
8,Oceania,Australia,BookPeople / Love Your Bookshop Find a Bookshop,registry/network,needs_wordpress_probe,https://loveyourbookshop.org.au/find-a-bookshop/,"BookPeople/Love Your Bookshop has a Find a Bookshop surface and individual store pages with email, phone, website, online-only status and store descriptions.",Use site search/sitemap/WordPress endpoints if available; crawl /store/ profile pages and normalize online-only vs physical shop.,store_name; description; address/suburb/state; online_only; email; phone; website; source_profile_url,Flag online_only when stated; used_antiquarian when store description says secondhand/antiquarian; chain_branch only from brand/branch evidence.,Some profiles are online-only or used/antiquarian; do not collapse into general physical new-book stores.,Probe sitemap and WordPress REST; crawl store profiles; build online-only and used overlays.
9,Oceania,New Zealand,Booksellers Aotearoa / BookHub,registry/network,needs_circlepos_probe,https://bookhub.co.nz/,BookHub is presented by Booksellers Aotearoa NZ and exposes member bookshop/inventory surfaces; its About page states it brings together shelves of 70+ independent bookshops.,"Identify store pages, stock/find-store payloads and CircleSoft/CirclePOS endpoints; separate store entity rows from stock-by-title observations.",store_name; city/suburb; profile_url; inventory_enabled; stock_count_signals; website; source_layer,"Default independent/member network; keep BookHub inventory rows as observations linked to store entities, not standalone stores.","BookHub is an inventory-commerce network, not a national statutory registry; storefront coverage may be smaller than all NZ booksellers.",Probe BookHub store/profile index; inspect Find Store calls for API shape.
10,East Asia,Japan,e-hon bookstore network + Nihon no Furuhon-ya/Kosho,network + used-antiquarian overlay,split_probe_required,https://www.e-hon.ne.jp/bec/SF/Search,e-hon exposes bookstore-network search for pickup/receiving bookstores; Kosho/Nihon no Furuhon-ya is operated by old-book dealer associations and describes affiliated old-book stores/dealers.,"Split into two manifests: new-book/pickup bookstore network from e-hon, and used/antiquarian overlay from Kosho. Probe prefecture search and dealer/store info pages separately.",store_name; prefecture; municipality; address; source_layer; pickup_network_flag; used_antiquarian_flag; association_affiliation; profile_url,"For e-hon, avoid marking pickup-only partners as full bookstores unless store profile confirms retail bookstore. For Kosho, flag used_antiquarian=true and keep separate from new-book retail.",Japan lane is rich but not one clean registry. New-book/pickup and old-book dealer ecosystems need separate counts and dedupe later.,Run Tokyo-prefecture e-hon scrape dry test; run Kosho dealer listing probe; design dedupe key.
