size_bytes,mtime_date,mtime_time,filename,extension,disassembled_status,priority_note
"145607347","2026-05-16","16:33","Bikroy - Everything Sells_6.1.0.0_APKPure.xapk","xapk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"48706255","2026-05-15","09:25","BookChor - Online Bookstore_14.10_APKPure.xapk","xapk","not_checked","book-first or known blocked target candidate"
"16777324","2026-05-14","03:15","BookLal - Buy_Sell Used Books_3.3.1_APKPure.xapk","xapk","not_checked","book-first or known blocked target candidate"
"26463105","2026-05-14","02:28","BookLane - Buy-Sell Used Books_3.1.2_APKPure.xapk","xapk","not_checked","book-first or known blocked target candidate"
"86469708","2026-05-14","05:10","BookMamu+-+Used_New+Books_2.2.8_apkcombo.com.xapk","xapk","not_checked","book-first or known blocked target candidate"
"61512775","2026-05-15","06:54","Book+Mitra+–+Buy+&+Sell+Books_1.0.0_apkcombo.com.xapk","xapk","not_checked","unclassified; inspect before disassembly priority"
"38952333","2026-05-05","22:48","Book Shuffle_1.2.10_APKPure.xapk","xapk","not_checked","unclassified; inspect before disassembly priority"
"46176193","2026-05-14","03:17","BooksPie - Online Bookstore_5.1_APKPure.xapk","xapk","not_checked","book-first or known blocked target candidate"
"92825276","2026-05-16","16:23","br.com.enjoei.app_62.3.0-498_minAPI26(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk","apk","not_checked","unclassified; inspect before disassembly priority"
"68899429","2026-05-14","03:21","Buy & Sell Old Books_3.1.20_APKPure.xapk","xapk","not_checked","unclassified; inspect before disassembly priority"
"71921278","2026-05-25","02:59","cmarcedit_linux.zip","zip","not_checked","unclassified; inspect before disassembly priority"
"42789215","2026-05-16","16:44","com.sirmamobile.prodavalnik_5.112.5-6343_minAPI24(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk","apk","not_checked","unclassified; inspect before disassembly priority"
"34503496","2026-05-15","14:51","Duozhuayu_3.1.5_APKPure.xapk","xapk","not_checked","book-first or known blocked target candidate"
"86116824","2026-05-16","15:52","FINN.no_260511-6e4d1eb_APKPure.apk","apk","not_checked","unclassified; inspect before disassembly priority"
"135803273","2026-05-16","16:29","Jiji Bangladesh_ Buy & Sell_6.0.3.0_APKPure.xapk","xapk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"74569445","2026-05-16","16:34","Jiji Congo - Kinshasa_6.0.3.0_APKPure.xapk","xapk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"85099459","2026-05-16","16:29","Jiji Côte d’Ivoire_Achat&Vente_6.0.3.0_APKPure.xapk","xapk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"145543090","2026-05-16","16:28","Jiji Ethiopia_ Buy&Sell Online_6.0.3.0_APKPure.xapk","xapk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"74519286","2026-05-16","16:27","Jiji Nigeria_ Buy&Sell Online_6.0.3.0_APKPure.xapk","xapk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"55578854","2026-05-16","16:34","Jiji Rwanda_ Buy & Sell Online_4.6.4.0_APKPure.apk","apk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"135979021","2026-05-16","16:30","Jiji Sénégal _ Achat&Vente_6.0.3.0_APKPure.xapk","xapk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"84243003","2026-05-16","16:29","Jiji Sri Lanka_ Buy & Sell_6.0.3.0_APKPure.xapk","xapk","not_checked","horizontal marketplace app; useful for app-tier endpoint reconnaissance"
"25830054","2026-05-14","02:14","Kitabu_1.1.1_APKPure.xapk","xapk","not_checked","book-first or known blocked target candidate"
