macroregion,country_or_territory,primary_sources_or_examples,working_label,harvest_priority,notes
LATAM,Mexico,SIC Directorio de librerías y puntos de venta,registry-grade,Tier 1,"CSV/XML/JSON-style open-data source; very clean first pull"
LATAM,Argentina,SInCA / datos.gob.ar Librerías,registry-grade,Tier 1,"Georeferenced bookstores; includes new and/or used book retail activity"
LATAM,Colombia,Camlibro Librerías,registry-grade,Tier 2,"Original model source; rich contact/social/web fields"
LATAM,Chile,Frankfurt 2027 / Ministry ecosystem directory,strong official directory,Tier 2,"Official contact directories including librerías"
LATAM,Guatemala,SICultura Librerías category,registry-grade,Tier 2,"Official cultural directory category/ficha scrape"
LATAM,Costa Rica,SiCultura bookstore fichas,registry-grade,Tier 2,"Official cultural directory; category/ficha scrape"
LATAM,Panama,Sicultura librerías category,registry-grade,Tier 2,"Official cultural-spaces category and bookstore fichas"
LATAM,Paraguay,SICPY infraestructura cultural librerías,harvest-grade candidate,Tier 2,"Official cultural infrastructure category"
LATAM,Peru,InfoArtes/CERLALC/SIICA/CPL,mixed lead-grade,Tier 3,"CERLALC backbone plus legacy and chamber surfaces"
LATAM,Ecuador,CEL Ruta de las Librerías Quito,lead/partial harvest,Tier 3,"City/province-focused route surface"
LATAM,Uruguay,Cámara Uruguaya del Libro socios,strong lead-grade,Tier 3,"Member/circuit source; classify member vs non-member"
LATAM,Brazil,ANL associados,member-grade,Tier 3,"National booksellers association, not complete census"
LATAM,Bolivia,La Paz/Santa Cruz chambers,regional harvest-grade,Tier 3,"Departmental chamber directories"
LATAM,Venezuela,Cavelibro/Ruta de Librerías,route/chamber lead,Tier 4,"Volatile; preserve dates/status"
LATAM,Nicaragua,CERLALC chamber + private dirs,lead reconstruction,Tier 4,"No clean registry; private rows and major anchors"
LATAM,El Salvador,CERLALC chamber/fair/commercial registers,reconstruction,Tier 4,"No public bookstore directory found"
LATAM,Honduras,Chamber/cultural info traces,lead reconstruction,Tier 4,"Institutional lead, no live table confirmed"
LATAM,Dominican Republic,Cámara Dominicana/FIL traces,watchlist,Tier 4,"Possible emerging directory; not confirmed live"
Ibero-America,Spain,CEGAL / Todos tus libros,benchmark registry/network,Tier 1,"One of strongest global benchmark cases"
Ibero-America,Portugal,APEL associados,member-grade,Tier 3,"Mixed publishers/booksellers; needs role classification"
Caribbean,Bahamas,FindYello/BahamasLocal,private-directory harvest,Tier 3,"Bookstore category and anchor rows"
Caribbean,Barbados,FindYello/Macmillan Caribbean,private-directory harvest,Tier 3,"Schoolbook/stationery hybrids common"
Caribbean,Trinidad & Tobago,FindYello/TTARP/Macmillan,private-directory harvest,Tier 3,"Retail dealer rows and publisher sales points"
Caribbean,Jamaica,Macmillan contacts/anchors,reconstruction,Tier 4,"Kingston Bookshop/Sangster/Bookophilia etc."
Caribbean,Bermuda,BermudaYP/anchors,private-directory harvest,Tier 3,"Bermuda Book Store and Bookmart anchors"
Caribbean,Antigua & Barbuda,Best of Books historical/Macmillan,status-sensitive,Tier 4,"Best of Books reported closed Aug 11 2025"
Caribbean,Haiti,private/francophone anchors,weak reconstruction,Tier 5,"No national/chamber registry found"
North America,United States,ABA/IndieBound/Bookshop.org,top-tier registry/network,Tier 1,"ABAA/Biblio for used/rare overlay"
North America,Canada,CIBA/IndieBookstores.ca,top-tier registry/network,Tier 1,"Independent bookstore finder/directory"
Europe,Poland,Ogólnopolska Baza Księgarń,registry-grade,Tier 1,"National bookstore base; priority source"
Europe,United Kingdom and Ireland,Booksellers Association/Bookshop/Hive/ABA,registry/network,Tier 2,"BA authority; Bookshop/Hive commerce overlays; ABA rare"
Europe,Germany,genialokal/Börsenverein,network-grade,Tier 2,"Local stock and independent bookstore network"
Europe,Austria,buchhandel.at,registry/member-grade,Tier 2,"Association-backed directory"
Europe,France,CNL LiR/SLF/independent portals,multi-surface,Tier 3,"Dedupe across label, union, portals"
Europe,Netherlands,Libris/Blz,network-grade,Tier 3,"Independent store network"
Europe,Belgium,Francophone association/Boekhandels Vlaanderen,member-grade,Tier 3,"Language split handling required"
Europe,Switzerland,SBVV/Livresuisse,member-grade,Tier 3,"Multilingual member-dedupe test"
Europe,Norway,Bokhandlerforeningen,strong member-grade,Tier 3,"Roster access unclear; strong counts"
Europe,Sweden,Svenska Bokhandlareföreningen,association-grade,Tier 4,"Public roster weak/unresolved"
Europe,Denmark,Boghandlerforeningen,association-grade,Tier 4,"Public roster weak/unresolved"
Europe,Finland,Kirjakauppaliitto,association-grade,Tier 4,"Public member directory not found"
Europe,Italy,ALI/Ministry quality register/ALAI,strong multi-surface,Tier 2,"ALAI rare/used overlay"
Europe,Greece,DYPA provider registry/ENELVI/Public,reconstruction,Tier 3,"Odd official provider seam plus chains"
Europe,Cyprus,CyprusBookshops/private dirs,private-directory harvest,Tier 3,"Not official but usable"
Europe,Malta,Yellow Malta/Agenda/BDL,small-market reconstruction,Tier 4,"Anchor and directory lane"
Europe,Ukraine,UBI book ecosystem map,official map/registry,Tier 2,"Wartime/status tracking required"
Europe,Czechia,SČKN,association-grade,Tier 4,"Roster unresolved"
Europe,Hungary,MKKE member list,member-grade,Tier 3,"Mixed roles; classify"
Europe,Latvia,Latvian Booksellers Association,member-grade,Tier 3,"Small clean member surface"
Europe,Estonia,Rahva Raamat/Apollo reconstruction,chain reconstruction,Tier 4,"Market bounded by chain data"
Europe,Lithuania,LLA/Knygos.lt/Pegasas/Vaga,reconstruction,Tier 4,"Publisher association + inventory networks"
Europe,Slovakia,Panta Rhei/Martinus,chain reconstruction,Tier 3,"Strong chain locators"
Europe,Slovenia,Mladinska knjiga/anchors,chain reconstruction,Tier 3,"Store locator + independents"
Europe,Croatia,ZNK/HGK,association-grade,Tier 4,"Roster unresolved; chain/private reconstruction"
Europe,Bulgaria,Bulgarian Book Association,association-grade,Tier 4,"Authority but no bookstore roster confirmed"
Europe,Serbia,UIKS/UKS/chains,member reconstruction,Tier 4,"Association/member plus chains"
Europe,Georgia,GPBA,strong member-grade,Tier 3,"Reported high coverage; member/exhibitor lists needed"
Europe/Asia,Turkey,D&R/Kırmızı Kedi/NadirKitap/sales points,large reconstruction,Tier 3,"Do not treat pickup points as bookstores"
MENA,Morocco,Librairies du Maroc/ALIM,network-grade,Tier 2,"Strong Maghreb find"
MENA,UAE,EPA/Kinokuniya/Magrudy/directories,multi-layer reconstruction,Tier 3,"Publisher members not bookstore rows"
MENA,Saudi Arabia,Jarir/chains/distributors,chain reconstruction,Tier 3,"Distributor-publisher-bookshop hybrids common"
MENA,Kuwait,That Al Salasil/Jarir,chain/private harvest,Tier 3,"Good branch data"
MENA,Tunisia,Go Africa/AILF/Al Kitab,private-directory harvest,Tier 3,"Broad seed plus francophone overlay"
MENA,Egypt,Cairo Book Fair/chains/anchors,fair-exhibitor reconstruction,Tier 4,"Huge exhibitor universe; noisy"
MENA,Palestine,Sharbain/Dar al Shorouk/Educational Bookshop,fragile anchor reconstruction,Tier 4,"Political/status notes required"
MENA,Lebanon,AILF/Antoine/anchors,reconstruction,Tier 3,"Francophone + chain anchor lane"
MENA,Jordan,Union publishers/Amman anchors,reconstruction,Tier 4,"Publisher union context, not registry"
MENA,Syria,anchors/rebuilding traces,volatile,Tier 5,"Conflict-fragile"
MENA,Iraq,Mutanabbi/fairs/anchors,reconstruction,Tier 5,"Street-market and fair seam"
MENA,Yemen,YemenYP/anchors,fragile reconstruction,Tier 5,"Private rows; status-sensitive"
Africa,South Africa,SA Booksellers,registry-grade,Tier 1,"Public bookshops member table"
Africa,Nigeria,Booksellers Association of Nigeria,member-directory harvest,Tier 2,"Public members page"
Africa,Ghana,Ghana Book Development Council/Go Africa,official-list + private,Tier 2,"GBDC first"
Africa,Kenya,MyMRMedia/anchors,private-directory harvest,Tier 3,"Bookshop category rows"
Africa,Zimbabwe,College Press booksellers,publisher-sales-point,Tier 3,"Clean sales-point list"
Africa,Côte d'Ivoire,AILF/Pratik CI,francophone/private,Tier 3,"AILF quality + private breadth"
Africa,Tanzania,NCD book shops,private-directory harvest,Tier 3,"23 listings in pass"
Africa,Ethiopia,AddisMap/Ethio Book Review,private-map reconstruction,Tier 3,"Addis-first"
Africa,Benin,AILF/Go Africa,francophone/private,Tier 3,"107 Go Africa results noted"
Africa,Togo,AILF/Go Africa/Mirev,francophone/private,Tier 3,"Good anchor + directory"
Africa,Burkina Faso,AILF/Go Africa,francophone/private,Tier 3,"AILF + private rows"
Africa,Cameroon,Go Africa/Africannuaire,private-directory harvest,Tier 3,"Classify hybrids"
Africa,Uganda,Yellow Pages/Africa2Trust/anchors,private-directory,Tier 3,"Kampala-first"
Africa,Rwanda,AILF/RwandaYP,small-market reconstruction,Tier 3,"Ikirezi anchor"
Africa,Madagascar,AILF Madagascar,francophone harvest,Tier 3,"Mille Feuilles anchor"
Africa,Mozambique,Fastbase/AMEL,private-directory harvest,Tier 3,"AMEL context"
Africa,Botswana,Macmillan booksellers,publisher-sales-point,Tier 3,"Excellent sales-point seam"
Africa,Zambia,Yellow Pages/Bookworld,private-directory,Tier 3,"School/stationery typing required"
Africa,Malawi,MalawiYP/BizMalawi,private-directory,Tier 3,"58 listings noted"
Africa,Eswatini,Macmillan booksellers,publisher-sales-point,Tier 3,"Structured bookseller list"
Africa,Lesotho,Go Africa/LesothoYP,private-directory,Tier 4,"Small-market operational"
Africa,DRC,AILF/Alibooks,francophone anchor,Tier 4,"Kinshasa-first"
Africa,Somalia/Somaliland,Kulmie/Sahanbooks,private/anchor,Tier 4,"Territorial/status notes"
Africa,Djibouti,Librairie Victor Hugo,anchor-only,Tier 5,"Francophone anchor"
Africa,Eritrea,old traces,weak,Tier 5,"Defer"
South Asia,India,FPBAI/chains/platforms,association + reconstruction,Tier 2,"Huge, needs role classification"
South Asia,Sri Lanka,Ceylon booksellers/Sarasavi,strong association + locator,Tier 2,"Cleanest South Asia branch locator"
South Asia,Bangladesh,BAPUS/Rokomari/BoiBichitra,platform reconstruction,Tier 3,"BAPUS context, platforms/markets rows"
South Asia,Pakistan,Liberty/Saeed/PPBA,chain/anchor reconstruction,Tier 3,"Urdu Bazaar/fair layers"
South Asia,Nepal,NBPAN/Kathmandu anchors,association + reconstruction,Tier 4,"No clean roster yet"
South Asia,Maldives,Novelty/MaldivesYP/stockists,small-market harvest,Tier 4,"Surprisingly decent"
South Asia,Bhutan,Junction Bookstore/anchors,anchor-only,Tier 5,"Thimphu-first"
East Asia,Japan,National bookstore guide/e-hon/Kosho,registry/network,Tier 2,"Used/antiquarian overlay strong"
East Asia,Taiwan,iCulture/Friendly Bookstore,map/list-grade,Tier 2,"National map + independent lane"
East Asia,South Korea,SeojeomOn/Seoul map/Bookshopmap,official/portal reconstruction,Tier 2,"Portal needs current check"
East Asia,China Mainland,Xinhua/provincial/chains/maps,large reconstruction,Tier 3,"No clean national public registry found"
East Asia,Hong Kong,Locator.hk/MyBookOne/chains,private-directory harvest,Tier 3,"Status-sensitive independent stores"
East Asia,Macau,IC bookshop/anchors,anchor-only,Tier 5,"Official bookshop not commercial registry"
East Asia,Mongolia,Internom/Azkhur/Ulaanbaatar anchors,anchor reconstruction,Tier 4,"Ulaanbaatar-first"
East Asia,North Korea,Foreign Languages Bookshop,anchor-only,Tier 5,"No normal market inference"
Southeast Asia,Singapore,SBASA/Kinokuniya/Book Council,association + compact harvest,Tier 3,"Mixed bookstores/stationers/publishers"
Southeast Asia,Malaysia,MABOPA/Popular/MPH/BookXcess,chain + member reconstruction,Tier 3,"Popular locator priority"
Southeast Asia,Indonesia,Gramedia/IKAPI/Periplus,large chain reconstruction,Tier 3,"IKAPI publisher context"
Southeast Asia,Philippines,Fully Booked/National Book Store/NBDB,chain + book-board reconstruction,Tier 3,"NBDB context not registry"
Southeast Asia,Thailand,Asia Books/Kinokuniya/SE-ED/B2S,chain reconstruction,Tier 3,"Current chain validation required"
Southeast Asia,Vietnam,Phuong Nam/Fahasa,chain harvest,Tier 2,"Strong branch surfaces"
Southeast Asia,Myanmar,Yangon Directory,private-directory status-sensitive,Tier 3,"Conflict/status notes"
Southeast Asia,Cambodia,Monument/directories/fairs,reconstruction,Tier 4,"Directory + anchor"
Southeast Asia,Laos,Vientiane/Luang Prabang anchors,anchor-only,Tier 5,"Not registry hunt"
Southeast Asia,Brunei,Best Eastern anchors,small-market anchor,Tier 4,"Branch/social traces"
Southeast Asia,Timor-Leste,GREAT Bookshop/Livraria Central,anchor lane,Tier 4,"Dili-first"
Oceania,Australia,BookPeople/Find a BookShop/ANZAAB,registry/network,Tier 1,"ANZAAB used/rare overlay"
Oceania,New Zealand,Booksellers Aotearoa/BookHub,registry/network,Tier 1,"BookHub inventory overlay"
Pacific,PNG,private dirs/university/ABC,harvest reconstruction,Tier 3,"Commercial + campus + church network"
Pacific,Fiji,FijiYP/Suva Book Shop/Baka/USP/ABC,private/anchor harvest,Tier 3,"Operational"
Pacific,New Caledonia,1012.nc/Petit Futé,francophone directory,Tier 3,"Strong Pacific francophone case"
Pacific,Guam,eGuam/Faith/university,private/campus harvest,Tier 3,"Institutional anchors"
Pacific,Samoa/American Samoa,SSAB/ABC,anchor + church,Tier 4,"Separate jurisdictions"
Pacific,Vanuatu,ABC/Read Pacific,church + anchor,Tier 4,"ABC branches important"
Pacific,Solomon Islands,ABC/local dirs,church network,Tier 4,"Honiara/Malaita first"
Pacific,Cook Islands,Bounty/ABC,anchor-only,Tier 4,"Rarotonga-first"
Pacific,Wallis & Futuna,Papeterie du Fenua,anchor-only,Tier 5,"Only librairie-papeterie claim"
Pacific,Tuvalu/Niue/Palau/Marshall/CNMI/Tokelau,weak/manual,anchor-only,Tier 5,"Do not infer registry"
