source_record_id,entity_name,operator_or_affiliation,street_address,neighborhood_colonia,postal_code,phone_1,phone_2,website,email,latitude,longitude,state,municipality,locality,source_record_url,source_modified_at,ce_flag_raw,qa_flags
992,Librería San Pablo,"Librería Alberione, S.A. de C.V.",Pedro Parga 101 esq. Morelos,Centro,20000,449 916 6311,449 915 7638,https://sanpablo.com.mx/,libreria_ags@sanpablo.com.mx; libreria.aguascalientes@sanpablo.com.mx,21.88361,-102.2951,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=libreria&table_id=992,2024-04-01T11:10:04-06:00,True,
1857,"Librería Sanborns, Sucursal Aguascalientes Altaria","Sanborn Hermanos, S.A.",Blvr. A Zacatecas Norte 849,Col. Trojes de Alonso,202200,449 153 0430,,http://www.sanborns.com.mx,sanborns@sanborns.com.mx,21.92414,-102.29069,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=libreria&table_id=1857,2024-04-12T13:29:19-06:00,True,chain_branch; postal_code_length_check
2444,"Librería del Fondo de Cultura Económica (FCE)/Educal, sucursal Dolores Castro Varela",Fondo de Cultura Económica (FCE),Galeana Nte. 102,Centro,20000,449 392 06 54,,https://www.fondodeculturaeconomica.com/LibreriasEstado/1,victorinfantezamora@yahoo.com.mx,21.87992,-102.29747,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=libreria&table_id=2444,2025-11-25T10:21:17-06:00,True,chain_or_public_program_branch
2419,Librería Drakontos,,Francisco I. Madero 467,Zona Centro,2000,449 918 9402,,https://libreria-cafeteria-drakontos-aguascalientes-mexico.negocio.site/,,21.88306,-102.28815,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=libreria&table_id=2419,2020-12-03T06:53:15-06:00,False,sentinel_foundation_date_seen_in_source; postal_code_length_check
1764,"Librerías Gonvill, Sucursal Aguascalientes","Librerías Gonvill, S.A. de C.V.","Centro Comercial Altaria, Blvd. Zacatecas Nte. 851 local 1032 y 1033",Fracc. Troje Alonso,20200,449 912 15 23,449 912 15 21,http://www.gonvill.com.mx/webapp/wcs/stores/servlet/GonvillStoresView?storeId=10001&urlLangId=-5&urlRequestType=Base&langId=-5&catalogId=10001,ags@gonvill.com.mx; info@gonvill.com.mx,21.92464,-102.28952,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=libreria&table_id=1764,2025-03-03T13:27:28-06:00,True,chain_branch
1577,"Librería Arcoiris, Casa Matríz",Particular,Madero 221,Centro,20000,449 146 64 81,146 64 81,,arcoiris_ags@hotmail.com,21.88164,-102.29374,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=libreria&table_id=1577,2024-04-22T13:01:59-06:00,False,
1775,Librería Publicaciones Excélsior,Particular,"Centro Comercial el Parian, Rivero y Gutiérrez s/n locales 38",Centro,20000,449 915 3250,,,friveraibarra@gmail.com,21.88375,-102.29561,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=libreria&table_id=1775,2025-03-20T13:11:47-06:00,False,
2376,Librería de los Escritores,Privada,Av. Francisco I. Madero 349,Zona Centro,20000,449 392 4566,,https://m.facebook.com/librescritores/?locale2=es_LA,librescritores@hotmail.com,21.88233,-102.29072,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=libreria&table_id=2376,2020-12-03T06:29:57-06:00,False,social_profile_as_website
856,Librería Bibliofília,Particular,Mariano Matamoros Norte 104,Centro,20000,449 918 69 22,,https://www.facebook.com/libreriabibliofilia.aguascalientes/?locale=es_LA,libreriasbibliofilia@gmail.com,21.87924,-102.29982,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=libreria&table_id=856,2026-02-03T18:28:20-06:00,False,social_profile_as_website
1971,Librería de la Casa de la Cultura Jurídica Ministro Alfonso López Aparicio de Aguascalientes,Casa de la Cultura Jurídica Ministro Alfonso López Aparicio de Aguascalientes,Álvaro Obregón 347,Centro,20000,55 41 13 1000 ext. 8484,,https://www.scjn.gob.mx/,mvela@scjn.gob.mx,21.8862,-102.29345,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=libreria&table_id=1971,2025-10-16T12:14:30-06:00,False,institutional_sales_point
