territory,region_block,dominant_category,categories_present,site_count,row_count,main_universe,weak_fit_core,single_store_used_booksellers,single_store_bookstore_layer,single_store_used_bookstore_signal,annex_classifieds,used_book_signal_note,offline_fair_literacy_layer,confidence_mix,territory_profile,notes_compact
Afghanistan,South Asia / Central Asia,single-store bookstore layer,annex / diaspora spillover; annex / social marketplace; single-store bookstore layer; weak-fit core,7,7,0,2,0,3,0,1,Leelam exposes a books/textbooks/magazines classifieds category with for-sale/wanted/exchange controls and app-store wording for new/used local buy-sell activity; Facebook Marketplace exposes new/used books in Kabul/Afghanistan.,0,high:4; medium-high:2; medium:1,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Opened as a zero-surface country in pass158. Strongest current surface is Leelam horizontal classifieds/books category; Sale.af and BookPoint add local ecommerce/bookstore depth; no standalone Afghanistan-native book-specific used/recommerce marketplace or visible ISBN values were verified.
Albania,CEE/Balkans,single-store bookstore layer,annex / classifieds; annex / social book-sale groups; offline / fair / literacy layer; single-store bookstore layer; single-store used / bookstore signal; single-store used booksellers; weak-fit core,12,12,0,1,1,5,2,1,"No Albania-native standalone book-specific recommerce marketplace verified. Used-book texture is real but operator/horizontal/social: ShtepiaeLibrit exposes 332 old/used Albanian books, MerrJep explicitly lists used books in a broad classifieds category, and B-books/Libra te perdorura add profile/social used-book signals.",2,high:7; medium-high:3; medium:2,"No-strict-main territory with strong online bookstore infrastructure, a clear single-operator used-book catalogue, broad classifieds used-book category, social/storefront used-book texture, and major book-fair/literacy infrastructure. No open Albania-native book-specific third-party used/recommerce marketplace verified.",Pass187 hardened Albania from three URL-less frontier shorthand rows (Adrion/Albas/Bukinist) into a source/evidence-backed no-strict-main profile; targeted revisit only for any future Albania-native book-first recommerce platform or stronger used-book seller dashboard evidence.
Algeria,North Africa / Maghreb,weak-fit core,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; weak-fit core,8,8,0,4,1,1,0,1,"Vitamine.dz explicitly includes new and used books, while readSina is a dedicated pre-loved-books marketplace across all 58 wilayas.",1,high:7; medium:1,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,"Multiple native online rails, a meaningful digital-book layer, a dedicated used-book marketplace, broad classifieds spillover, and SILA national fair infrastructure make Algeria a strong weak-fit closure rather than a bookstore-only case."
Andorra,Iberia,offline / fair / literacy layer,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer,7,7,0,0,0,3,0,1,,3,high:7,Territory anchored mainly by bookstore layer rather than marketplace depth.,Strong bookstore and library ecology without a clear native multi-seller marketplace.
Angola,Southwest / Lusophone Africa,single-store bookstore layer,annex / classifieds; main universe; single-store bookstore layer; weak-fit core,11,11,2,2,0,4,0,3,"Strong used-book/recommerce signal in Angolivros and Sebo Talatona; strict core limited to book-specific buy/sell/used-trade rails, not ordinary retail or general classifieds.",0,high:1; low:1; low-medium:3; medium:3; medium-high:2; medium-low:1,"Angola now has two strict-main candidates: Angolivros as a current official buy/sell/used-trade book platform, and Sebo Talatona/Sebo Livros Usados as a social/WhatsApp-mediated online used-book intermediation platform.","Targeted revisit only for Angolivros active listings/seller dashboard capture, Sebo non-social proof, and social group volume; ordinary online bookstores/classifieds remain outside strict main."
Anguilla,Caribbean,offline / fair / literacy layer,offline / fair / literacy layer; single-store used / bookstore signal,3,3,0,0,0,0,1,0,,2,medium:3,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",one notable bookstore + literary ecosystem
Antigua and Barbuda,Caribbean,single-store used / bookstore signal,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,7,7,0,0,0,0,3,2,,2,medium:7,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",thin marketplace depth
Argentina,South America,main universe,annex / classifieds; annex / social resale; main universe; single-store used booksellers; weak-fit core,11,11,3,2,3,0,0,2,"Pass137 hardened Argentina: strict spine is BiblioMarket + Tubuc + Pila de Libros; Buscalibre demoted to weak-fit used-filter retail/import rail; MercadoLibre/Anuto/Facebook stay horizontal/social annex; single-store used-book depth added via Aguilar, LibreriaUsados.com and La Libre.",0,high:4; medium:3; medium-high:4,Strict-main book-specific used/reuse platform territory with strong Argentina-native C2C marketplace and exchange spine plus large horizontal/social and single-store shadow layers.,Pass137 converted Argentina from transcript-carried thin state into evidence-backed spine: BiblioMarket and Tubuc retained high strict main; Pila de Libros promoted as book-exchange/reuse rail; Buscalibre demoted to weak-fit; seven shadow-layer rows added.
Armenia,Caucasus,weak-fit core,annex / classifieds; offline / fair / literacy layer; single-store used booksellers; weak-fit core,7,7,0,4,1,0,0,1,,1,medium:5; medium-high:1; medium-low:1,Classifieds/social resale plus single-store or offline used-book nodes; no verified book-specific marketplace mechanics.,Pass 58-65 hardening added 4 row(s) under strict South America-style governance; no ordinary bookstore promoted to core. No strict-main promotion in this sprint.
Aruba,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,6,6,0,0,0,0,2,2,,2,medium:6,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",store + library/event ecosystem
