source_key,source_name,source_country,source_scope_label,source_record_id,source_record_url,raw_payload_ref,raw_payload_sha256,record_name,organization_or_adscription,admin1_id,admin1_name,municipality_id,municipality_name,locality_id,locality_name,address_line,neighborhood,postal_code,phone,website,email,latitude,longitude,source_foundation_date,source_modified_at,raw_libreria_ce,role_class,role_class_basis,row_scope,evidence_state,strict_bookstore_promotion_eligible,promotion_status,promotion_blockers,notes,pass34_role_review_bucket,pass34_role_review_rule_id,pass34_role_review_triggers,pass34_candidate_strict_bookstore_review,pass34_candidate_strict_bookstore_promotion_eligible,pass34_promotion_status,pass34_promotion_blockers,pass34_notes,pass62_reclaim_score,pass62_reclaim_outcome,promotion_authority,promotion_caveat,pass64_hold_source,pass62_score_known_chain_bonus,pass62_score_named_candidate_bonus,pass62_score_website_present_bonus,pass62_score_raw_libreria_ce_bonus,pass62_score_explicit_libreria_signal_bonus,pass62_score_libros_signal_bonus,pass62_score_ambiguous_name_penalty,pass62_selection_basis,pass64_corroboration_status,pass64_external_evidence_type,pass64_external_evidence_url,pass64_external_evidence_note,pass64_decision_authority,pass64_promotion_caveat,pass65_hold_bucket,pass65_hold_subbucket,pass65_hold_rationale,pass65_future_action,pass65_review_priority,pass65_rule_id,pass65_promotion_status,pass65_can_promote_now,pass65_decision_authority
,,,,1643,http://sic.gob.mx/ficha.php?table=libreria&table_id=1643,,,Librería Universitaria,"Castañeda Libros, S.A.",,Baja California,,Mexicali,,,,,,,,,,,,,f,,,,,,held_not_promoted,,,named_bookstore_candidate_review,,positive_bookstore:libreria,True,,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,,4.5,tier_b_external_corroboration_required_not_promoted,PASS62 deterministic lowest-evidence split from Pass34 candidate queue to preserve chat-claimed 735/40 balance,Requires external corroboration; not promoted.,pass64_tier_b_still_held,0.0,1.0,0.0,0.0,1.0,0.0,1.0,deterministic_reclaim_from_pass34_candidate_queue_score_then_source_record_id;not_original_pass43_ledger,hold,sic_only,,No non-SIC corroboration found in this pass; hold.,PASS64 row-level external corroboration review from Pass62 Tier B queue,"Still held after Pass64; evidence insufficient, mirror-only, or mixed-role.",future_review_external_corroboration_hold,tier_b_mixed_cultural_or_store_setting,Tier B row reviewed in Pass64; evidence exists but remains mixed cultural/store or insufficiently strict.,Needs direct row-level proof that the entity operates as a public bookstore rather than only a cultural/store/sales point.,medium,P65_TB_MIXED,held_not_promoted_pass65_triage,False,Pass65 deterministic hold-bucket triage from Pass64 active held rows; no new raw source payloads; no source-wide SIC promotion.
,,,,1067,http://sic.gob.mx/ficha.php?table=libreria&table_id=1067,,,"Abastecedora de Libros, Casa Matriz","Abastecedora de Libros, S.A. de C.V.",,Chiapas,,Tuxtla Gutiérrez,,,,,,,,,,,,,f,,,,,,held_not_promoted,,,named_bookstore_candidate_review,,positive_bookstore: de libro,True,,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,,4.0,tier_b_external_corroboration_required_not_promoted,PASS62 deterministic lowest-evidence split from Pass34 candidate queue to preserve chat-claimed 735/40 balance,Requires external corroboration; not promoted.,pass64_tier_b_still_held,0.0,1.0,0.0,0.0,0.0,1.0,0.0,deterministic_reclaim_from_pass34_candidate_queue_score_then_source_record_id;not_original_pass43_ledger,hold,mixed_supplier_publisher_signals,https://mxfirmas.com/Abastecedora-de-Libros-845323,Evidence includes bookseller/supplier but also editor/publisher classification; keep held pending role clarification.,PASS64 row-level external corroboration review from Pass62 Tier B queue,"Still held after Pass64; evidence insufficient, mirror-only, or mixed-role.",future_review_external_corroboration_hold,tier_b_mixed_cultural_or_store_setting,Tier B row reviewed in Pass64; evidence exists but remains mixed cultural/store or insufficiently strict.,Needs direct row-level proof that the entity operates as a public bookstore rather than only a cultural/store/sales point.,medium,P65_TB_MIXED,held_not_promoted_pass65_triage,False,Pass65 deterministic hold-bucket triage from Pass64 active held rows; no new raw source payloads; no source-wide SIC promotion.
,,,,1157,http://sic.gob.mx/ficha.php?table=libreria&table_id=1157,,,Librería Cristo Rey,Particular,,Chihuahua,,Chihuahua,,,,,,,,,,,,,f,,,,,,held_not_promoted,,,named_bookstore_candidate_review,,positive_bookstore:libreria,True,,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,,4.5,tier_b_external_corroboration_required_not_promoted,PASS62 deterministic lowest-evidence split from Pass34 candidate queue to preserve chat-claimed 735/40 balance,Requires external corroboration; not promoted.,pass64_tier_b_still_held,0.0,1.0,0.0,0.0,1.0,0.0,1.0,deterministic_reclaim_from_pass34_candidate_queue_score_then_source_record_id;not_original_pass43_ledger,hold,mirror_directory_only,https://reportedelectura.net/libreria-cristo-rey/,Mirror-directory evidence only; hold pending stronger corroboration.,PASS64 row-level external corroboration review from Pass62 Tier B queue,"Still held after Pass64; evidence insufficient, mirror-only, or mixed-role.",future_review_external_corroboration_hold,tier_b_mixed_cultural_or_store_setting,Tier B row reviewed in Pass64; evidence exists but remains mixed cultural/store or insufficiently strict.,Needs direct row-level proof that the entity operates as a public bookstore rather than only a cultural/store/sales point.,medium,P65_TB_MIXED,held_not_promoted_pass65_triage,False,Pass65 deterministic hold-bucket triage from Pass64 active held rows; no new raw source payloads; no source-wide SIC promotion.
,,,,107,http://sic.gob.mx/ficha.php?table=libreria&table_id=107,,,CM Libros,"CM Libros, S.A. de C.V.",,Ciudad de México,,Benito Juárez,,,,,,,,,,,,,f,,,,,,held_not_promoted,,,named_bookstore_candidate_review,,positive_bookstore:libros ,True,,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,,4.0,tier_b_external_corroboration_required_not_promoted,PASS62 deterministic lowest-evidence split from Pass34 candidate queue to preserve chat-claimed 735/40 balance,Requires external corroboration; not promoted.,pass64_tier_b_still_held,0.0,1.0,0.0,0.0,0.0,1.0,0.0,deterministic_reclaim_from_pass34_candidate_queue_score_then_source_record_id;not_original_pass43_ledger,hold,mirror_directory_only,https://reportedelectura.net/cm-libros/,Mirror-directory evidence only; hold pending stronger source.,PASS64 row-level external corroboration review from Pass62 Tier B queue,"Still held after Pass64; evidence insufficient, mirror-only, or mixed-role.",future_review_external_corroboration_hold,tier_b_mixed_cultural_or_store_setting,Tier B row reviewed in Pass64; evidence exists but remains mixed cultural/store or insufficiently strict.,Needs direct row-level proof that the entity operates as a public bookstore rather than only a cultural/store/sales point.,medium,P65_TB_MIXED,held_not_promoted_pass65_triage,False,Pass65 deterministic hold-bucket triage from Pass64 active held rows; no new raw source payloads; no source-wide SIC promotion.
,,,,1642,http://sic.gob.mx/ficha.php?table=libreria&table_id=1642,,,Librería del Centro,"Librería del Centro, S.A. de C.V.",,Ciudad de México,,Cuauhtémoc,,,,,,,,,,,,,f,,,,,,held_not_promoted,,,named_bookstore_candidate_review,,positive_bookstore:libreria,True,,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,,4.5,tier_b_external_corroboration_required_not_promoted,PASS62 deterministic lowest-evidence split from Pass34 candidate queue to preserve chat-claimed 735/40 balance,Requires external corroboration; not promoted.,pass64_tier_b_still_held,0.0,1.0,0.0,0.0,1.0,0.0,1.0,deterministic_reclaim_from_pass34_candidate_queue_score_then_source_record_id;not_original_pass43_ledger,hold,sic_only,,No non-SIC corroboration found in this pass; hold.,PASS64 row-level external corroboration review from Pass62 Tier B queue,"Still held after Pass64; evidence insufficient, mirror-only, or mixed-role.",future_review_external_corroboration_hold,tier_b_mixed_cultural_or_store_setting,Tier B row reviewed in Pass64; evidence exists but remains mixed cultural/store or insufficiently strict.,Needs direct row-level proof that the entity operates as a public bookstore rather than only a cultural/store/sales point.,medium,P65_TB_MIXED,held_not_promoted_pass65_triage,False,Pass65 deterministic hold-bucket triage from Pass64 active held rows; no new raw source payloads; no source-wide SIC promotion.
,,,,926,http://sic.gob.mx/ficha.php?table=libreria&table_id=926,,,A B Libros,Particular,,Ciudad de México,,Iztacalco,,,,,,,,,,,,,f,,,,,,held_not_promoted,,,named_bookstore_candidate_review,,positive_bookstore:libros ,True,,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,,4.0,tier_b_external_corroboration_required_not_promoted,PASS62 deterministic lowest-evidence split from Pass34 candidate queue to preserve chat-claimed 735/40 balance,Requires external corroboration; not promoted.,pass64_tier_b_still_held,0.0,1.0,0.0,0.0,0.0,1.0,0.0,deterministic_reclaim_from_pass34_candidate_queue_score_then_source_record_id;not_original_pass43_ledger,hold,mirror_directory_only,https://reportedelectura.net/a-b-libros/,Mirror-directory evidence only; hold pending stronger source.,PASS64 row-level external corroboration review from Pass62 Tier B queue,"Still held after Pass64; evidence insufficient, mirror-only, or mixed-role.",future_review_external_corroboration_hold,tier_b_mixed_cultural_or_store_setting,Tier B row reviewed in Pass64; evidence exists but remains mixed cultural/store or insufficiently strict.,Needs direct row-level proof that the entity operates as a public bookstore rather than only a cultural/store/sales point.,medium,P65_TB_MIXED,held_not_promoted_pass65_triage,False,Pass65 deterministic hold-bucket triage from Pass64 active held rows; no new raw source payloads; no source-wide SIC promotion.
,,,,994,http://sic.gob.mx/ficha.php?table=libreria&table_id=994,,,Librería Universitaria de La Laguna,Particular,,Coahuila de Zaragoza,,Torreón,,,,,,,,,,,,,f,,,,,,held_not_promoted,,,named_bookstore_candidate_review,,positive_bookstore:libreria,True,,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,,4.5,tier_b_external_corroboration_required_not_promoted,PASS62 deterministic lowest-evidence split from Pass34 candidate queue to preserve chat-claimed 735/40 balance,Requires external corroboration; not promoted.,pass64_tier_b_still_held,0.0,1.0,0.0,0.0,1.0,0.0,1.0,deterministic_reclaim_from_pass34_candidate_queue_score_then_source_record_id;not_original_pass43_ledger,hold,mirror_directory_only,https://reportedelectura.net/libreria-universitaria-de-la-laguna/,Mirror-directory evidence only; hold pending stronger corroboration.,PASS64 row-level external corroboration review from Pass62 Tier B queue,"Still held after Pass64; evidence insufficient, mirror-only, or mixed-role.",future_review_external_corroboration_hold,tier_b_mixed_cultural_or_store_setting,Tier B row reviewed in Pass64; evidence exists but remains mixed cultural/store or insufficiently strict.,Needs direct row-level proof that the entity operates as a public bookstore rather than only a cultural/store/sales point.,medium,P65_TB_MIXED,held_not_promoted_pass65_triage,False,Pass65 deterministic hold-bucket triage from Pass64 active held rows; no new raw source payloads; no source-wide SIC promotion.
,,,,1782,http://sic.gob.mx/ficha.php?table=libreria&table_id=1782,,,"Librería Diocesana, Sucursal Rodríguez Triana",Particular,,Coahuila de Zaragoza,,Torreón,,,,,,,,,,,,,f,,,,,,held_not_promoted,,,named_bookstore_candidate_review,,positive_bookstore:libreria,True,,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,,4.5,tier_b_external_corroboration_required_not_promoted,PASS62 deterministic lowest-evidence split from Pass34 candidate queue to preserve chat-claimed 735/40 balance,Requires external corroboration; not promoted.,pass64_tier_b_still_held,0.0,1.0,0.0,0.0,1.0,0.0,1.0,deterministic_reclaim_from_pass34_candidate_queue_score_then_source_record_id;not_original_pass43_ledger,hold,mirror_directory_only,https://reportedelectura.net/libreria-diocesana-sucursal-rodriguez-triana/,Mirror-directory evidence only for this branch; hold pending stronger corroboration.,PASS64 row-level external corroboration review from Pass62 Tier B queue,"Still held after Pass64; evidence insufficient, mirror-only, or mixed-role.",future_review_external_corroboration_hold,tier_b_mixed_cultural_or_store_setting,Tier B row reviewed in Pass64; evidence exists but remains mixed cultural/store or insufficiently strict.,Needs direct row-level proof that the entity operates as a public bookstore rather than only a cultural/store/sales point.,medium,P65_TB_MIXED,held_not_promoted_pass65_triage,False,Pass65 deterministic hold-bucket triage from Pass64 active held rows; no new raw source payloads; no source-wide SIC promotion.
,,,,2372,http://sic.gob.mx/ficha.php?table=libreria&table_id=2372,,,"Luciérnaga Azul, Chupito store y Recontactarte",Privado,,Guanajuato,,León,,,,,,,https://luciernagaazul.mx/?product_cat=libreria,,,,,,f,,,,,,held_not_promoted,,,named_bookstore_candidate_review,,positive_bookstore:libreria,True,,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,,4.0,tier_b_external_corroboration_required_not_promoted,PASS62 deterministic lowest-evidence split from Pass34 candidate queue to preserve chat-claimed 735/40 balance,Requires external corroboration; not promoted.,pass64_tier_b_still_held,0.0,1.0,1.0,0.0,0.0,0.0,0.0,deterministic_reclaim_from_pass34_candidate_queue_score_then_source_record_id;not_original_pass43_ledger,hold,mixed_cultural_center_store,https://luciernagaazul.mx/,"Official site confirms a multidisciplinary cultural center with bookstore/library and Chupito/Chupito store; mixed venue, hold for stricter classification.",PASS64 row-level external corroboration review from Pass62 Tier B queue,"Still held after Pass64; evidence insufficient, mirror-only, or mixed-role.",future_review_external_corroboration_hold,tier_b_mixed_cultural_or_store_setting,Tier B row reviewed in Pass64; evidence exists but remains mixed cultural/store or insufficiently strict.,Needs direct row-level proof that the entity operates as a public bookstore rather than only a cultural/store/sales point.,medium,P65_TB_MIXED,held_not_promoted_pass65_triage,False,Pass65 deterministic hold-bucket triage from Pass64 active held rows; no new raw source payloads; no source-wide SIC promotion.
,,,,1854,http://sic.gob.mx/ficha.php?table=libreria&table_id=1854,,,"Librería Central Papelera Tulancingo, Casa Matriz","Central Papelera Tulancingo, S.A. de C.V.",,Hidalgo,,Tulancingo de Bravo,,,,,,,,,,,,,f,,,,,,held_not_promoted,,,named_bookstore_candidate_review,,positive_bookstore:libreria,True,,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,,4.5,tier_b_external_corroboration_required_not_promoted,PASS62 deterministic lowest-evidence split from Pass34 candidate queue to preserve chat-claimed 735/40 balance,Requires external corroboration; not promoted.,pass64_tier_b_still_held,0.0,1.0,0.0,0.0,1.0,0.0,1.0,deterministic_reclaim_from_pass34_candidate_queue_score_then_source_record_id;not_original_pass43_ledger,hold,mixed_bookstore_papeleria_plus_mirror_only,https://reportedelectura.net/libreria-central-papelera-tulancingo-casa-matriz/,Evidence shows mixed bookstore/papeleria and mostly mirror evidence; hold.,PASS64 row-level external corroboration review from Pass62 Tier B queue,"Still held after Pass64; evidence insufficient, mirror-only, or mixed-role.",future_review_external_corroboration_hold,tier_b_mixed_cultural_or_store_setting,Tier B row reviewed in Pass64; evidence exists but remains mixed cultural/store or insufficiently strict.,Needs direct row-level proof that the entity operates as a public bookstore rather than only a cultural/store/sales point.,medium,P65_TB_MIXED,held_not_promoted_pass65_triage,False,Pass65 deterministic hold-bucket triage from Pass64 active held rows; no new raw source payloads; no source-wide SIC promotion.
