territory,status,priority,suggested_scope,reason
Afghanistan,resolved_pass220_active_spiders_built,medium-low,Targeted only: reopen Afghanistan if a Afghanistan-native book-specific used/recommerce marketplace appears; if Leelam book-category/product-detail surfaces expose structured ISBN/detail metadata or stronger used/private listing depth; if Sale.af or BookPoint develops public used-book/buyback/consignment/seller mechanics; or if Facebook/social book surfaces platformize beyond ordinary social/horizontal posts.,"Pass220 successfully resolved and built active spiders: aksos_af_spider.py. Pass158 opened Afghanistan as its own zero-row territory pass. It found Leelam as the strongest horizontal books/textbooks/magazines classifieds rail, Facebook Marketplace book-category activity, Sale.af localized ecommerce/book-category infrastructure, several single-store online/bookstore layers, and diaspora book-delivery context. No standalone Afghanistan-native book-specific used/recommerce marketplace was verified. ISBN rule applied; no ISBN values captured."
Albania,resolved_pass220_active_spiders_built,medium-low,"Targeted only: reopen Albania if a native book-specific third-party used/recommerce marketplace appears; if Bukinist/Adrion/Albas develop seller/used-book marketplace mechanics; if ShtepiaeLibrit exposes richer used-book inventory export or seller sourcing details; or for targeted ISBN/detail extraction from ShtepiaeLibrit, Bukinist, Adrion, MerrJep book listings and social used-book storefronts.","Pass220 successfully resolved and built active spiders: albania_merrjep_spider.py, merrjep_al_spider.py. Pass187 hardened Albania from three URL-less frontier shorthand rows into a source/evidence-backed no-strict-main profile. Strong layers are online bookstores, single-operator used-book catalogue, broad classifieds, social used-book storefronts and book fairs; no strict-main platform verified."
Algeria,resolved_pass220_active_spiders_built,medium,"later deeper pass on state-publishing overlap, university/bookshop segmentation, and stronger specialist used-book rails","Pass220 successfully resolved and built active spiders: afribaba_algeria_spider.py, ouedkniss_dz_spider.py, vitamine_dz_spider.py, leerbook_dz_spider.py, livresetlis_dz_spider.py, locanto_algeria_spider.py, readsina_dz_spider.py, genuine_reg2_ouedkniss_spider.py, sedia_dz_spider.py. Pass 1 is enough for closure, but Algeria likely has more institutional and specialist depth than the current first-pass surface captures cleanly."
Angola,resolved_pass220_active_spiders_built,medium,"Targeted only: Angolivros active inventory/listing depth, seller-dashboard/account-flow capture, Sebo Talatona non-social domain or account-flow proof, social group volume, and any evidence of BayQi/general marketplace book-category depth.","Pass220 successfully resolved and built active spiders: angolivros_spider.py, genuine_reg2_bazarafriqueao_spider.py, sebo_talatona_spider.py, bazarafrique_ao_spider.py, locanto_ao_spider.py, livraria_barquinho_ao_spider.py, livraria_kiela_ao_spider.py, genuine_reg2_saldosangola_spider.py. Pass106 added Angolivros as a high-confidence strict-candidate and hardened Sebo Talatona. Angola now has multiple book-specific buy/sell/used-trade rails; reopen only for deeper mechanics, active inventory, or third-party seller proof."
Argentina,resolved_pass220_active_spiders_built,medium-low,Targeted only: monitor BiblioMarket/Tubuc seller/inventory depth; Pila de Libros current active exchange metrics/account flow; Buscalibre used-seller mechanics if Argentina-local evidence appears; additional Argentina-native book-specific resale platforms. No broad reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: libreria_aguilar_a_r_spider.py, clasf_a_r_spider.py, fantasia_libros_a_r_spider.py, el_ateneo_a_r_spider.py, tubuc_spider.py, proalibreria_a_r_spider.py, puesto40_ar_spider.py, cuspide_a_r_spider.py, la_tienda_de_libros_a_r_spider.py, falabella_a_r_spider.py, eudeba_a_r_spider.py, uba_student_exchange_spider.py, sbs_a_r_spider.py, bibliomarket_spider.py, boutique_del_libro_madryn_a_r_spider.py, b_s_libros_a_r_spider.py, hernandez_a_r_spider.py, pila_de_libros_spider.py. Pass137 hardened Argentina: strict spine now BiblioMarket + Tubuc + Pila de Libros; Buscalibre demoted to weak-fit used-filter retail/import rail; MercadoLibre/Anuto/Facebook annex and single-store used-book layers added. Broad revisit no longer needed."
Armenia,resolved_pass220_active_spiders_built,medium,Armenia second-pass hardening for book-specific recommerce/seller-flow mechanics,"Pass220 successfully resolved and built active spiders: list_am_spider.py, bukinist_am_spider.py, bookinist_am_spider.py. Hardening pass added classifieds and/or single-store used-book nodes; revisit should look for true book-specific seller onboarding or buyback/consignment flows."
Austria,resolved_pass220_active_spiders_built,medium-low,Targeted only: monitor Austria-specific strict-main activity in ZVAB/Booklooker/Buchfreund/Antiquariatsportal; Bookbot Austria seller-volume and ISBN/detail capture; Tyrolia/Morawa Zeercle program continuity; any genuinely Austria-native book-specific third-party resale platform. No broad Austria reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: willhaben_at_spider.py, zvab_at_spider.py, antiquariatsportal_at_spider.py, bookbot_at_spider.py. Pass179 hardened Austria: strict-main now represented by Austria-facing DACH/antiquarian portals; active Austria-native recommerce is mostly Bookbot and retailer/Zeercle buyback flows; willhaben remains annex/horizontal; Thalia used-book pilot recorded as legacy/closed."
Azerbaijan,resolved_pass220_active_spiders_built,medium,Azerbaijan second-pass hardening for book-specific recommerce/seller-flow mechanics,"Pass220 successfully resolved and built active spiders: baku_book_center_az_spider.py, tezbazar_az_spider.py, alinino_az_spider.py, tap_az_spider.py. Hardening pass added classifieds and/or single-store used-book nodes; revisit should look for true book-specific seller onboarding or buyback/consignment flows."
Bahrain,resolved_pass220_active_spiders_built,medium,classifieds and used-store signal deepening,"Pass220 successfully resolved and built active spiders: genuine_reg2_opensooqbahrain_spider.py, bookmartme_bh_spider.py, dubizzle_bh_spider.py, bahrain_opensooq_spider.py. Used signals remain classifieds/thrift/social-store; no strict core yet."
Bangladesh,resolved_pass220_active_spiders_built,medium,BookCycle direct active-inventory hardening,"Pass220 successfully resolved and built active spiders: pbazaar_bd_spider.py, brac_research_evaluation_division_red_spider.py, bikroy_bd_spider.py, bangladesh_academy_sciences_spider.py, booktionary_bd_spider.py, olx_bd_spider.py, bookends_b_d_spider.py, adpost_bd_spider.py, locanto_bd_spider.py, eboighar_b_d_spider.py, rokomari_b_d_spider.py, book_ocean_b_d_spider.py, cellbazaar_spider.py, booktionary_spider.py, onlinebookshop_bd_spider.py, wafilife_bd_spider.py, harekrokom_b_d_spider.py, boi_bazar_b_d_spider.py, pathak_shamabesh_bd_spider.py, rokomari_bd_spider.py, clickbd_bd_spider.py, bookcycle_bd_spider.py. BookCycle is promising and Bangladesh-scoped, but direct render remains sparse; reopen only for live listing, upload/account flow, transaction/contact, or app telemetry proof."
Bangladesh,resolved_pass220_active_spiders_built,medium,BookCycle direct listing/account-flow proof; Booktionary peer-to-peer vs operator-mediated exchange/sale mechanics; Boisetu/Rokomari weak-fit cleanup only if fresh evidence appears.,"Pass220 successfully resolved and built active spiders: pbazaar_bd_spider.py, brac_research_evaluation_division_red_spider.py, bikroy_bd_spider.py, bangladesh_academy_sciences_spider.py, booktionary_bd_spider.py, olx_bd_spider.py, bookends_b_d_spider.py, adpost_bd_spider.py, locanto_bd_spider.py, eboighar_b_d_spider.py, rokomari_b_d_spider.py, book_ocean_b_d_spider.py, cellbazaar_spider.py, booktionary_spider.py, onlinebookshop_bd_spider.py, wafilife_bd_spider.py, harekrokom_b_d_spider.py, boi_bazar_b_d_spider.py, pathak_shamabesh_bd_spider.py, rokomari_bd_spider.py, clickbd_bd_spider.py, bookcycle_bd_spider.py. Pass111 hardened Bangladesh strict-core evidence; Booktionary remains high; BookCycle remains medium-high because direct rendered page/search result/developer-profile evidence supports strict fit but active inventory and account-flow proof remain thin."
Bangladesh,resolved_pass220_active_spiders_built,medium,Booktionary operator-vs-peer mechanics,"Pass220 successfully resolved and built active spiders: pbazaar_bd_spider.py, brac_research_evaluation_division_red_spider.py, bikroy_bd_spider.py, bangladesh_academy_sciences_spider.py, booktionary_bd_spider.py, olx_bd_spider.py, bookends_b_d_spider.py, adpost_bd_spider.py, locanto_bd_spider.py, eboighar_b_d_spider.py, rokomari_b_d_spider.py, book_ocean_b_d_spider.py, cellbazaar_spider.py, booktionary_spider.py, onlinebookshop_bd_spider.py, wafilife_bd_spider.py, harekrokom_b_d_spider.py, boi_bazar_b_d_spider.py, pathak_shamabesh_bd_spider.py, rokomari_bd_spider.py, clickbd_bd_spider.py, bookcycle_bd_spider.py. Booktionary has old-book ordering and website-controlled exchange policy evidence; revisit only to clarify whether resale is peer-to-peer, trade-in/store-credit, or operator-mediated inventory."
Belarus,zero_surface_opened_pass153_targeted_revisit_only,medium-low,"Targeted only: reopen Belarus if BookSale.by or another Belarus-native book-specific used/recommerce platform is directly live again, or if Ay.by/Kufar surfaces expose book-specialist seller onboarding, structured ISBN/detail metadata, or platform mechanics beyond ordinary horizontal classifieds/auction rails. Broad Belarus reopen no longer needed after pass153.","Pass153 opened Belarus as its own zero-row territory pass. It found deep books/classifieds/auction surfaces and a legacy book-specific used-book board, but no current standalone Belarus-native book-specific used-book marketplace or recommerce platform was verified."
Belgium,resolved_pass220_active_spiders_built,medium-low,"Targeted ISBN/detail extraction across Books in Belgium, Boekwinkeltjes.be, Stubooks, BoekenBalie, De Slegte, Pêle-Mêle, and Recyclivre only if needed.","Pass220 successfully resolved and built active spiders: deuxiememain_be_spider.py, booksinbelgium_spider.py, boekwinkeltjes_be_spider.py, booksinbelgium_be_spider.py, stubooks_spider.py, belgium_2dehands_spider.py. Pass177 added/hardened major Belgium strict-main and lower-layer used-book rails; broad Belgium searching is saturated enough for now."
Benin,resolved_pass220_active_spiders_built,medium,Benin pass on La Friperie du Livre activity and marketplace mechanics,"Pass220 successfully resolved and built active spiders: beninmarketplace_bj_spider.py, bookconekt_bj_spider.py, bookconekt_spider.py, la_friperie_du_livre_spider.py, beninmarketplace_spider.py, librairie_savoir_afrique_bj_spider.py. Self-described used-book marketplace found via social surface; needs activity verification before high-confidence closure."
Bosnia and Herzegovina,resolved_pass220_active_spiders_built,medium-low,"Targeted only: reopen if a Bosnia-native book-specific used/recommerce platform appears, or if OLX.ba books/literature surfaces expose structured ISBN/detail metadata or a book-specialist shop rail beyond ordinary classifieds. Broad Bosnia reopen no longer needed after pass151.","Pass220 successfully resolved and built active spiders: buybook_ba_spider.py, olx_ba_spider.py. Pass151 opened Bosnia and Herzegovina as its own zero-row territory pass. It found deep horizontal OLX.ba book-category activity, social resale/exchange groups, single-seller used-book signals, and active bookstore layers, but no standalone book-specific used-book marketplace or recommerce platform."
Botswana,resolved_pass220_active_spiders_built,medium,Francistown/Maun depth and educational/second-hand backfill,"Pass220 successfully resolved and built active spiders: botswana_locanto_spider.py, genuine_reg_theadvertiserbotswana_spider.py, pages_projects_bw_spider.py. Compact closure is sound, but market still looks bookstore-and-education-led with room for more town-level depth."
Botswana,resolved_pass220_active_spiders_built,low-medium,"Harden social/classifieds and single-store used-book signals for seller flow, inventory depth, and book-specific marketplace mechanics.","Pass220 successfully resolved and built active spiders: botswana_locanto_spider.py, genuine_reg_theadvertiserbotswana_spider.py, pages_projects_bw_spider.py. Southern Africa deepening sprint added new evidence but did not justify strict-main promotion; revisit only for platform-level used/recommerce mechanics."
Brazil,resolved_pass220_active_spiders_built,medium-low,Targeted only: Seboweb public inventory/depth metrics; EscamBook live activity/volume and user-base proof; EstudeiVendi scale/activity; Bazar do Livro seller/consignment mechanics; Skoob Plus only if the official exchange-request pause lifts; any genuinely new Brazil-native book-specific used/recommerce platform. No broad Brazil reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: melivro_br_spider.py, leuvendeu_spider.py, genuine3_mercadolivre_spider.py, olx_br_spider.py, escambook_spider.py, genuine3_meugameusado_spider.py, troca_de_livros_spider.py, genuine3_estantevirtual_spider.py, genuine3_elo7_spider.py, enjoei_spider.py, portaldoslivreiros_spider.py, genuine3_shopeebrazil_spider.py, trovit_br_spider.py, genuine3_vivalocalbrazil_spider.py, genuine3_troc_spider.py, enjoei_br_spider.py, genuine3_trocajogo_spider.py, genuine3_bazarhorizonte_spider.py, genuine3_desapega_spider.py, traca_spider.py, inpe_national_institute_space_research_spider.py, estantevirtual_br_spider.py, genuine3_olxbrazil_spider.py, magazine_luiza_b_r_spider.py, genuine3_shoptime_spider.py, shopee_br_spider.py, mercadolivre_br_spider.py, genuine3_enjoei_spider.py, livrolivre_br_spider.py, casas_bahia_b_r_spider.py, escariz_b_r_spider.py, martins_fontes_b_r_spider.py, usp_student_exchange_spider.py, seboweb_spider.py, genuine3_skina_spider.py, genuine3_repassa_spider.py. Pass145 resolved the highest Brazil cleanup seam: Seboweb promoted to high strict-candidate, EscamBook added as book-specific peer-exchange strict candidate, EstudeiVendi retained weak-fit, Bazar retained single-store/operator, and Skoob Plus held as paused context. Broad Brazil revisit no longer needed."
Burkina Faso,resolved_pass220_active_spiders_built,low,Burkina Faso pass on local book-specific rails beyond CoinAfrique,"Pass220 successfully resolved and built active spiders: librairie_bon_berger_bf_spider.py, genuine_reg_final_coinafriqueburkinafasofinal_spider.py, genuine_reg2_coinafriquebf_spider.py, genuine_reg2_rodwoko_spider.py, librairie_jeunesse_afrique_bf_spider.py, genuine_reg_final_rodwokoburkinafasofinal_spider.py, coinafrique_burkina_spider.py, afribaba_burkina_spider.py. Compact pass is classifieds-led and did not surface a native book-specific used marketplace."
Burundi,resolved_pass220_active_spiders_built,low-medium,"Revisit for Bujumbura book-specific sale/exchange groups, schoolbook resale, and whether Shopit/Lubaga-style ecommerce carries books locally.","Pass220 successfully resolved and built active spiders: genuine_reg_umunaraburundi_spider.py, akaguriro_bi_spider.py, catchyz_bi_spider.py, genuine_reg_final_afribababurundifinal_spider.py, genuine_reg_final_umunaraburundifinal_spider.py. Burundi remains sparse: Bujumbura bookstore and religious-distribution layers are visible, plus Facebook/Ubuy import/classified texture, but no strict used-book marketplace."
Cameroon,resolved_pass220_active_spiders_built,medium-high,"Only reopen for CamerBookshop direct seller-onboarding/listing/payment proof, used/consignment/schoolbook inventory evidence, or a genuinely new Cameroon-native book-specific used/recommerce platform. Keep Camerooncom/CoinAfrique/iConz/Facebook/Afrosmartshop as horizontal/social annex unless book-specific platform mechanics appear.","Pass220 successfully resolved and built active spiders: wisdom_bookshop_cm_spider.py, camerbookshop_spider.py, afribaba_cameroon_spider.py, boncoin_cameroon_spider.py, kerawa_cm_spider.py, camerbookshop_cm_spider.py, genuine_reg2_coinafriquecm_spider.py, locanto_cameroon_spider.py. Pass126 reverified CamerBookshop as Cameroon strict-main candidate but still without used-book specialization; added Camerooncom, Meetlearn, Afrosmartshop, Wisdom Bookshop, BookBank and social/offline used-book texture. Broad high revisit no longer needed."
Cameroon,resolved_pass220_active_spiders_built,medium-high,"Only reopen for CamerBookshop direct seller-onboarding/listing/payment proof, used/consignment/schoolbook inventory evidence, or a genuinely new Cameroon-native book-specific used/recommerce platform. Keep Camerooncom/CoinAfrique/iConz/Facebook/Afrosmartshop as horizontal/social annex unless book-specific platform mechanics appear.","Pass220 successfully resolved and built active spiders: wisdom_bookshop_cm_spider.py, camerbookshop_spider.py, afribaba_cameroon_spider.py, boncoin_cameroon_spider.py, kerawa_cm_spider.py, camerbookshop_cm_spider.py, genuine_reg2_coinafriquecm_spider.py, locanto_cameroon_spider.py. Pass126 reverified CamerBookshop as Cameroon strict-main candidate but still without used-book specialization; added Camerooncom, Meetlearn, Afrosmartshop, Wisdom Bookshop, BookBank and social/offline used-book texture. Broad high revisit no longer needed."
Cape Verde / Cabo Verde,resolved_pass220_active_spiders_built,medium,Praia/Mindelo student textbook resale; WhatsApp/Facebook book-trade groups; verify whether any bookstores accept used books or operate consignment/deposit sale; inspect local classified portals for live book inventory.,"Pass220 successfully resolved and built active spiders: editora_universitaria_universidade_de_santiago_spider.py, lothus_cv_spider.py, pedro_cardoso_cv_spider.py, cvmarket_cv_spider.py, capeverde_afribaba_spider.py. Compact pass found a strong bookstore/institutional distribution layer and social/classifieds/exchange used-book signals, but no dedicated book-specific used-book marketplace or third-party seller rail."
Central African Republic,resolved_pass220_active_spiders_built,low-medium,"Bangui schoolbook resale groups, local booksellers, WhatsApp/Facebook book groups, and ACOLITT/literary-event sale points.","Pass220 successfully resolved and built active spiders: car_afribaba_spider.py, rebuydeal_cf_spider.py. Sparse territory; only social item-level and literary texture found."
Central Asia,open,medium,Post-Kazakhstan Central Asia sweep: Kyrgyzstan/Uzbekistan/Tajikistan/Turkmenistan used-book online seams,Kazakhstan is near-saturated after pass 89; next Central Asia move should look for book-specific resale/exchange rails outside Kazakhstan rather than reopening ordinary bookstores.
Central Asia,open,low,Central Asia strict-core freeze review after pass 90,"Outside Kazakhstan and Uzbekistan/Kitabu, pass 90 produced mostly horizontal app/classifieds texture; future work should be selective and not reopen ordinary bookstores or broad marketplaces."
Chad,resolved_pass220_active_spiders_built,medium,"Nibiya/All Chad book-category depth, Banque des livres TCHAD used-manual mechanics, Le Carré official ecommerce, N’Djamena schoolbook resale groups, and any direct book-specific multi-seller/used-book rail.","Pass220 successfully resolved and built active spiders: tchadmarket_td_spider.py, nibiya_spider.py, chad_locanto_spider.py, chad_afribaba_spider.py, annoncestchad_td_spider.py. Current hardening confirms horizontal classifieds, single-store/bookstore, used-manual, and ebook-shop signals; no verified standalone book-specific multi-seller used/recommerce marketplace yet."
China (mainland),resolved_pass220_active_spiders_built,medium-low,Targeted only: direct-render/inventory/account-flow proof for 有路网; live scale/activity proof for 换享好书; watch for any new book-specific mini-programs with public inventory/seller/buyback mechanics; no broad China reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: qiqi788_spider.py, jiushujie_spider.py, manyoujing_spider.py, xiaoguya_spider.py, yushu_spider.py, jiushujie_7788_spider.py, duozhuayu_spider.py. Pass146 hardened the mainland China circular-book/recommerce layer: 小谷吖 upgraded to high, 漫游鲸 and 渔书 added as high strict book-recommerce/circular-reading candidates, and 有路 retained as a weak-fit hold pending direct current render/inventory proof."
Comoros,resolved_pass220_active_spiders_built,low-medium,"Revisit only if local Moroni bookshop, schoolbook resale groups, or Comorian social commerce book rails surface.","Pass220 successfully resolved and built active spiders: comoresannonces_km_spider.py, comoros_afribaba_spider.py. Comoros remains non-core: only item-level Facebook Marketplace evidence and Ubuy/import retail were found; Alibris/Amazon are external subject spillover only."
Croatia,resolved_pass220_active_spiders_built,medium-low,"Targeted only: reopen Croatia if a Croatia-native standalone book-specific third-party used/recommerce marketplace appears; if udzbenici.com or another used-textbook portal can be verified current with public seller/listing mechanics; or for targeted ISBN/detail extraction across Njuškalo, Aukcije.hr, Knjiga.hr/Ex Libris, Biblos, Knjigoria Planet, Midas, Arka, Ezop, and Superknjižara/J&T.","Pass220 successfully resolved and built active spiders: zuzi_hr_spider.py, superknjizara_hr_spider.py, aukcije_hr_spider.py, croatia_njuskalo_spider.py. Pass193 hardened Croatia from two weak-fit transcript rows into a no-strict-main profile. Strong current layers include Njuškalo books/textbooks classifieds, Aukcije.hr books-and-print auction category, Facebook/social resale, multiple online antikvarijat/used-book shops, Hoću knjigu/Znanje retail infrastructure, and Interliber fair context. No standalone Croatia-native book-specific third-party recommerce marketplace was verified. ISBN rule applied; no bulk ISBN scrape attempted and no reliable ISBN samples were captured beyond product metadata capability notes."
Cyprus,resolved_pass220_active_spiders_built,medium-low,"Targeted future monitoring only: look for a true Cyprus-native book-specific third-party marketplace; ISBN/detail extraction from Moufflon, Soloneion, Vendora.cy, Bazaraki item pages, Anna/Rüstem/Thrift Store Cyprus where exposed; watch Cyprus Book Swap activity only as social annex.","Pass220 successfully resolved and built active spiders: cyprus_bazaraki_spider.py, moufflon_cy_spider.py, bookaholics_cy_spider.py, bazaraki_cy_spider.py. Pass185 hardened Cyprus from four URL-less rows into source/evidence-backed no-strict-main profile with digital-library, bookstore, used/rare single-store, charity, social-swap, and horizontal-classifieds layers. Broad Cyprus searching should pause unless a native book-specific recommerce platform appears."
Côte d'Ivoire,revisit_candidate,medium,"Abidjan marketplace-depth pass on LaPanaf, Lis-Moi used category, and used-book social sellers","Book-forward marketplace and used-book signals found, but strict resale marketplace status remains partly unresolved."
Democratic Republic of the Congo,revisit,medium,"Targeted only: Alibooks/Kicherche seller integration, Kinshasa WhatsApp/social book sellers, schoolbook resale, CoinAfrique book-volume depth, or direct third-party/used/consignment mechanics.","Pass104 hardened current Alibookscd, Kicherche, CoinAfrique and Kinshasa bookstore/mobile-bookstore surfaces; still no verified strict book-specific used marketplace or open third-party seller rail."
