country,source,entity_name,role_signal,address_raw,phone_raw,website_raw,promotion_status,source_url,sample_note
Brazil,ANL,A Degustadora de Histórias,bookstore/cultural bookstore signal,"Rua Garibaldi, 485, Ribeirão Prêto-SP",(16) 99799-0839,www.adegustadoradehistorias.com.br,candidate_bookstore_member,https://www.anl.org.br/v1/associados/,Visible ANL associates row; not full harvest
Brazil,ANL,A Página Distribuidora,distributor signal,"Mj. Fabriciano do Rego Barros, 1050 - Hauer - Curitiba-PR",(41) 3213-5643,www.apaginadistribuidora.com.br,book_trade_org_review_not_bookstore_promotion,https://www.anl.org.br/v1/associados/,Shows need for role classification
Brazil,ANL,Bibla Cafeteria e Livraria,bookstore/cafe bookstore,"Praça Prof. Emília Barbosa Lima, 58 - V. Madalena - São Paulo-SP",,www.bibla.com.br,candidate_bookstore_member,https://www.anl.org.br/v1/associados/,Visible ANL associates row; not full harvest
Chile,Frankfurt2027/MINCAP,[Librerías Google Sheet — export required],official directory category link,,,https://docs.google.com/spreadsheets/d/1KOim9Nn70VElqYEEQ7pz7aAmVNPJYKBmFi3TrFVRi6E/edit?usp=sharing,no_row_promotion_until_sheet_export,https://frankfurt2027.cultura.gob.cl/ecosistema-editorial/directorio-de-contactos/,The directory page points to a Google Sheet; row content not extracted in this runtime
Peru,CPL,LIBRERIA DEPORVIDA,Librería in name,"Calle Granada N° 360 - Dpto. 402, Pueblo Libre, Lima",+51 933080551,www.libreriadeporvida.com,candidate_bookstore_member,https://cpl.org.pe/directorio-asociados/,Visible CPL directory row; not full harvest
Peru,CPL,LIBRERÍA OCULTA – Héctor Jesús Huerto Vizcarra,Librería in name,"Calle El Caserio 179 Urb. Las Viñas, La Molina, Lima",993258125,libreriaoculta.com,candidate_bookstore_member,https://cpl.org.pe/directorio-asociados/,Visible CPL directory row; not full harvest
Uruguay,CUL,Amazonia – Espacio entre libros,Librería category,,,,candidate_bookstore_member,https://cul.com.uy/socios/,Visible CUL Socios Librería-category row; not full harvest
Uruguay,CUL,Puro Verso,Librería category,,,,candidate_bookstore_member,https://cul.com.uy/socios/,Visible CUL Socios Librería-category row; not full harvest
Costa Rica,CCL,"Desarrollos Culturales Costarricenses / DCC, Librería Internacional",Librería Internacional in block,,,www.libreriainternacional.com,candidate_bookstore_member_or_chain,https://cclcr.com/asociados/,Visible CCL active-member block; not full harvest
Costa Rica,CCL,Everything Faith Bookstore,Bookstore in name,,,everythingfaith.com,candidate_bookstore_member,https://cclcr.com/asociados/,Visible CCL active-member block; not full harvest
Costa Rica,CCL,El Librero Pandeado,bookstore/bookseller name signal,,,www.instagram.com/el_librero_pandeado,candidate_bookstore_member_review,https://cclcr.com/asociados/,Visible CCL active-member block; not full harvest
