unit,p9l_alt_city_climate_cost_posture,top16_row_count,best_p3_id,best_bucket,best_revised_score,best_candidate_summary,lowest_visible_monthly_brl,lowest_safe_planning_monthly_brl,median_safe_planning_monthly_brl,strict_or_mixed_ac_rows,high_or_very_high_preservation_risk_rows,humidity_risk,heat_risk,climate_profile,city_climate_note,recommended_no_contact_posture
Santos,CLIMATE_RISK_BUT_AC_LANE_EXISTS,2,P3-026,2D commercial,78.92,"Santos 2D commercial updated: Rua Amador Bueno 2/3-sala set at R$1,600 package with AC and 1 vaga is the practical commercial fallback; 20 m² R$700 micro-sala is price anchor but belongs primarily to 2A. Large Tribuna Square rows are confirmed but too expensive for this lane unless size/corporate fit matters.",700.00,1342.00,1382.00,2,1,HIGH,MED_HIGH,coastal port / humid maritime,High coastal humidity; AC/dehumidifier and mold inspection matter even for small commercial rooms.,"Keep as desk finalist lane; future contact must validate all-in cost, AC and condition."
Rio de Janeiro,CLIMATE_RISK_BUT_AC_LANE_EXISTS,2,P3-014,2B/2C live-in,71.87,Keep Rua General Roca / Tijuca 24 m² AC kitnet as Rio live-in strict-AC winner.,1336.00,2259.76,3236.18,2,2,HIGH,HIGH,coastal/subtropical humid urban,High heat/humidity; AC helps but does not replace mold/damp inspection.,"Keep as desk finalist lane; future contact must validate all-in cost, AC and condition."
Brasília,BALANCED_BACKUP_OR_CITY_SPECIFIC_PLAY,3,P3-027,2A,69.87,"SCS Quadra 1 Bloco M Lote 30 / Edifício Gilberto Salomão, Asa Sul/SCS, 30 m² sala, 1 banheiro, 5º andar.",1052.42,1810.81,2206.72,3,0,LOW_MED,MED_HIGH,interior plateau / dry season strong,"Lower mold pressure than coastal cities, but heat/dust and dry-season storage still need ventilation and AC/fan checks.","Keep as desk finalist lane; future contact must validate all-in cost, AC and condition."
Belo Horizonte,BALANCED_BACKUP_OR_CITY_SPECIFIC_PLAY,1,P3-041,2A commercial,67.87,"Rua Juiz de Fora, Barro Preto, 30 m² sala. Price mirror: Lugar Certo R$500 + R$314 + R$150. AC mirror: Netimóveis R$500 + R$320 + R$153.01 and description includes ar condicionado.",964.00,1708.24,1708.24,1,0,MED,MED,inland highland urban,Moderate preservation risk; older commercial buildings still need damp/ventilation check.,"Keep as desk finalist lane; future contact must validate all-in cost, AC and condition."
Foz do Iguaçu,CLIMATE_RISK_BUT_AC_LANE_EXISTS,2,P3-045,2A,67.22,"Foz 2A remains Avenida Brasil 720 / Edifício Comercial João Plínio SA0098/SA0099: 34–36 m² Centro sala, 1 banheiro, explicit ar condicionado na sala, good Centro/Avenida Brasil office spine.",1120.00,1889.20,2075.92,2,0,MED_HIGH,HIGH,humid subtropical / hot-wet season,Heat and humidity raise preservation risk; explicit AC rows are materially better.,"Keep as desk finalist lane; future contact must validate all-in cost, AC and condition."
Porto Alegre Centro,BALANCED_BACKUP_OR_CITY_SPECIFIC_PLAY,2,P3-008,2A sala,56.75,Keep Auxiliadora Predial ref 390785 / Rua dos Andradas 16 m² sala as the current Porto Alegre 2A price anchor; treat Andradas 1137/Galeria Malcon as optional fallback seams unless refreshed directly.,585.00,1288.60,1408.08,0,2,MED_HIGH,MED,humid subtropical / river-city old-centre,"Humidity plus older Centro buildings makes damp, leaks, and ventilation checks important.","Keep as desk finalist lane; future contact must validate all-in cost, AC and condition."
Campinas,BALANCED_BACKUP_OR_CITY_SPECIFIC_PLAY,1,P3-016,2A sala,56.53,Keep split 2A lane: Dr. Quirino 21 m² no-portaria price anchor; Ferreira Penteado 709 / SA1459 AC/practical lane.,882.00,1613.12,1613.12,1,1,MED,MED_HIGH,inland warm urban,Moderate heat/humidity risk; AC matters for comfort and book protection in sealed rooms.,"Keep as desk finalist lane; future contact must validate all-in cost, AC and condition."
Francisco Morato,STRATEGIC_ONLY_HIGH_BURN,1,P3-036,2A,55.53,"Promote Fortbens COD 216659 as the current Francisco Morato 2A price/AC rescue: Centro, 36 m² listing shell with A/C 27 m² text, 1 banheiro, climatizada, ponto hidráulico, prédio comercial, near station/services; direct page says Disponibilidade: Disponível. Keep COD 191546 52 m² R$1,700 available as larger fallback. Treat COD 182973 47 m² R$1,500 and COD 214463 35 m² R$1,450 as suspended despite appearing in similar/list pages.",1242.47,2091.27,2091.27,1,0,MED,MED,São Paulo metro / hilly humid pockets,Moderate damp risk; exact block/building condition is the bigger unknown.,Hold unless this city/use case is deliberately selected; high-burn rows need stronger strategic justification.
Pelotas,CLIMATE_RISK_BUT_AC_LANE_EXISTS,1,P3-021,2B/2C kitnet/AC,52.55,Keep Rua Lobo da Costa 22 m² as strict-AC price winner; page is live/current and explicitly lists ar-condicionado. General Argolo 60 m² remains live AC fallback.,1200.00,1982.00,1982.00,1,1,HIGH,MED,southern coastal plain influence / damp cool seasons,Damp/cool/coastal-influenced conditions make mold/humidity inspection a high priority.,"Keep as desk finalist lane; future contact must validate all-in cost, AC and condition."
Santana do Livramento,BALANCED_BACKUP_OR_CITY_SPECIFIC_PLAY,1,P3-050,2B,50.29,"Centro, same quadra da UNIPAMPA, direct-owner kitchenette/JK row with individualized entrance; backup furnished JK also central/UNIPAMPA.",740.00,1408.40,1408.40,0,1,MED,LOW_MED,southern border / cooler but damp seasons,"Cooler climate reduces heat load, but damp/cold-season storage must be checked.","Keep as desk finalist lane; future contact must validate all-in cost, AC and condition."
