p3_id,unit,bucket,action_rank,action_class,verification_grade,candidate_or_strategy,visible_cost,ac_status,next_verification_step,live_refresh_policy,provenance_state,archived_chat_evidence,archived_chat_titles,source_layers_linked,p2_note,p7_final_lane,p7_stopline_status,p7_remaining_action,p8_lane,p8_action_rule,p8_turn13_status
P3-008,Porto Alegre Centro,2A sala,5,P6A live-refreshed; verify before action,B,"Price: Rua dos Andradas 16 m² total R$791. Practical small: Andradas 1137 27 m² full visible R$1,007. Size/value: Galeria Malcon 65 m² ~R$1,200.","R$791 price lane; R$1,007 practical small; ~R$1,200 size/value",No AC on price winner; separate AC row exists but fees are unclear.,"Confirm exact address/unit, building flood status, portaria hours, power/AC capability, and whether total package includes all mandatory fees.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive identifies Rua dos Andradas/Riachuelo/Borges/Vigário as the sala seam. Andradas 1137 at R$600 base is the cheap micro-sala; Andradas 1560 Galeria Malcon, 65 m² at R$1,165 + fire insurance, is the practical size/value lead. | P6A: Update 2A price lane: smallest clean current package is Rua dos Andradas at about R$791 total via Auxiliadora; Andradas 1137 remains a stronger 27 m² reference at R$1,007 full visible. Galeria Malcon remains larger fallback at ~R$1,200.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,best-current/refreshed candidate; still verify before action; AC not confirmed from current row,Carried forward from P7; no new live refresh in P8 control consolidation.
P3-009,Porto Alegre Centro,2B/2C JK/live-in,5,P6A live-refreshed; verify before action,B,Cheap: Coronel Vicente 17 m² R$585 total. Mission-fit: Riachuelo 30 m² R$885 total. Backup: Vigário José Inácio ~R$891+.,R$585 cheap; R$885 mission-fit; ~R$891+ backup,No AC proof on cheap leaders.,"Verify post-flood building conditions, safety, noise, elevators/portaria, and availability before action.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive says Porto Alegre is excellent for cheap central JKs. Cheapest is Rua Coronel Vicente R$585 total, 17 m². Best sebo-weighted live-in lead is Rua Riachuelo R$885/30 m². Vigário José Inácio creates a repeatable low-stack backup seam. | P6A: Confirm Coronel Vicente as cheap price winner at R$585 total; keep Riachuelo as better mission-fit live-in at R$885 total; Vigário José Inácio remains repeatable backup around R$891–1,150 depending listing.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,best-current/refreshed candidate; still verify before action; AC not confirmed from current row,Carried forward from P7; no new live refresh in P8 control consolidation.
P3-010,Porto Alegre Centro,2D house/storage,5,P6A live-refreshed; verify before action,B,"General Vitorino 76 m² commercial-house/clinic, total R$2,700, AC in all environments.","R$2,700 total",Explicit AC in all environments.,"Verify suitability for book storage, flood/damp risk, insurance, operating restrictions, and whether residence/live-in is prohibited.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive ranks house/storage options separately. Barão do Triunfo 2BR/100 m² is the best residential house at ~R$1,648; General Vitorino 76 m² is the best central commercial-house at R$2,700 total with AC; Álvaro Chaves is the serious storage/logistics lead. | P6A: Confirm General Vitorino commercial-house/clinic at R$2,700 with AC in all environments. Barão do Triunfo search refreshed as a sala/commercial room, not a residential house replacement; residential house/storage remains action-probe only.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.
P3-013,Rio de Janeiro,2A sala,5,P6A live-refreshed; verify before action,B,"Price: Praça Tiradentes 30–40 m² R$1,050 full visible. Fallback: Ouvidor 40 m² R$1,230. AC: Paço do Ouvidor R$1,600.","R$1,050 price; R$1,230 simple fallback; R$1,600 AC fallback",Price winner no AC shown; AC fallback explicit.,"Verify building hours, security, post-work access, and whether Centro block conditions are acceptable.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive carried forward the Centro/Praça Tiradentes/Ouvidor sala lane with Praça Tiradentes 40 m², Ouvidor 31 m², and Rosário 32 m² as the operative leads. P4 marks details loaded but live refresh still required before action. | P6A: Promote Praça Tiradentes as current price sala lead at full visible R$1,050; keep Rua do Ouvidor 63 as a simple 40 m² fallback at R$1,230; keep Paço do Ouvidor AC room as AC fallback at R$1,600.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.
P3-014,Rio de Janeiro,2B/2C live-in,5,P6A live-refreshed; verify before action,B,"Rua General Roca, Tijuca, 24 m² AC kitnet, total R$1,336.","R$1,336 total",Explicit AC.,"Confirm current availability, exact unit, AC condition, Saens Peña block safety/noise, and all fees.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive carried forward Tijuca/Saens Peña as the residential answer, with General Roca as the AC lead and Evaristo da Veiga as the Centro fallback. P4 does not live-refresh Rio. | P6A: Promote General Roca / Tijuca AC kitnet as live-in strict-AC winner at total R$1,336. The Evaristo da Veiga Centro fallback is current but no AC and has fee-total inconsistency, so it is not the winner.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.
P3-015,Rio de Janeiro,2D house/storage,5,P6A live-refreshed; verify before action,B,"Rua Santa Luísa, 70 m² 3BR house, total R$2,985, AC.","R$2,985 total",Explicit AC.,"Verify access, security, storage/humidity, and whether the house layout fits book operations.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive carried forward the Tijuca/Maracanã/Engenho Novo house-storage framing, especially Santa Luísa and Visconde de Santa Cruz. P4 keeps this as archive-loaded, not live-action-ready. | P6A: Confirm Rua Santa Luísa / Maracanã-Tijuca house as current AC house/storage lead at total R$2,985. It is not cheap, but it is the current web-verifiable AC house in the preferred Tijuca/Maracanã lane.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.
P3-012,Esteio outward / Trensurb corridor,2D house,5,Best actionable now - live-refreshed P6C,B-,"Price anchor: Rua Senador Salgado Filho, Centro, Esteio, 2BR/1 bath/40m² house at R$690/month, no AC shown and fees not exposed. Complete fallback: Rua Negrinho do Pastoreio, Novo Esteio, 2BR/72m² at R$1,650 + R$23 condomínio = R$1,673 visible. Strict-AC fallback: São Sebastião semi-mobiliada at R$2,390/month with split in main bedroom; better comfort but not price winner.","R$690/month price anchor; R$1,673 visible complete fallback; R$2,390 strict-AC fallback.",Price anchor: no AC shown. Complete fallback: no AC shown. Strict-AC fallback: split in main bedroom only; verify installed/working.,"Before action: confirm current availability, exact number/block, total monthly fees, utility responsibility, walk/time to Estação Esteio, safety/noise/damp, and whether any AC is installed.",P6C live-refreshed; verify before action; live refresh no longer winner-changing unless acting now.,file-backed carried-forward ; p6c_live_refresh,yes,Centro vs Vila Portes; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6c_mini_refresh_turn11_v1,"P4 archive detail: Archive confirms house options were run after the outward/AC passes, but the detailed house row should stay less actionable than the kitnet/AC row until a fresh live house refresh is done. Preserve Sapucaia value / São Leopoldo book-capable framing. P6C: live_refreshed_price_anchor_promoted_with_no_ac_caveat",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.
P3-029,Brasília,2C AC challenger,1,Best actionable now - strict/current,A-,Park Studios / SGCVS Lote 11 MGF code 310129701 becomes the current explicit-AC 2C challenger; keep other Park Studios rows as non-AC-shown alternates.,"Explicit-AC row: R$1,850 rent + R$337 condomínio = R$2,187 before IPTU/insurance/utilities.",AC explicit on selected live row,Refresh listing availability; verify AC explicitly; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed carried-forward,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_border_axis_extension_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,"refresh only if this exact unit/bucket is being acted on; AC evidence may exist, re-verify exact current listing before relying on it",Carried forward from P7; no new live refresh in P8 control consolidation.
P3-035,Caieiras,2B/2C/2D,2,Best actionable now - standard verify,B,Região Central 14-15m2 micro-unit; Morro Grande 40m2 house; Serpa/Jd Marcelino 55-60m2 house,"R$850; R$960; R$1,100-1,300",verify layout/ventilation/station walk,Refresh listing availability; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed carried-forward,yes,Centro vs Vila Portes; Property Search Continuation,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_border_axis_extension_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,refresh only if this exact unit/bucket is being acted on,Carried forward from P7; no new live refresh in P8 control consolidation.
P3-031,Campo Limpo/Botujuru,2A commercial,2,Best actionable now - standard verify,B,Centro 32m2 sala; Botujuru 72m2 salão at same Rua Pedro Álvares Cabral cluster,"R$1,700 rent; ~R$2,000 rent",verify fees and station walk,Refresh listing availability; verify exact block/walk/logistics,"Refresh listing/agent immediately before action; verify availability, total monthly cost, exact address, AC claim, and block conditions.",file-backed carried-forward,yes,Centro vs Vila Portes; Property Search Continuation,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_border_axis_extension_vFINAL,,P7-B SELECTIVE_REFRESH_IF_ACTING,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",P5-B SELECTIVE_REFRESH_IF_ACTING — Refresh only if preparing to act in this city/bucket; otherwise preserve as harmonized winner with standard volatility caveat.,P8-2 SELECTIVE_REFRESH_IF_ACTING,refresh only if this exact unit/bucket is being acted on,Carried forward from P7; no new live refresh in P8 control consolidation.
