filename,role,status,bytes
00_READ_FIRST_CAPSULE_HISTORY_RBM_PASS193_TO_PASS217_TERMINAL_HANDOFF_2026-05-14.md,continuity/documentation/code/state,non_superseded_in_terminal_handoff,5572
00_READ_FIRST_CAPSULE_HISTORY_RBM_PASS217_2026-05-06.md,continuity/documentation/code/state,non_superseded_in_terminal_handoff,774
00_READ_FIRST_CONTINUITY_HANDOFF_RBM_POST_PASS217_2026-05-06.md,continuity/documentation/code/state,non_superseded_in_terminal_handoff,1112
00_READ_FIRST_CONTINUITY_HANDOFF_RBM_POST_PASS217_TERMINAL_HANDOFF_2026-05-14.md,continuity/documentation/code/state,non_superseded_in_terminal_handoff,3692
00_READ_FIRST_RESUME_PROMPT_RBM_POST_PASS217_2026-05-06.md,continuity/documentation/code/state,non_superseded_in_terminal_handoff,672
00_READ_FIRST_RESUME_PROMPT_RBM_POST_PASS217_TERMINAL_HANDOFF_2026-05-14.md,continuity/documentation/code/state,non_superseded_in_terminal_handoff,2096
00_READ_FIRST_TECHNICAL_OBSERVATIONS_AND_DECISIONS_RBM_POST_PASS217_2026-05-06.md,continuity/documentation/code/state,non_superseded_in_terminal_handoff,891
00_READ_FIRST_TECHNICAL_OBSERVATIONS_AND_DECISIONS_RBM_POST_PASS217_TERMINAL_HANDOFF_2026-05-14.md,continuity/documentation/code/state,non_superseded_in_terminal_handoff,4071
COMPLETE_CHAT_TRANSCRIPT_RBM_PASS193_TO_PASS217_VISIBLE_TERMINAL_HANDOFF_2026-05-14.md,continuity/documentation/code/state,non_superseded_in_terminal_handoff,16620
COMPLETE_CHAT_TRANSCRIPT_RBM_PASS217_BEST_AVAILABLE_2026-05-06.md,continuity/documentation/code/state,non_superseded_in_terminal_handoff,150
CURRENT_STATE_SNAPSHOT_RBM_PASS217_RUSSIA_FINAL_SATURATION_CLEANUP_2026-05-06.json,continuity/documentation/code/state,non_superseded_in_terminal_handoff,942
HASH_MANIFEST_RBM_PASS217_RUSSIA_FINAL_SATURATION_CLEANUP_2026-05-06.json,continuity/documentation/code/state,non_superseded_in_terminal_handoff,2341
PACKAGE_FILE_LIST_RBM_PASS217_RUSSIA_FINAL_SATURATION_CLEANUP_2026-05-06.json,continuity/documentation/code/state,non_superseded_in_terminal_handoff,1820
README_RBM_PASS217_RUSSIA_FINAL_SATURATION_CLEANUP_2026-05-06.md,continuity/documentation/code/state,non_superseded_in_terminal_handoff,72
ROW_COUNT_VALIDATION_RBM_PASS217_RUSSIA_FINAL_SATURATION_CLEANUP_2026-05-06.txt,continuity/documentation/code/state,non_superseded_in_terminal_handoff,592
ROW_COUNT_VALIDATION_RBM_POST_PASS217_TERMINAL_HANDOFF_2026-05-14.txt,continuity/documentation/code/state,non_superseded_in_terminal_handoff,894
SHA256SUMS_RBM_PASS217_RUSSIA_FINAL_SATURATION_CLEANUP_2026-05-06.txt,continuity/documentation/code/state,non_superseded_in_terminal_handoff,2227
build_pass217_russia_final_saturation_cleanup.py,continuity/documentation/code/state,non_superseded_in_terminal_handoff,106
rbm_all_categories_verbose_compile_2026-05-06_pass217_russia_final_saturation_cleanup.csv,live csv,non_superseded_in_terminal_handoff,874844
rbm_canonical_site_registry_2026-05-06_pass217_russia_final_saturation_cleanup.csv,live csv,non_superseded_in_terminal_handoff,946195
rbm_revisit_queue_2026-05-06_pass217_russia_final_saturation_cleanup.csv,live csv,non_superseded_in_terminal_handoff,113364
rbm_runtime_gap_bridge_evidence_2026-05-06_pass217_russia_final_saturation_cleanup.csv,live csv,non_superseded_in_terminal_handoff,1063393
rbm_sources_consulted_2026-05-06_pass217_russia_final_saturation_cleanup.csv,live csv,non_superseded_in_terminal_handoff,433766
rbm_territory_summaries_2026-05-06_pass217_russia_final_saturation_cleanup.csv,live csv,non_superseded_in_terminal_handoff,146377
