source_name,url,evidence_type,evidence,use
Cámara Colombiana del Libro — Librerías Colombia / Camlibro,https://librerias.camlibro.com.co/,current count/authority page,Directory says it includes 481 bookstores in 50 cities and most have web/social sales channels.,current count and source description
Cámara Colombiana del Libro — Librerías Colombia / Camlibro,https://librerias.camlibro.com.co/mapa,static map/listing page,"Visible static rows expose store name, city, address, phone, external links, plus virtual rows.",parse target and sample rows
Cámara Colombiana del Libro — Librerías Colombia / Camlibro,https://camlibro.com.co/presentacion-directorio-librerias-colombia/,launch article / taxonomy context,"2023 article says directory had 484 bookstores in 48 cities and 24 departments; includes independent, religious, university, legal, and chain bookstores; map has contact/location/social/e-commerce links.",taxonomy and count drift note
Booksellers Association — Bookshop Search,https://www.booksellers.org.uk/bookshopsearch.aspx,search interface,"Search page says it lists all BA bookshop members in UK & Ireland and supports all/filter searches, with website and telephone information.",authority and extraction surface
Booksellers Association — Bookshop Search,https://www.booksellers.org.uk/bookshopsearch.aspx?shop=A,A-Z result page,"A-Z page reports 973 bookshops for all services and exposes sample listing cards with addresses, websites, services, and detail links.",crawl pattern and count note
Booksellers Association — Bookshop Search,https://www.booksellers.org.uk/Bookshop-Details.aspx?m=5030676683505,profile page,"A New Leaf profile exposes address, email, website, services, description, and opening hours.",detail-field map
Booksellers Association — Bookshop Search,https://www.booksellers.org.uk/jointheba/jointheba/aboutus,association authority,BA says it represents over 95% of bookshops in UK & Ireland.,coverage context
genialokal — Unsere Buchhandlungen,https://www.genialokal.de/Haendler/,current network count,Main dealer page says users can choose a favorite bookstore from over 750 genialokal bookstores.,source classification and count note
genialokal — Unsere Buchhandlungen,https://www.genialokal.de/Haendler/Nordrhein-Westfalen/,regional listing,"State page exposes participant store names, street addresses, postal codes, and profile links.",listing crawl pattern
genialokal — Unsere Buchhandlungen,https://www.genialokal.de/buchhandlung/bonn/Altstadtbuchhandlung-Bonn/,store profile,"Profile exposes name, address, phone, hours, social/contact links, description, external site, and local inventory/order signals.",detail-field map
buchhandel.at / Hauptverband des Österreichischen Buchhandels,https://buchhandel.at/buchhandlungen/,current source count/surface,Page says Austria has over 400 bookstores and lists bookshops with local-buy framing.,count and source classification
buchhandel.at / Hauptverband des Österreichischen Buchhandels,https://buchhandel.at/buchhandlungskategorie/02-buchhandlung/,category listing,"Category archive says directory lets users search Austrian bookstores and see addresses, hours, contact data, online shop and voucher acceptance; rows are HVB members.",crawl target and field map
buchhandel.at / Hauptverband des Österreichischen Buchhandels,https://buchhandel.at/buchhandlung/claudia-skopal-lesehaus-gmbh/,profile page,"Profile exposes category, street, postal/city, phone, and email.",sample row
buchhandel.at / Hauptverband des Österreichischen Buchhandels,https://buecher.at/mitglieder/mitglieder-buchhandlung-und-verlag-finden/,association authority/context,"HVB says buchhandel.at lets users discover member bookshops, antiquarian booksellers, online shops, and member publishers.",role-boundary rule
