p3_id,unit,bucket,p9k_alt_status,candidate_or_strategy,visible_cost,ac_status,next_verification_step,governance_note
P3-069,Barra do Quaraí,micro-annex 2A,PHONE_ONLY_MICROGAP_QUARANTINE,Archived Rua Quaraí 45 and Rua Visconde probes remain call-first only; no live-refreshed Barra winner.,No verified current rent.,Unknown/not verified.,Phone broker/local contact for current inventory; verify AC explicitly; verify total fee stack; verify exact block/walk/logistics,No promotion into P9K desk finalist pool without direct current evidence; contact is deferred by user.
P3-070,Barra do Quaraí,micro-annex 2B,PHONE_ONLY_MICROGAP_QUARANTINE,Archived Rua Quaraí 45 and Rua Visconde probes remain call-first only; no live-refreshed Barra winner.,No verified current rent.,Unknown/not verified.,Phone broker/local contact for current inventory; verify AC explicitly; verify total fee stack; verify exact block/walk/logistics,No promotion into P9K desk finalist pool without direct current evidence; contact is deferred by user.
P3-053,Chuí,2A,PHONE_ONLY_MICROGAP_QUARANTINE,No live-refreshed Chuí winner. Use Imobiliária Fronteira / local brokers as contact path; archived rows remain historical/social-source leads only.,No verified current rent.,Unknown/not verified.,Phone broker/local contact for current inventory; verify AC explicitly; verify total fee stack; verify exact block/walk/logistics,No promotion into P9K desk finalist pool without direct current evidence; contact is deferred by user.
P3-054,Chuí,2B,PHONE_ONLY_MICROGAP_QUARANTINE,No live-refreshed Chuí winner. Use Imobiliária Fronteira / local brokers as contact path; archived rows remain historical/social-source leads only.,No verified current rent.,Unknown/not verified.,Phone broker/local contact for current inventory; verify AC explicitly; verify total fee stack; verify exact block/walk/logistics,No promotion into P9K desk finalist pool without direct current evidence; contact is deferred by user.
P3-055,Chuí,2C,PHONE_ONLY_MICROGAP_QUARANTINE,No live-refreshed Chuí winner. Use Imobiliária Fronteira / local brokers as contact path; archived rows remain historical/social-source leads only.,No verified current rent.,Unknown/not verified.,Phone broker/local contact for current inventory; verify AC explicitly; verify total fee stack; verify exact block/walk/logistics,No promotion into P9K desk finalist pool without direct current evidence; contact is deferred by user.
P3-056,Chuí,2D,PHONE_ONLY_MICROGAP_QUARANTINE,No live-refreshed Chuí winner. Use Imobiliária Fronteira / local brokers as contact path; archived rows remain historical/social-source leads only.,No verified current rent.,Unknown/not verified.,Phone broker/local contact for current inventory; verify AC explicitly; verify total fee stack; verify exact block/walk/logistics,No promotion into P9K desk finalist pool without direct current evidence; contact is deferred by user.
P3-065,Quaraí,2A,PHONE_ONLY_MICROGAP_QUARANTINE,Archived Rua Duque 547 / Gimba / Ideal leads preserved as phone-first leads; no live-refreshed rental winner.,Archived prices only; no verified current rent.,Unknown/not verified.,Phone broker/local contact for current inventory; verify AC explicitly; verify total fee stack; verify exact block/walk/logistics,No promotion into P9K desk finalist pool without direct current evidence; contact is deferred by user.
P3-066,Quaraí,2B,PHONE_ONLY_MICROGAP_QUARANTINE,Archived Rua Duque 547 / Gimba / Ideal leads preserved as phone-first leads; no live-refreshed rental winner.,Archived prices only; no verified current rent.,Unknown/not verified.,Phone broker/local contact for current inventory; verify AC explicitly; verify total fee stack; verify exact block/walk/logistics,No promotion into P9K desk finalist pool without direct current evidence; contact is deferred by user.
P3-067,Quaraí,2C,PHONE_ONLY_MICROGAP_QUARANTINE,Archived Rua Duque 547 / Gimba / Ideal leads preserved as phone-first leads; no live-refreshed rental winner.,Archived prices only; no verified current rent.,Unknown/not verified.,Phone broker/local contact for current inventory; verify AC explicitly; verify total fee stack; verify exact block/walk/logistics,No promotion into P9K desk finalist pool without direct current evidence; contact is deferred by user.
P3-068,Quaraí,2D,PHONE_ONLY_MICROGAP_QUARANTINE,Archived Rua Duque 547 / Gimba / Ideal leads preserved as phone-first leads; no live-refreshed rental winner.,Archived prices only; no verified current rent.,Unknown/not verified.,Phone broker/local contact for current inventory; verify AC explicitly; verify total fee stack; verify exact block/walk/logistics,No promotion into P9K desk finalist pool without direct current evidence; contact is deferred by user.
