p3_id,unit,bucket,action_rank,action_class,verification_grade,candidate_or_strategy,visible_cost,ac_status,next_verification_step,live_refresh_policy,provenance_state,archived_chat_evidence,archived_chat_titles,source_layers_linked,p2_note,p7_final_lane,p7_stopline_status,p7_remaining_action,p8_lane,p8_action_rule,p8_turn13_status,p9c_turn16_status,p9c_decision_summary,p9c_source_labels,p9c_remaining_risk
P3-027,Brasília,2A,2,P9A focused verified - CONFIRMED_CURRENT_STANDARD_VERIFY,A-,"SCS Quadra 1 Bloco M Lote 30 / Edifício Gilberto Salomão, Asa Sul/SCS, 30 m² sala, 1 banheiro, 5º andar.","R$450 rent + R$504 condo + R$98.42 IPTU/month = R$1,052.42/month package; annual fire insurance R$172.08 also listed; listing notes IPTU/TLP annual 2023 divided in six installments.","AC not shown. Amenities show elevador/lavabo/piso cerâmico, not ar-condicionado.","Call to confirm availability, current 2026 IPTU/TLP, fire-insurance timing, whether split AC is allowed, access hours, and Conic/SCS block-level comfort.","P9A focused verification completed; call/refresh immediately before action, no broad crawl.",file-backed carried-forward,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_border_axis_extension_vFINAL ; 2026-05-06_p6b_live_refresh_cluster_turn10_v1," | P6B: Confirm SCS Quadra 1 Bloco M Lote 30 / Edifício Gilberto Salomão as the current Brasília 2A winner. Multiple mirrors preserve the same R$450 rent + R$504 condomínio + R$98.42 IPTU package; no AC shown, but 2A is not globally hard-AC-gated.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",superseded_by_P9A_turn14,,,,
P3-021,Pelotas,2B/2C kitnet/AC,5,P9C focused verified - CONFIRMED_LIVE_WITH_COST_NOTE,A- call before action,Keep Rua Lobo da Costa 22 m² as strict-AC price winner; page is live/current and explicitly lists ar-condicionado. General Argolo 60 m² remains live AC fallback.,"Lobo da Costa: R$1,100 rent + R$80 condomínio + R$20 IPTU = R$1,200 all-in if IPTU included; Chaves subtotal line shows R$1,180 rent+condo only. General Argolo: R$1,600 + R$100 condo = R$1,700.",Explicit AC on Lobo da Costa and General Argolo.,"Call/refresh before action: verify availability, exact address/block/unit, total monthly cost, AC only where explicit, and building/block conditions.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive says Centro wins cleanly. Non-AC Lobo da Costa R$700–720 is the price board; Lobo da Costa and General Argolo around R$1,100 are cheap AC-confirmed leads; the 60 m² AC loft at R$1,435 is the best size/AC value. | P6A: Promote Rua Lobo da Costa 22 m² AC loft as strict AC price winner at full visible R$1,200. General Argolo 60 m² AC remains the larger/quality fallback at R$1,700 total.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",updated_by_P9C_turn16,confirmed_live_with_cost_note,"Lobo listing updated 06/05/2026; still must call to verify exact floor/unit, humidity, recurring fees, AC condition, and whether IPTU is actually billed monthly.",https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-rs-pelotas-centro-22m2-RS1100/id-39206941/ | https://rs.mgfimoveis.com.br/kitnet-1-dormitorio-para-alugar-60-m-por-r-178516mes-centro-301906918,listing volatility; direct contact required before action
P3-041,Belo Horizonte,2A commercial,2,P9A focused verified - UPDATED_AC_LANE_CALL_FIRST,B+ pending call,"Rua Juiz de Fora, Barro Preto, 30 m² sala. Price mirror: Lugar Certo R$500 + R$314 + R$150. AC mirror: Netimóveis R$500 + R$320 + R$153.01 and description includes ar condicionado.","Price lane: R$500 + R$314 + R$150 = R$964 visible. AC lane: R$500 + R$320 + R$153.01 = R$973.01 visible, if still current.",AC explicitly shown on Netimóveis mirror; Lugar Certo/Lugarcerto price row text does not show AC.,"Call Campos Guimarães/Netimóveis mirror to confirm whether the R$500 row is the same unit, whether AC is installed/working, current condomínio/IPTU basis, availability, and building access.","P9A focused verification completed; call/refresh immediately before action, no broad crawl.",current_conversation_patch,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_current_chat_patch ; 2026-05-04_post_border_axis_extension_vFINAL ; 2026-05-06_p6b_live_refresh_cluster_turn10_v1," | P6B: Replace the fuzzy ~R$911 Barro Preto commercial row with a clearer split: cheapest current call-first price anchor is Rua Juiz de Fora 30 m² at R$500 + R$314 condo + R$150 IPTU = R$964; AC/practical lane is another Rua Juiz de Fora / Inova row at R$900 + R$412 + R$150 = R$1,462 with explicit ar condicionado. The Rua Rio Grande do Sul R$850-looking row has polluted IPTU display and is not promoted.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",superseded_by_P9A_turn14,,,,
P3-042,Belo Horizonte,2B small residential,2,P9A focused verified - CONFIRMED_CURRENT_STANDARD_VERIFY,B,"Camelo Kitnet, Avenida Amazonas 1866, Barro Preto/Centro axis; 1BR/private bath standard apartment row.","R$1,480 rent + R$55 condo + IPTU 5x R$52.05 = R$1,587.05 during IPTU months. Water is shared among 4 apartments; electricity individual.",AC not shown.,"Call Camelo to verify availability, private bathroom, water split, lease term, safety/building access, ventilation, and whether any unit has AC.","P9A focused verification completed; call/refresh immediately before action, no broad crawl.",current_conversation_patch,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_current_chat_patch ; 2026-05-06_p6b_live_refresh_cluster_turn10_v1," | P6B: Keep Av. Amazonas 1866 Camelo 1BR as the standard private-bath 2B winner at ~R$1,587.05 during IPTU months. Add the separate Av. Amazonas 1866 shared-bath kitnet at ~R$681.03 during IPTU months as a budget probe only, not a normal residential winner.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",superseded_by_P9A_turn14,,,,
P3-043,Belo Horizonte,2C practical 2BR,2,P9A focused verified - CONFIRMED_WITH_IPTU_AMBIGUITY,B with cost caveat,"Avenida Augusto de Lima, Centro/Maletta, 58 m², 2 dormitórios, 1 banheiro, mobiliado/armários/cama in one mirror.","Structured totals: R$1,100 rent + R$382–383 condo = R$1,482–1,483. Text mirror adds IPTU R$104.23, producing fuller cost ~R$1,586.23.",AC not shown.,"Call/WhatsApp owner/broker to verify whether IPTU is extra, furnished contents, availability, elevator/stairs, building rules, and Mercado Novo/Maletta block route.","P9A focused verification completed; call/refresh immediately before action, no broad crawl.",current_conversation_patch,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_current_chat_patch ; 2026-05-06_p6b_live_refresh_cluster_turn10_v1," | P6B: Promote the cheaper refreshed Avenida Augusto de Lima 58.07 m² / 2BR row as the price winner at R$1,483 visible; keep Netimóveis/Imovelweb R$1,991 row as the more formal broker mirror/fallback. Neither shows AC.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",superseded_by_P9A_turn14,,,,
P3-016,Campinas,2A sala,5,P9C focused verified - CONFIRMED_LIVE,A- call before action,Keep split 2A lane: Dr. Quirino 21 m² no-portaria price anchor; Ferreira Penteado 709 / SA1459 AC/practical lane.,"Dr. Quirino: R$650 + R$232 = R$882/month. Ferreira Penteado: R$777 + R$583.23 + R$206.77 = R$1,567/month package.","Dr. Quirino no AC shown. Ferreira Penteado explicitly lists ar condicionado, portaria 24h and elevators.","Call/refresh before action: verify availability, exact address/block/unit, total monthly cost, AC only where explicit, and building/block conditions.",P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive carried forward Centro/Ferreira Penteado/Dr. Quirino as the 2A lane, with Ferreira Penteado 64 m² and Dr. Quirino micro-sala as representative leads. Verify BRT walk and total cost before action. | P6A: Promote Rua Doutor Quirino 21 m² as current price anchor at total R$882; keep Rua Ferreira Penteado 709 / 63 m² as the practical AC sala at R$1,567 package. Dr. Quirino 524 is climatized but more expensive after fees.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,"best-current/refreshed candidate; still verify before action; AC evidence may exist, re-verify exact current listing before relying on it",updated_by_P9C_turn16,confirmed_live,Dr. Quirino lacks private WC/portaria: page says shared WC and no portaria. Ferreira Penteado values/availability subject to change by owner.,https://sp.mgfimoveis.com.br/sala-centro-campinas-aluguel-sp-campinas-comercial-no-centro-campinas-301672495 | https://gjuniorimoveis.com.br/imoveis-locacao/1459-sala-comercial-com-63mts-centro-campinas-sp,listing volatility; direct contact required before action
P3-017,Campinas,2B/2C live-in,5,P9C focused verified - DEMOTED_UNAVAILABLE_EXISTING_ROWS,C stale/unavailable - targeted replacement required,"Both existing Chaves/QuintoAndar-proxy rows now show sold/rented/unavailable. Do not keep either as current action candidate. A focused replacement probe found more expensive alternatives only, not a same-price replacement.","No current actionable price/AC winner from the old pair. Replacements seen in quick focused probe were much higher (e.g., Duque de Caxias/Onze de Agosto/Botafogo AC rows), so not promoted without fuller lane refresh.",Old strict-AC row no longer current-actionable; AC lane needs replacement refresh.,Targeted replacement refresh or direct call required before action; do not treat old row as current web-closed.,P6A live refresh completed; do one final listing/agent check immediately before action.,file-backed carried-forward ; P6A_live_refreshed,yes,Centro vs Vila Portes; Cheapest Kitnet Near Santos; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6a_live_refresh_cluster_turn9_v1,"P4 archive detail: Archive carried forward Barreto Leme and Regente Feijó as the Centro live-in lane, with Barão Geraldo as a book-culture/AC sideboard rather than station/sebo core. | P6A: Keep Centro live-in lane but split price vs AC. Price winner: Rua Barreto Leme 40 m² at visible full R$1,194, no AC shown. Strict AC winner: Rua Regente Feijó 48 m² at visible full R$1,906 with explicit AC. Barão Geraldo remains a separate book-culture/AC sideboard, not station/sebo-core.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-2 SELECTIVE_REFRESH_IF_ACTING,P9C demoted old current candidate; focused replacement/phone verification needed if selected.,updated_by_P9C_turn16,demoted_unavailable_existing_rows,Important downgrade: the P6A pair is no longer current web-closed. Avoid acting on Campinas live-in lane until a replacement P9D/P10 micro-pass is done.,https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-com-garagem-sp-campinas-centro-40m2-RS800/id-35137992/ | https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-com-garagem-sp-campinas-centro-48m2-RS1200/id-32860382/ | https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-sp-campinas-centro-46m2-RS3500/id-41933184/,listing volatility; direct contact required before action
P3-005,Curitiba,2A sala,5,P9C focused verified - DEMOTED_UNAVAILABLE_CURRENT_ANCHOR,C stale/unavailable - targeted replacement required,Concrete 43 m² Chaves detail page now says sold/rented/unavailable; keep only as stale Praça Rui Barbosa axis pending replacement or direct call.,"No current actionable price anchor. Stale page still exposes R$650 rent + R$350 condo + R$100 IPTU terms in text, but availability banner controls.",No AC shown on stale price anchor.,Targeted replacement refresh or direct call required before action; do not treat old row as current web-closed.,"P6B live-refreshed; before action, call/refresh directly and verify total monthly cost, AC, address, access, and availability.",file-backed carried-forward,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6b_live_refresh_cluster_turn10_v1,"P4 archive detail: Archive gives a ranked Centro/Rui Barbosa/Emiliano Perneta sala board. Praça Rui Barbosa 32 m² at R$902 total is the cleanest cheap sala anchor; Rua Emiliano Perneta 390 is next to Sebo Líder and shows installed AC, but the fee stack is incomplete. | P6B: Live refresh no longer supports the old R$902 exact package as the clean current rental winner. Keep Praça Rui Barbosa / Ed. Ruy Barbosa as the 2A price axis, but update to a live rental band: Chaves category shows a R$600+R$407 row and the concrete detail page shows 43 m² at R$650 + R$350 condo + R$100 IPTU = R$1,100 visible. AC is not shown on the rental winner; a sale listing in the same building has AC but is not a rental winner.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-2 SELECTIVE_REFRESH_IF_ACTING,P9C demoted old current candidate; focused replacement/phone verification needed if selected.,updated_by_P9C_turn16,demoted_unavailable_current_anchor,Do not act from the old P6B Rui Barbosa detail row without direct call; page explicitly marks unavailable.,https://www.chavesnamao.com.br/imovel/sala-comercial-para-alugar-pr-curitiba-centro-100m2-RS650/id-34794147/,listing volatility; direct contact required before action
P3-006,Curitiba,2B/2C live-in,5,P9C focused verified - DEMOTED_UNAVAILABLE_CURRENT_ANCHOR,C stale/unavailable - targeted replacement required,Nilo Cairo 232 Chaves page now says sold/rented/unavailable; retain as stale/phone-call-only lead unless direct confirmation revives it.,"No current actionable price. Stale text says R$1,650 with IPTU and condominium included.",No AC shown.,Targeted replacement refresh or direct call required before action; do not treat old row as current web-closed.,"P6B live-refreshed; before action, call/refresh directly and verify total monthly cost, AC, address, access, and availability.",file-backed carried-forward,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6b_live_refresh_cluster_turn10_v1,"P4 archive detail: Archive says Curitiba can work as a single-unit strategy. Nilo Cairo/Mariano Torres at R$840 + fees is the cheapest strong Centro lead; Francisco Torres at R$1,159+ is furnished; Zacarias/Praça Rui Barbosa at R$1,226 is the strict Rui Barbosa-side unit. | P6B: Archived cheap Centro/Nilo Cairo-Mariano Torres pricing is not supported by the current live refresh. Promote Rua Nilo Cairo 232 as the current concrete Centro live-in anchor because it exposes total-included handling: R$1,650/month with IPTU and condominium included. A newer mirror at the same address is materially more expensive, so the R$1,650 row remains the price anchor but needs direct availability confirmation.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-2 SELECTIVE_REFRESH_IF_ACTING,P9C demoted old current candidate; focused replacement/phone verification needed if selected.,updated_by_P9C_turn16,demoted_unavailable_current_anchor,"Because the availability banner is explicit, do not keep Nilo Cairo as web-closed live-in winner without call/current source.",https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-pr-curitiba-centro-RS1650/id-39858015/,listing volatility; direct contact required before action
P3-002,Florianópolis,2A sala,5,P9C focused verified - CONFIRMED_PRICE_ANCHOR_AC_FALLBACK_DEMOTED,B+ call before action,Keep Jerônimo Coelho / Ed. João Alfredo micro-sala price anchor. Demote Conselheiro Mafra AC fallback because Chaves now marks it sold/rented/unavailable despite preserved AC text.,Jerônimo Coelho: R$490 rent + R$274 condo + R$140 IPTU = R$904 if IPTU included; Chaves subtotal line shows R$764 rent+condo. AC fallback no longer current-actionable.,Price anchor no AC shown; old AC fallback not current-actionable.,"Call/refresh before action: verify availability, exact address/block/unit, total monthly cost, AC only where explicit, and building/block conditions.","P6B live-refreshed; before action, call/refresh directly and verify total monthly cost, AC, address, access, and availability.",file-backed carried-forward,yes,Centro vs Vila Portes; Metro Station Safety Line 1; Property Search Continuation; Sebo Inventory Florianópolis Transit,post_all_chats_citypass_leadboard_patch_v1 ; 2026-05-04_post_multicity_property_pass_vFINAL ; 2026-05-06_p6b_live_refresh_cluster_turn10_v1,"P4 archive detail: Archive gives a ranked Centro/TICEN sala shortlist. The R$952.57 14.23 m² Jerônimo Coelho micro-sala is the cheapest serious admin/book-sorting cave; a 23.87 m² unit at R$1,067.29 and 33.14 m² two-room unit at R$1,373.38 are better usability backups. | P6B: Promote the current Rua Jerônimo Coelho / Ed. João Alfredo micro-sala band: the cheapest refreshed detail row is 18 m² at R$490 + R$274 condo + R$133 IPTU = R$897 visible; the old Ref. 613 row is essentially tied at R$898. Keep Conselheiro Mafra 220 as the AC-installed Centro fallback, but not price winner.",P7-A CURRENT_WINNER_OR_REFRESHED_WINNER,"Final board row retained at P7 stopline; P5-A winner-change refresh is closed. Do not act without direct listing/agent verification of availability, total monthly cost, exact address, AC claim, and block conditions.",No winner-change refresh pending; standard pre-action verification only if selected.,P8-1 BEST_CURRENT_OR_LIVE_REFRESHED,best-current/refreshed candidate; still verify before action; AC not confirmed from current row,updated_by_P9C_turn16,confirmed_price_anchor_ac_fallback_demoted,"Cost corrected upward from P6B because Chaves now shows IPTU R$140, not R$133. Verify whether IPTU is monthly and whether micro-sala can support storage/book sorting.",https://www.chavesnamao.com.br/imovel/sala-comercial-para-alugar-sc-florianopolis-centro-18m2-RS490/id-31800952/ | https://www.chavesnamao.com.br/imovel/sala-comercial-para-alugar-sc-florianopolis-centro-44m2-RS1500/id-24619908/,listing volatility; direct contact required before action
