country,source_name,source_url,evidence_type,claim_recorded,count_or_scope,promotion_status,qa_note
Latvia,Latvijas Grāmattirgotāju asociācija (Latvian Booksellers Association),https://gramattirgotaji.wordpress.com/,primary surface,"Association says it unites businesses dealing with book sales, printed issues and office supplies; member pages expose store names, addresses, phones, websites, and shop-network lists. Strongly useful but dated 2010-era WordPress surface.",No live national count confirmed; Zvaigzne ABC member page says 26 bookstores plus 2 outlet stores; page is dated 2010 and should be verified against current chain site.,probe_backed_only,Harvest as historical/member-grade roster with freshness flag; reconcile chain pages before promoting current physical locations.
Latvia,Latvijas Grāmattirgotāju asociācija (Latvian Booksellers Association) supporting context,https://gramattirgotaji.wordpress.com/in-english/,supporting context,Supporting association/context/profile evidence used to classify source strength.,See manifest row.,probe_backed_only,Keep separate from row-level harvest evidence until executable crawl/download exists.
Croatia,ZNK / Croatian Chamber of Economy Publishers and Booksellers list,https://znk.hr/croatian-publishers/,primary surface,"ZNK page states it lists websites/social networks of publishers and bookstores who are members of the Association; page exposes alphabetical linked names including bookshop/retailer-looking entries such as Book And More, Dobar plan, Dobra knjiga, Dominović.","No bookstore-only count; visible list is a mixed member list, not a clean bookstore registry.",probe_backed_only,"Keep as mixed-role association surface. Do not promote all ZNK rows as bookstores; classify publisher, retailer, audio/digital, festival/service."
Croatia,ZNK / Croatian Chamber of Economy Publishers and Booksellers list supporting context,https://znk.hr/about-us/,supporting context,Supporting association/context/profile evidence used to classify source strength.,See manifest row.,probe_backed_only,Keep separate from row-level harvest evidence until executable crawl/download exists.
Hungary,Hungarian Publishers’ and Booksellers’ Association (MKKE) members,https://en.mkke.hu/members,primary surface,"Members page provides filterable member-company list and detail links for contact information. Visible rows are heavily publisher/mixed trade, with some bookseller/retail entities embedded.",No bookstore-only count confirmed in probe.,probe_backed_only,"Mixed-role list: stage all rows, classify entity role, then promote only bookstores/retailer networks. Add private-directory supplement only as fallback."
Hungary,Hungarian Publishers’ and Booksellers’ Association (MKKE) members supporting context,https://en.mkke.hu/,supporting context,Supporting association/context/profile evidence used to classify source strength.,See manifest row.,probe_backed_only,Keep separate from row-level harvest evidence until executable crawl/download exists.
Slovakia,Slovak Literary Centre institution page for ZVKS,https://www.litcentrum.sk/en/institution/association-publishers-and-booksellers-slovak-republic-zvks/about,primary surface,Official literary-centre institution page identifies ZVKS as independent organisation representing publishing and commercial business interests and says it unites more than 80 members; Slovak Publishers Catalogue covers more than 100 publishing/book-trade entities.,Association-level count only: more than 80 ZVKS members; no bookstore-only row count confirmed.,probe_backed_only,"Not enough row-level bookstore evidence yet; use as association anchor and catalog-lead, not a bookstore registry. Needs member/catalog extraction before promotion."
Slovakia,Slovak Literary Centre institution page for ZVKS supporting context,https://www.litcentrum.sk/en/catalogue/slovak-publishers-catalogue,supporting context,Supporting association/context/profile evidence used to classify source strength.,See manifest row.,probe_backed_only,Keep separate from row-level harvest evidence until executable crawl/download exists.
Greece,POEV + BIBLIONET bookstore profiles,https://poev.org/,primary surface,"POEV states it represents Greek publishers and booksellers; BIBLIONET says more than 700 bookstores systematically use the database and individual bookstore profile pages expose website, address, email, and phone.","BIBLIONET services page says more than 700 bookstores use the database; this is participation/use count, not a public row count.",probe_backed_only,BIBLIONET pages are strong profile evidence but may mix publisher/bookstore identities and require search/index discovery. POEV is association context only unless member list is found.
Greece,POEV + BIBLIONET bookstore profiles supporting context,https://www.biblionet.gr/γενικά/υπηρεσίες-για-βιβλιοπωλεία,supporting context,Supporting association/context/profile evidence used to classify source strength.,See manifest row.,probe_backed_only,Keep separate from row-level harvest evidence until executable crawl/download exists.
Romania,Jacek Lewinson Central/Eastern Europe bookseller directory + Romanian association context,https://www.jaceklewinson.com/booksellers/country/Romania,primary surface,"Private CEE directory exposes Romanian bookseller entries with address, telephone, website, and email. Romanian Publishers Association/AER context confirms national book-sector association but not a bookstore member directory.",No authoritative bookstore count confirmed. Paid/private scraper pages claim larger totals but remain outside governed promotion.,probe_backed_only,Use only as fallback/seed surface. Do not treat as official registry. Cross-check entries against store websites/chains before promotion.
Romania,Jacek Lewinson Central/Eastern Europe bookseller directory + Romanian association context supporting context,https://www.aldusnet.eu/partner/romanian-publishers-association/,supporting context,Supporting association/context/profile evidence used to classify source strength.,See manifest row.,probe_backed_only,Keep separate from row-level harvest evidence until executable crawl/download exists.
