evidence_id,claim_or_observation,source_url,source_type,observed_value,governance_note
E1,"CEGAL describes Todos tus Libros as a bibliographic, public-interaction, cultural-diffusion, and commerce platform made through the union of bookshops and associations/guilds.",https://www.cegal.es/que-hacemos/proyectos-tecnologicos-y-de-innovacion/todos-tus-libros/,official CEGAL project page,platform role; bookshop-union network,"Treat as network-grade store platform, not an official government open-data registry."
E2,CEGAL states the platform centralizes book availability information daily and/or in real time and is funded by participating bookshops/associations and commercial information flows.,https://www.cegal.es/que-hacemos/proyectos-tecnologicos-y-de-innovacion/todos-tus-libros/,official CEGAL project page,daily/real-time availability flow,Keep inventory/availability observations separate from store-entity records.
E3,"TodosTusLibros “Quiénes somos” reports 4,134,504 books and 1,565,475 books for which it can show where to buy.",https://www.todostuslibros.com/servicios/quienes_somos,official TTL page,book/reference scale,Book counts are not bookstore counts; do not confuse catalogue scale with store-network scale.
E4,TTL /librerias exposes a public “Librerías asociadas” search/listing with name and province filters and a paginated list of associated stores.,https://www.todostuslibros.com/librerias,official TTL public listing,public listing surface; 32 pages observed,Static HTML listing is crawlable in principle; dynamic geolocation widgets are separate.
E5,"TTL /librerias page 1 shows store rows with store name, address, city/province, and profile links; observed page pagination runs to page 32.",https://www.todostuslibros.com/librerias,official TTL public listing,page 1 store rows + page links through 32,Use paginated crawl; profiles provide richer contact fields.
E6,TTL /librerias page 32 seeded page showed a single store row and page links through 32. This supports 31*25+1 = 776 listing rows if the page size is stable.,https://www.todostuslibros.com/librerias?page=32&seed=0.96685450522548,official TTL public listing,page 32 one row; inferred listing count 776,"Treat as probe-supported count, not a final export count, until a complete crawl hashes every profile URL."
E7,"CEGAL Mapa de Librerías 2024|2025 reports 2,754 independent bookstores identified in Spain.",https://www.cegal.es/wp-content/uploads/MAPA-DE-LIBRERIAS-2024-2025.pdf,official CEGAL PDF/report,"2,754 independent bookstores","Use this as Spain sector context, not TTL platform membership count."
E8,CEGAL Mapa de Librerías 2024|2025 reports 776 bookstores forming part of Todostuslibros.com.,https://www.cegal.es/wp-content/uploads/MAPA-DE-LIBRERIAS-2024-2025.pdf,official CEGAL PDF/report,776 TTL bookstores,This aligns with the observed 32-page TTL listing inference.
E9,"A TTL store profile exposes richer fields: store name, street address, postal code, city, province, hours, phone, website, and email.",https://www.todostuslibros.com/libreria/libreria-casa-de-la-iglesia-burgos_1474,official TTL public store profile,profile/contact fields,"Profile crawl should be used for normalized harvest, with listing crawl as profile URL discovery."
E10,CEGAL TTL documentation says an API exists for bookshop-management software to export TTL orders/import into local systems and update order status.,https://www.cegal.es/que-hacemos/proyectos-tecnologicos-y-de-innovacion/todos-tus-libros/documentacion-ttl/comercio-online/,official CEGAL documentation,API exists for order workflow,This does not establish a public bookstore-directory API; treat it as an integration clue only.
E11,TTL legal notice identifies the owner/controller as Confederación Española de Gremios y Asociaciones de Librerías (CEGAL).,https://www.todostuslibros.com/pages/aviso-legal,official TTL legal page,CEGAL owner/controller,Use CEGAL as source owner / granting network body.
