evidence_id,surface,url,observed_fact,governance_implication
JP-EHON-001,e-hon home/search snippets,https://www.e-hon.ne.jp/,"e-hon is described as Tohan-operated online bookstore with nationwide member-store pickup coverage around 3,000 stores.","Use as pickup-network surface, not statutory registry."
JP-EHON-002,e-hon receiving guide,https://www1.e-hon.ne.jp/content/guide/receive.html,Guide says users can select bookstore pickup and receive at the designated bookstore; some member stores have independent delivery services shown in receiving-store list.,Harvest pickup/delivery flags and avoid overpromoting pickup partners.
JP-EHON-003,e-hon bookstore search,https://www.e-hon.ne.jp/bec/SF/Search,"Search screen described for stores where products can be received, searchable by bookstore-name fragment or bookstore code.",Probe search parameters and codes as source_record_id.
JP-KOSHO-001,Kosho home,https://www.kosho.or.jp/,"Kosho describes a nationwide marketplace with about 1,000 used/antiquarian shops and more than 7 million inventory items.",High-value used/antiquarian overlay.
JP-KOSHO-002,Kosho shop search,https://www.kosho.or.jp/abouts/list.php,Shop-search page says users can access details/homepages of 全古書連 member used bookstores and warns some have no storefront or are office-operated.,Mandatory storefront_status_note and classification before promotion.
JP-KOSHO-003,Kosho about,https://www.kosho.or.jp/wppost/plg_WpPost_post.php?postid=82,"Kosho About says 全古書連 was re-established in 1947 and 日本の古本屋 aims to include all 2,300-plus member stores while operated by Tokyo association internet division.","Authoritative association/network context; 2,300+ is umbrella/member aspiration, not current active marketplace count."
JP-KOSHO-004,Kosho profile sample,https://www.kosho.or.jp/abouts/?id=12071500,"Profile exposes representative name, registered location in Tokyo, and association affiliation.",Useful profile field positive control.
JP-KOSHO-005,Kosho negative-control profile,https://www.kosho.or.jp/abouts/?id=14040150,Profile states no store operation and registered address is office; inventory held separately.,Strong negative-control row for storefront promotion.
JP-KOSHO-006,Kosho specialist profile,https://www.kosho.or.jp/abouts/?id=12010250,"Profile exposes registered location, association, specialist field and operating details.",Good specialist used/antiquarian candidate.
JP-KOSHO-007,Kosho sparse access profile,https://www.kosho.or.jp/abouts/?id=11000320,Profile exposes registered location/access address and TEL.,Sparse row parsing control.
