check_id,check_class,check,result,observed,notes
P9T-001,parent_bundle,parent P9S ZIP found,PASS,station_sebo_checkpoint_handoff_2026-05-07_post_p9s_alt_parked_state_maintenance_turn32_v1.zip,Used as sole parent surface for P9T.
P9T-002,parent_bundle,parent P9S ZIP flat,PASS,113,No nested paths/folders in parent.
P9T-003,parent_bundle,parent P9S contains no nested ZIPs,PASS,0,No nested zip dependency.
P9T-004,checksum,parent P9S SHA256 recorded,PASS,d215777e86a7ef111bc3ac529792b04db14ca595ab1aa58dfdea8c64b77e2ef9,Parent ZIP fingerprint recorded for future validation.
P9T-005,snapshot,authoritative stopline preserved,PASS,P9S-alt parked-state maintenance / no-contact drift-control / Turn 32,P9T does not alter candidate facts.
P9T-006,counts,main board row count preserved,PASS,74,No board mutation in P9T.
P9T-007,counts,execution ledger count preserved,PASS,38,Deferred-contact ledger unchanged.
P9T-008,counts,command packet count preserved,PASS,16,No-contact command packet unchanged.
P9T-009,counts,command core count preserved,PASS,6,Terminal command core unchanged.
P9T-010,guardrail,contact still deferred,PASS,True,P9T executed no contact.
P9T-011,guardrail,broad crawl still disabled,PASS,no_broad_crawl=True; broad_crawl_needed=0,P9T executed no broad crawl.
P9T-012,guardrail,live refresh still disabled,PASS,True,P9T executed no live listing refresh.
P9T-013,artifact_index,parent artifact index found,PASS,NON_SUPERSEDED_ARTIFACT_INDEX_2026-05-07_post_p9s_alt_parked_state_maintenance_turn32_v1.csv,P9T appends a fresh index.
P9T-014,manifest,parent checkpoint manifest found,PASS,CHECKPOINT_MANIFEST_2026-05-07_post_p9s_alt_parked_state_maintenance_turn32_v1.csv,P9T appends a fresh manifest and hash ledger.
