source_line,entity_name,raw_email,contact_person,raw_address,city,region,postal_code,phone,entity_role_primary,role_flags,qa_status,qa_note,source_url
13,Adams Booksellers (Pty) Ltd,aesterhuyse@adamsbooks.co.za,Peter Adams,341 Dr Pixley kaSeme West Street,Durban,,4001,861341341,bookshop_or_bookseller,bookstore_chain_or_bookseller,candidate_keep,Bookstore/bookseller name and address present; phone may require normalization.,https://www.sabooksellers.com/bookshops/
16,African Book Connection,mary@africanbookconnection.co.za,Mary Bothma,Status Centre 18A Chamberlain Road,East London,,5201,043 721 0841,bookshop_or_bookseller,bookstore_candidate,candidate_keep,Name and address/phone present.,https://www.sabooksellers.com/bookshops/
36,Book Nook,booknk@mweb.co.za,Vivien Clarke,99 Frere Road Vincent,East London,,5247,043 735 1671,bookshop_or_bookseller,bookstore_candidate,candidate_keep,Bookshop-like name; likely retail candidate.,https://www.sabooksellers.com/bookshops/
52,Cambridge University Press African Branch,avesty@cambridge.org,Alan Vesty,Lower Ground Floor Nautica Building The Water Club Beach Road Granger Bay,,,8005,214127800,publisher_or_institutional_member,publisher;non_retail_book_trade,mixed_role_review,"Publisher branch, not a bookstore row for main bookstore universe unless separate retail role is proven.",https://www.sabooksellers.com/bookshops/
54,Caxton Books,jferreira@caxtonbooks.co.za,Jonathan Ferreira,406 Imam Haron Road,Lansdowne,,7708,216971082,bookshop_or_bookseller,bookseller_candidate;possible_head_office,candidate_keep,Bookseller row; duplicate-ish related row at line 55 with alternate postal code/phone should be reconciled.,https://www.sabooksellers.com/bookshops/
67,CREDIT INTEREST,,,,,,,,non_entity_noise,accounting_artifact,exclude_noise,Rendered table includes apparent accounting/transaction noise; must be excluded from bookstore universe.,https://www.sabooksellers.com/bookshops/
102,Fogarty's Bookshop,fogartys3@global.co.za,Claudine Summerton,212 Main Road Walmer,Port Elizabeth,,6033,041 368 1425,bookshop_or_bookseller,bookshop,candidate_keep,Strong retail bookstore candidate.,https://www.sabooksellers.com/bookshops/
112,IH Pentz Bookellers,Ijak.Pentz@wits.ac.za,Ijak Pentz,"Shop 16 The Matrix 1 Jan Smuts Avenue East Campus, Wits University",,,2001,011 717 1758,campus_bookshop_or_bookseller,campus_bookstore;bookstore_candidate,candidate_keep,Campus bookstore/bookseller candidate.,https://www.sabooksellers.com/bookshops/
131,LAPA Publishers (A Division of Penguin Random House (Pty)Ltd),nbrand@penguinrandomhouse.co.za,Nandia Brnd,380 Bosman Street,Pretoria,,2,124010700,publisher_or_institutional_member,publisher;non_retail_book_trade,mixed_role_review,Publisher row inside SABA member table; preserve but do not auto-promote to bookstore registry.,https://www.sabooksellers.com/bookshops/
227,The Book Lounge,mervynsloman@gmail.com,Mervyn Sloman,71 Roeland Street Zonnebloem,Cape Town,,8001,214622425,bookshop_or_bookseller,bookshop;independent_bookstore_candidate,candidate_keep,Strong retail bookstore candidate.,https://www.sabooksellers.com/bookshops/
223,Takealot,marlise@takealot.com,Marlise Bosman,,,,,878205000,online_retail_or_marketplace_member,online_retailer;not_physical_bookshop,mixed_role_review,Online retailer/platform row; not a bookstore-location row.,https://www.sabooksellers.com/bookshops/
255,Way Forward Logistical Solutions t/a Way Forward Bookstore,wayforward@lantic.net,Thomas Jacob,No 9 Classic Square Borcherd Street Bult,Potchefstroom,,2531,018 294 3639,bookshop_or_bookseller,bookstore_candidate;logistics_name_overlay,candidate_keep,Trading-as bookstore row; preserve legal/trading name distinction.,https://www.sabooksellers.com/bookshops/
260,Wordsworth (Head Office),accounts@wordsworth.co.za,,,,,,217975664,bookstore_chain_head_office,chain_head_office;not_branch_location,candidate_keep_with_branch_expansion_needed,Head office row; needs branch locator or separate chain store extraction for location universe.,https://www.sabooksellers.com/bookshops/
