source_label,url,used_for,p3_ids,source_status,extracted_fact_summary
P9C Pelotas 2B/2C kitnet/AC source 1,https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-rs-pelotas-centro-22m2-RS1100/id-39206941/,P9C focused verification turn16,P3-021,web live/snippet checked 2026-05-06,Keep Rua Lobo da Costa 22 m² as strict-AC price winner; page is live/current and explicitly lists ar-condicionado. General Argolo 60 m² remains live AC fallback.
P9C Pelotas 2B/2C kitnet/AC source 2,https://rs.mgfimoveis.com.br/kitnet-1-dormitorio-para-alugar-60-m-por-r-178516mes-centro-301906918,P9C focused verification turn16,P3-021,web live/snippet checked 2026-05-06,Keep Rua Lobo da Costa 22 m² as strict-AC price winner; page is live/current and explicitly lists ar-condicionado. General Argolo 60 m² remains live AC fallback.
P9C Pelotas 2A sala source 1,https://rs.mgfimoveis.com.br/pelotas-conjunto-comercialsala-centro-aluguel-rs-pelotas-288246894,P9C focused verification turn16,P3-020,web live/snippet checked 2026-05-06,Keep Edifício Magnus / Rua Voluntários da Pátria 38 m² sala as practical 2A lead.
P9C Pelotas casa comercial source 1,https://www.chavesnamao.com.br/imovel/casa-comercial-para-alugar-rs-pelotas-centro-45m2-RS1500/id-36671436/,P9C focused verification turn16,P3-023,web checked 2026-05-06; detail page returned shell/no useful current details,Demote José do Patrocínio cheap storefront to stale/unverified in P9C because Chaves returned only a shell/no useful live details. Keep Barão de Santa Tecla 116 m² as live mission-fit casa-comercial lead.
P9C Pelotas casa comercial source 2,https://rs.mgfimoveis.com.br/pelotas-casa-comercial-centro-aluguel-rs-pelotas-299039243,P9C focused verification turn16,P3-023,web live/snippet checked 2026-05-06,Demote José do Patrocínio cheap storefront to stale/unverified in P9C because Chaves returned only a shell/no useful live details. Keep Barão de Santa Tecla 116 m² as live mission-fit casa-comercial lead.
P9C Pelotas 2D house/storage source 1,https://www.chavesnamao.com.br/imovel/casa-para-alugar-2-quartos-rs-pelotas-centro-81m2-RS900/id-27642603/,P9C focused verification turn16,P3-022,web checked 2026-05-06; page says sold/rented/unavailable,Do not keep as current winner: Chaves now marks the Doutor Amarante page sold/rented or unavailable. Retain only as archived/stale lead pending replacement.
P9C Campinas 2A sala source 1,https://sp.mgfimoveis.com.br/sala-centro-campinas-aluguel-sp-campinas-comercial-no-centro-campinas-301672495,P9C focused verification turn16,P3-016,web live/snippet checked 2026-05-06,Keep split 2A lane: Dr. Quirino 21 m² no-portaria price anchor; Ferreira Penteado 709 / SA1459 AC/practical lane.
P9C Campinas 2A sala source 2,https://gjuniorimoveis.com.br/imoveis-locacao/1459-sala-comercial-com-63mts-centro-campinas-sp,P9C focused verification turn16,P3-016,web live/snippet checked 2026-05-06,Keep split 2A lane: Dr. Quirino 21 m² no-portaria price anchor; Ferreira Penteado 709 / SA1459 AC/practical lane.
P9C Campinas 2B/2C live-in source 1,https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-com-garagem-sp-campinas-centro-40m2-RS800/id-35137992/,P9C focused verification turn16,P3-017,web checked 2026-05-06; page says sold/rented/unavailable,"Both existing Chaves/QuintoAndar-proxy rows now show sold/rented/unavailable. Do not keep either as current action candidate. A focused replacement probe found more expensive alternatives only, not a same-price replacement."
P9C Campinas 2B/2C live-in source 2,https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-com-garagem-sp-campinas-centro-48m2-RS1200/id-32860382/,P9C focused verification turn16,P3-017,web checked 2026-05-06; page says sold/rented/unavailable,"Both existing Chaves/QuintoAndar-proxy rows now show sold/rented/unavailable. Do not keep either as current action candidate. A focused replacement probe found more expensive alternatives only, not a same-price replacement."
P9C Campinas 2B/2C live-in source 3,https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-sp-campinas-centro-46m2-RS3500/id-41933184/,P9C focused verification turn16,P3-017,web live/snippet checked 2026-05-06,"Both existing Chaves/QuintoAndar-proxy rows now show sold/rented/unavailable. Do not keep either as current action candidate. A focused replacement probe found more expensive alternatives only, not a same-price replacement."
P9C Campinas 2D house/storage source 1,https://sp.mgfimoveis.com.br/casa-vila-industrial-campinas-aluguel-sp-campinas-299232956,P9C focused verification turn16,P3-018,web live/snippet checked 2026-05-06,"Keep Rua Taubaté 80 m² house as cheap 2D house/storage probe; separate R$1,500 front-independent fallback also live."
P9C Campinas 2D house/storage source 2,https://sp.mgfimoveis.com.br/casa-vila-industrial-campinas-aluguel-sp-campinas-302887861,P9C focused verification turn16,P3-018,web live/snippet checked 2026-05-06,"Keep Rua Taubaté 80 m² house as cheap 2D house/storage probe; separate R$1,500 front-independent fallback also live."
P9C Curitiba 2A sala source 1,https://www.chavesnamao.com.br/imovel/sala-comercial-para-alugar-pr-curitiba-centro-100m2-RS650/id-34794147/,P9C focused verification turn16,P3-005,web checked 2026-05-06; page says sold/rented/unavailable,Concrete 43 m² Chaves detail page now says sold/rented/unavailable; keep only as stale Praça Rui Barbosa axis pending replacement or direct call.
P9C Curitiba 2B/2C live-in source 1,https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-pr-curitiba-centro-RS1650/id-39858015/,P9C focused verification turn16,P3-006,web checked 2026-05-06; page says sold/rented/unavailable,Nilo Cairo 232 Chaves page now says sold/rented/unavailable; retain as stale/phone-call-only lead unless direct confirmation revives it.
P9C Curitiba 2D house/storage source 1,https://pr.mgfimoveis.com.br/casa-sobrado-2-quartos-capao-raso-aluguel-pr-curitiba-303374718,P9C focused verification turn16,P3-007,web live/snippet checked 2026-05-06,Keep Capão Raso cheap value-terminal winner and Lamenha Lins mission-fit fallback; neither is AC-led.
P9C Curitiba 2D house/storage source 2,https://cibraco.com.br/imovel/CA0156-PAR/casa-comercial-3-quartos-rebou%C3%A7as-curitiba/,P9C focused verification turn16,P3-007,web live/snippet checked 2026-05-06,Keep Capão Raso cheap value-terminal winner and Lamenha Lins mission-fit fallback; neither is AC-led.
P9C Florianópolis 2A sala source 1,https://www.chavesnamao.com.br/imovel/sala-comercial-para-alugar-sc-florianopolis-centro-18m2-RS490/id-31800952/,P9C focused verification turn16,P3-002,web live/snippet checked 2026-05-06,Keep Jerônimo Coelho / Ed. João Alfredo micro-sala price anchor. Demote Conselheiro Mafra AC fallback because Chaves now marks it sold/rented/unavailable despite preserved AC text.
P9C Florianópolis 2A sala source 2,https://www.chavesnamao.com.br/imovel/sala-comercial-para-alugar-sc-florianopolis-centro-44m2-RS1500/id-24619908/,P9C focused verification turn16,P3-002,web checked 2026-05-06; page says sold/rented/unavailable,Keep Jerônimo Coelho / Ed. João Alfredo micro-sala price anchor. Demote Conselheiro Mafra AC fallback because Chaves now marks it sold/rented/unavailable despite preserved AC text.
P9C Florianópolis 2B/2C live-in source 1,https://sc.mgfimoveis.com.br/alugo-kitnet-pequena-na-trindade-aluguel-sc-florianopolis-300149035,P9C focused verification turn16,P3-003,web live/snippet checked 2026-05-06,"Keep Trindade split cheap lane: Juvêncio Costa R$800 for one person with water/luz included; Radialista R$800 one-person/R$1,000 two-person with water/internet/luz included."
P9C Florianópolis 2B/2C live-in source 2,https://sc.mgfimoveis.com.br/kitinete1na1trindade1aluguel1sc1florianopolis1kitinete1mobiliada1internet1no-297346724,P9C focused verification turn16,P3-003,web live/snippet checked 2026-05-06,"Keep Trindade split cheap lane: Juvêncio Costa R$800 for one person with water/luz included; Radialista R$800 one-person/R$1,000 two-person with water/internet/luz included."
P9C Florianópolis 2D house/storage source 1,https://sc.mgfimoveis.com.br/aluguel-casa-residencial-no-centro-florianopolis-aluguel-sc-florianopolis-299201267,P9C focused verification turn16,P3-004,web live/snippet checked 2026-05-06,Keep Conselheiro Mafra Centro 1BR condo-house as price winner; keep Oge Fortkamp Trindade 3BR as AC fallback.
P9C Florianópolis 2D house/storage source 2,https://sc.mgfimoveis.com.br/alugo-casa-3-quartos-trindade-lado-ufsc-aluguel-sc-florianopolis-301386857,P9C focused verification turn16,P3-004,web live/snippet checked 2026-05-06,Keep Conselheiro Mafra Centro 1BR condo-house as price winner; keep Oge Fortkamp Trindade 3BR as AC fallback.
