province_or_territory,entity_name,city_or_note,governance_note,source_url,source_list_date
Alberta,Analog Books,Lethbridge,"CIBA static roster, March 2025",https://www.indiebookstores.ca/ciba-members/,2025-03
Alberta,Variant Edition,Edmonton,"CIBA static roster, March 2025",https://www.indiebookstores.ca/ciba-members/,2025-03
British Columbia,Rose Moon Books,mobile bookstore in Vernon,"CIBA static roster, March 2025; mobile note preserved",https://www.indiebookstores.ca/ciba-members/,2025-03
British Columbia,Four Points Books,Golden,"CIBA static roster, March 2025",https://www.indiebookstores.ca/ciba-members/,2025-03
British Columbia,Four Points Books,Invermere,"CIBA static roster, March 2025; same name/different city, dedupe carefully",https://www.indiebookstores.ca/ciba-members/,2025-03
Manitoba,McNally Robinson Booksellers,Winnipeg,"CIBA static roster, March 2025",https://www.indiebookstores.ca/ciba-members/,2025-03
Nova Scotia,Venus Envy,Halifax,"CIBA static roster, March 2025; specialty-review example",https://www.indiebookstores.ca/ciba-members/,2025-03
Northwest Territories,Yellowknife Books,Yellowknife,"CIBA static roster, March 2025",https://www.indiebookstores.ca/ciba-members/,2025-03
Ontario,Swipe Design|Books + Objects,Toronto,"CIBA static roster, March 2025; name contains pipe-like mark in rendered text",https://www.indiebookstores.ca/ciba-members/,2025-03
Ontario,World of Maps,Ottawa,"CIBA static roster, March 2025; specialty-review example",https://www.indiebookstores.ca/ciba-members/,2025-03
Prince Edward Island,Bookmark,Charlottetown,"CIBA static roster, March 2025",https://www.indiebookstores.ca/ciba-members/,2025-03
Quebec,Drawn & Quarterly,Montreal,"CIBA static roster, March 2025",https://www.indiebookstores.ca/ciba-members/,2025-03
Saskatchewan,Yellow Canary Books & Stationery,Gull Lake,"CIBA static roster, March 2025; stationery hybrid flag",https://www.indiebookstores.ca/ciba-members/,2025-03
