register_scope,p3_id,unit,bucket,p9k_alt_desk_rank,p9k_alt_desk_score,p9k_alt_hold_drop_code,p9k_alt_finalist_band,visible_cost,ac_status,primary_risk_tags,hold_drop_reason,no_contact_next_action
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-026,Santos,2D commercial,1,86.02,KEEP_DESK_FINALIST,DESK_TOP12_FINALIST,"Practical 2D fallback: R$1,600 package. Micro-sala price anchor: R$700 package. Large Tribuna Square rows range roughly R$8,519–R$12,001+ and are not current budget winners.","2-sala fallback has ar-condicionado; 20m² micro-sala has split AC; large Tribuna rows often only show AC infrastructure/espera, not necessarily installed AC.",explicit_ac_present_but_reverify;building_block_condition_check,condition/block check required,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-024,Santos,2A,2,81.02,KEEP_DESK_FINALIST,DESK_TOP12_FINALIST,"Price anchor: R$700 package with light included; portal total shows R$701 due placeholder. Practical fallback: R$1,600 package for 2/3-sala set with AC and 1 vaga.",Price anchor has split AC; 2-sala fallback has ar-condicionado.,explicit_ac_present_but_reverify;building_block_condition_check,condition/block check required,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-014,Rio de Janeiro,2B/2C live-in,3,80.34,KEEP_DESK_FINALIST,DESK_TOP12_FINALIST,"R$1,000 rent + R$336 condomínio = R$1,336/month.",Explicit AC on listing; text says ar condicionado and amenity list includes ar-condicionado.,total_monthly_cost_needs_confirmation;explicit_ac_present_but_reverify;building_block_condition_check,all-in monthly cost unresolved; condition/block check required,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-027,Brasília,2A,4,79.0,KEEP_DESK_FINALIST,DESK_TOP12_FINALIST,"R$450 rent + R$504 condo + R$98.42 IPTU/month = R$1,052.42/month package; annual fire insurance R$172.08 also listed; listing notes IPTU/TLP annual 2023 divided in six installments.","AC not shown. Amenities show elevador/lavabo/piso cerâmico, not ar-condicionado.",total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-028,Brasília,2B AC,5,77.68,KEEP_STRONG_BACKUP,DESK_TOP12_FINALIST,"Strict AC winner: R$1,000 rent + R$392 condo = R$1,392/month visible, before IPTU/utilities. Cheaper no-AC probe: R$950 + R$392 = R$1,342. Explicit-AC fallback: R$1,200 + R$372 = R$1,572.","Explicit AC in quarto on R$1,392 Monte Carlo row; cheaper R$1,342 row has no AC claim; fallback R$1,572 row has split AC.",total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify,all-in monthly cost unresolved; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-041,Belo Horizonte,2A commercial,6,77.67,KEEP_STRONG_BACKUP,DESK_TOP12_FINALIST,"Price lane: R$500 + R$314 + R$150 = R$964 visible. AC lane: R$500 + R$320 + R$153.01 = R$973.01 visible, if still current.",AC explicitly shown on Netimóveis mirror; Lugar Certo/Lugarcerto price row text does not show AC.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;explicit_ac_present_but_reverify;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-045,Foz do Iguaçu,2A,7,75.02,KEEP_STRONG_BACKUP,DESK_TOP12_FINALIST,"R$1,000 rent + R$50 condomínio + R$70 IPTU ≈ R$1,120/month package.",Explicit ar condicionado na sala on Kenlo/MGA and Chaves mirrors.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-008,Porto Alegre Centro,2A sala,8,68.68,HOLD_CITY_STRATEGY,DESK_TOP12_FINALIST,Auxiliadora: R$600 rent + R$150 condomínio + R$41 IPTU = R$791/month; insurance/guarantee packages can raise payment to about R$874–879.,No AC shown on the verified price anchor.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-009,Porto Alegre Centro,2B/2C JK/live-in,9,65.68,HOLD_CITY_STRATEGY,DESK_TOP12_FINALIST,Coronel Vicente: R$400 + R$185 condo = R$585/month. Riachuelo: R$640 + R$245 condo = R$885/month.,No AC proof on either verified JK row.,total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-016,Campinas,2A sala,10,65.36,HOLD_CITY_STRATEGY,DESK_TOP12_FINALIST,"Dr. Quirino: R$650 + R$232 = R$882/month. Ferreira Penteado: R$777 + R$583.23 + R$206.77 = R$1,567/month package.","Dr. Quirino no AC shown. Ferreira Penteado explicitly lists ar condicionado, portaria 24h and elevators.",exact_address_or_block_unresolved;ac_not_explicit_or_not_relevant;building_block_condition_check,exact address/block unresolved; condition/block check required; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-047,Foz do Iguaçu,2C,11,64.68,HOLD_CITY_STRATEGY,DESK_TOP12_FINALIST,"Apto 204: R$1,400 rent with title/package around R$1,459.17/month. Apto 104: R$1,500 rent with condomínio included. Apto 101 mirror: around R$1,559.17/month.",Explicit AC in bedrooms and sala on Aloha 204/104/101 rows.,total_monthly_cost_needs_confirmation;explicit_ac_present_but_reverify;building_block_condition_check,all-in monthly cost unresolved; condition/block check required,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-036,Francisco Morato,2A,12,63.06,HOLD_CITY_STRATEGY,DESK_TOP12_FINALIST,"Current primary rescue: COD 216659 R$1,200 rent + R$10 condo + R$32.47 monthly IPTU = R$1,242.47/month visible package. Larger fallback COD 191546: R$1,700 + R$10 condo + R$32.47 monthly IPTU = R$1,742.47/month. Suspended low rows should not be acted on without direct reactivation.",Explicit AC/climatizada on COD 216659; Fortbens page also lists Ar condicionado in characteristics. AC counts only after direct current confirmation.,exact_address_or_block_unresolved;total_monthly_cost_needs_confirmation;explicit_ac_present_but_reverify;building_block_condition_check,exact address/block unresolved; all-in monthly cost unresolved; condition/block check required,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-050,Santana do Livramento,2B,13,61.69,HOLD_LOW_PRIORITY,DESK_TOP16_EXTENDED_FINALIST,Price winner: R$600 rent + R$70 water + R$70 light + optional R$70 internet = R$740–810. Complete fallback: R$700 rent + fixed R$210 utilities/internet = R$910.,AC not shown in either row.,exact_address_or_block_unresolved;total_monthly_cost_needs_confirmation;ac_not_explicit_or_not_relevant,exact address/block unresolved; all-in monthly cost unresolved; AC not explicit,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
P9J_38_ROW_DEFERRED_CONTACT_POOL,P3-015,Rio de Janeiro,2D house/storage,14,61.34,HOLD_LOW_PRIORITY,DESK_TOP16_EXTENDED_FINALIST,"R$2,950 rent + R$35 condomínio = R$2,985/month.",Explicit AC on listing; text says split in living room and conventional AC in bedrooms.,total_monthly_cost_needs_confirmation;explicit_ac_present_but_reverify;building_block_condition_check,all-in monthly cost unresolved; condition/block check required; very high desk cost,Keep ranked for desk-only comparison; no promotion to close-ready without direct contact.
