unit,p9k_alt_city_strategy_grade,row_count,buckets_present,best_p3_id,best_bucket,best_score,best_candidate_summary,average_score,cheapest_visible_cost_brl,cheapest_p3_id,cheapest_bucket,strict_ac_or_ac_candidate_rows,commercial_2A_rows,live_in_2B_2C_rows,storage_2D_rows,station_sebo_flag_rows,major_city_transit_rows,recommended_strategy_lanes,top_risk_flags,contact_deferred_note
Santos,A_DESK_STRATEGY_LEADER,2,2A;2D commercial,P3-026,2D commercial,86.02,"Santos 2D commercial updated: Rua Amador Bueno 2/3-sala set at R$1,600 package with AC and 1 vaga is the practical commercial fallback; 20 m² R$700 micro-sala is price anchor but belongs primarily to 2A. Large Tribuna Square rows are confirmed but too expensive for this lane unless size/corporate fit matters.",83.52,700.0,P3-026,2D commercial,2,2,0,1,0,2,cheapest_viable_base;strict_ac_climate_lane;major_city_access;storage_live_work_fit,explicit_ac_present_but_reverify:2;building_block_condition_check:2,Desk-only comparison; no city is transaction-ready until direct contact confirms availability/cost/address/AC/condition/use.
Rio de Janeiro,B_STRONG_DESK_BACKUP,2,2B/2C live-in;2D house/storage,P3-014,2B/2C live-in,80.34,Keep Rua General Roca / Tijuca 24 m² AC kitnet as Rio live-in strict-AC winner.,70.84,1336.0,P3-014,2B/2C live-in,2,0,1,1,1,2,strict_ac_climate_lane;major_city_access;station_sebo_fit;storage_live_work_fit,total_monthly_cost_needs_confirmation:2;explicit_ac_present_but_reverify:2;building_block_condition_check:2,Desk-only comparison; no city is transaction-ready until direct contact confirms availability/cost/address/AC/condition/use.
Brasília,B_STRONG_DESK_BACKUP,3,2A;2B AC;2C AC challenger,P3-027,2A,79.0,"SCS Quadra 1 Bloco M Lote 30 / Edifício Gilberto Salomão, Asa Sul/SCS, 30 m² sala, 1 banheiro, 5º andar.",72.46,1052.42,P3-027,2A,3,1,2,0,2,3,strict_ac_climate_lane;major_city_access;station_sebo_fit;multi_bucket_depth,total_monthly_cost_needs_confirmation:3;explicit_ac_present_but_reverify:3;ac_not_explicit_or_not_relevant:2;building_block_condition_check:2,Desk-only comparison; no city is transaction-ready until direct contact confirms availability/cost/address/AC/condition/use.
Belo Horizonte,C_CITY_OR_MICROREGION_BACKUP,3,2A commercial;2B small residential;2C practical 2BR,P3-041,2A commercial,77.67,"Rua Juiz de Fora, Barro Preto, 30 m² sala. Price mirror: Lugar Certo R$500 + R$314 + R$150. AC mirror: Netimóveis R$500 + R$320 + R$153.01 and description includes ar condicionado.",60.7,964.0,P3-041,2A commercial,1,1,2,0,0,3,strict_ac_climate_lane;major_city_access;multi_bucket_depth,total_monthly_cost_needs_confirmation:3;ac_not_explicit_or_not_relevant:3;building_block_condition_check:3;explicit_ac_present_but_reverify:1,Desk-only comparison; no city is transaction-ready until direct contact confirms availability/cost/address/AC/condition/use.
Foz do Iguaçu,C_CITY_OR_MICROREGION_BACKUP,2,2A;2C,P3-045,2A,75.02,"Foz 2A remains Avenida Brasil 720 / Edifício Comercial João Plínio SA0098/SA0099: 34–36 m² Centro sala, 1 banheiro, explicit ar condicionado na sala, good Centro/Avenida Brasil office spine.",69.85,1120.0,P3-045,2A,2,1,1,0,1,0,strict_ac_climate_lane;station_sebo_fit,total_monthly_cost_needs_confirmation:2;building_block_condition_check:2;ac_not_explicit_or_not_relevant:1;explicit_ac_present_but_reverify:1,Desk-only comparison; no city is transaction-ready until direct contact confirms availability/cost/address/AC/condition/use.
Porto Alegre Centro,D_HOLD_UNLESS_CITY_SELECTED,3,2A sala;2B/2C JK/live-in;2D house/storage,P3-008,2A sala,68.68,Keep Auxiliadora Predial ref 390785 / Rua dos Andradas 16 m² sala as the current Porto Alegre 2A price anchor; treat Andradas 1137/Galeria Malcon as optional fallback seams unless refreshed directly.,61.25,585.0,P3-009,2B/2C JK/live-in,0,1,1,1,1,3,cheapest_viable_base;major_city_access;station_sebo_fit;storage_live_work_fit;multi_bucket_depth,total_monthly_cost_needs_confirmation:3;ac_not_explicit_or_not_relevant:3;building_block_condition_check:3;explicit_ac_present_but_reverify:1,Desk-only comparison; no city is transaction-ready until direct contact confirms availability/cost/address/AC/condition/use.
Campinas,D_HOLD_UNLESS_CITY_SELECTED,2,2A sala;2D house/storage,P3-016,2A sala,65.36,Keep split 2A lane: Dr. Quirino 21 m² no-portaria price anchor; Ferreira Penteado 709 / SA1459 AC/practical lane.,59.03,882.0,P3-016,2A sala,1,1,0,1,0,2,strict_ac_climate_lane;major_city_access;storage_live_work_fit,exact_address_or_block_unresolved:2;ac_not_explicit_or_not_relevant:2;building_block_condition_check:2;total_monthly_cost_needs_confirmation:1,Desk-only comparison; no city is transaction-ready until direct contact confirms availability/cost/address/AC/condition/use.
Francisco Morato,D_HOLD_UNLESS_CITY_SELECTED,1,2A,P3-036,2A,63.06,"Promote Fortbens COD 216659 as the current Francisco Morato 2A price/AC rescue: Centro, 36 m² listing shell with A/C 27 m² text, 1 banheiro, climatizada, ponto hidráulico, prédio comercial, near station/services; direct page says Disponibilidade: Disponível. Keep COD 191546 52 m² R$1,700 available as larger fallback. Treat COD 182973 47 m² R$1,500 and COD 214463 35 m² R$1,450 as suspended despite appearing in similar/list pages.",63.06,1242.47,P3-036,2A,1,1,0,0,1,0,strict_ac_climate_lane;station_sebo_fit,exact_address_or_block_unresolved:1;total_monthly_cost_needs_confirmation:1;explicit_ac_present_but_reverify:1;building_block_condition_check:1,Desk-only comparison; no city is transaction-ready until direct contact confirms availability/cost/address/AC/condition/use.
Santana do Livramento,D_HOLD_UNLESS_CITY_SELECTED,3,2A;2B;2D,P3-050,2B,61.69,"Centro, same quadra da UNIPAMPA, direct-owner kitchenette/JK row with individualized entrance; backup furnished JK also central/UNIPAMPA.",53.6,740.0,P3-050,2B,0,1,1,1,1,0,cheapest_viable_base;station_sebo_fit;storage_live_work_fit;multi_bucket_depth,total_monthly_cost_needs_confirmation:3;ac_not_explicit_or_not_relevant:3;building_block_condition_check:2;exact_address_or_block_unresolved:1,Desk-only comparison; no city is transaction-ready until direct contact confirms availability/cost/address/AC/condition/use.
Pelotas,D_HOLD_UNLESS_CITY_SELECTED,2,2A sala;2B/2C kitnet/AC,P3-021,2B/2C kitnet/AC,61.02,Keep Rua Lobo da Costa 22 m² as strict-AC price winner; page is live/current and explicitly lists ar-condicionado. General Argolo 60 m² remains live AC fallback.,57.19,940.0,P3-020,2A sala,1,1,1,0,0,0,strict_ac_climate_lane,exact_address_or_block_unresolved:2;total_monthly_cost_needs_confirmation:2;building_block_condition_check:2;explicit_ac_present_but_reverify:1;ac_not_explicit_or_not_relevant:1,Desk-only comparison; no city is transaction-ready until direct contact confirms availability/cost/address/AC/condition/use.
