country,evidence_text,source_url,evidence_type,confidence
Brazil,ANL home says it is a non-profit class association that congregates associated bookstores and supports the bookseller market.,https://www.anl.org.br/v1/,authority_scope,high
Brazil,"ANL public associates page exposes member blocks with display names, website links, addresses, cities/states, and phones; examples include A Degustadora, A Página, Bibla Livraria, Círculo Livraria, Livraria da Travessa, etc.",https://www.anl.org.br/v1/associados/,field_surface,high
Brazil,"ANL services/Anuário pages say the national bookstore yearbook provides an updated listing of bookstores in Brazil organized by regions, municipalities, and states; 2023 edition exists but PDF/Excel access is controlled/paid.",https://www.anl.org.br/v1/anuario-nacional-de-livrarias-5a-edicao-2023/,controlled_enrichment,high
Chile,"Frankfurt 2027 official ecosystem directory page exposes contact-directory download links for editoriales, distribuidoras, and librerías.",https://frankfurt2027.cultura.gob.cl/ecosistema-editorial/directorio-de-contactos/,download_candidate,high
Chile,Frankfurt 2027 ecosystem context page names major Chile book ecosystem associations and says the book ecosystem includes multichannel sale patterns.,https://frankfurt2027.cultura.gob.cl/ecosistema-editorial/,context,medium
Chile,Google Sheets link opens a view-only JS shell named 'Prueba directorio Mincap'; row content was not extractable in this runtime.,https://docs.google.com/spreadsheets/d/1KOim9Nn70VElqYEEQ7pz7aAmVNPJYKBmFi3TrFVRi6E/edit?usp=sharing,runtime_limitation,medium
Peru,"CPL directory page exposes static member blocks with names, addresses, phone numbers, and website links; examples include LIBRERIA DEPORVIDA and LIBRERÍA OCULTA.",https://cpl.org.pe/directorio-asociados/,field_surface,high
Peru,"FIL Lima organizer page describes CPL as a non-profit trade/cultural association including publishers, university presses, distributors, booksellers, installment-book-sales organizations, research/documentation centers, reading-promotion entities, and book clubs; it says CPL has more than 130 members.",https://www.fillima.com.pe/organizador/,authority_scope,high
Uruguay,"CUL Socios page separates member categories General, Librerías, Editoriales, Distribuidoras and renders category labels and names; examples include Amazonia, América Latina, Bookshop, Buscalibre, Escaramuza, Puro Verso.",https://cul.com.uy/socios/,field_surface,high
Uruguay,"CUL institutional page says the chamber brings together booksellers, publishers, and distributors and works for promotion and defense of books in Uruguay.",https://cul.com.uy/institucional/,authority_scope,high
Costa Rica,"CCL active-members page exposes static blocks with member name, contact person, email, and website; examples include DCC/Librería Internacional, Everything Faith Bookstore, El Librero Pandeado, Librería Lehmann.",https://cclcr.com/asociados/,field_surface,high
Costa Rica,"CCL Conózcanos page says it promotes creation, production, and commercialization of books and aims to develop/professionalize members and protect book/reading activities.",https://cclcr.com/conozcanos/,authority_scope,high
