rank,macroregion,country_or_source,source_name,source_class,harvest_status,primary_url,validated_surface,extraction_plan,minimum_fields_to_map,typing_rules,caveats,next_probe
1,LATAM,Mexico,SIC Directorio de librerías y puntos de venta,registry-grade,probe_complete_raw_retry_needed,https://sic.cultura.gob.mx/datos.php?table=libreria,"SIC live national page reports 1,351 total Librerías; SIC state-count page reports 1,351 and the 32-state counts sum to 1,351. Open-data page exposes JSON/CSV/XML/metadata links and timestamp 2026-04-25 12:00:52. JSON endpoint opened in web tool and confirmed field structure; direct file persistence still requires retry in networked runtime.","Run included Mexico SIC harvester script to download JSON, CSV, XML, and metadata XLSX; compute file hashes and row counts; normalize JSON as primary, then compare CSV row count/hash. Use state-count ledger as current live count checkpoint.",country_or_territory; state; municipality; locality; entity_name; address; colonia; postal_code; phone1; phone2; email; website; latitude; longitude; source_modified; source_record_id; source_url,Set entity_role_primary from name/adscripcion; flag chain_branch for Sanborns/FCE/Educal/Gandhi-style branch names; flag religious_bookstore for Catholic/San Pablo/religious entities; flag stationery_hybrid only when name or adscripcion implies papelería/stationery.,"Current governed live count = 1,351. SIC all-resources category page separately shows 1,350 for Librerías y puntos de venta; preserve as unresolved source-surface mismatch. datos.gob.mx catalog resource is older/static with last data update 2025-05-10, metadata update 2025-05-27, size 537.4 KiB. Rows include chains/institutional sales points, blank-name row(s), 0.00000 coordinates, and 1000-01-01 sentinel dates.",Run harvester in networked runtime; ingest normalized CSV only after raw JSON/CSV counts and hashes are captured.
2,LATAM,Argentina,SInCA / Datos Argentina Mapa Cultural: Librerías,registry-grade,metadata_probe_complete_download_blocked_current_runtime,https://datos.gob.ar/dataset/cultura-mapa-cultural-espacios-culturales/archivo/cultura_ee6ec36e-e4f2-42a0-adb8-525f0cb93c87,"Datos Argentina and origin portal expose Librerías CSV resource; schema, format, annual frequency, creation date, and last-change date observed. Direct CSV URL identified but raw download blocked in current runtime.","Run included harvester in networked runtime; download direct CSV; compute row count, province distribution, update-year distribution; normalize while preserving categoria, fuente, tipo_gestion, actualizacion.",province; department; locality; entity_name; address; postal_code; phone_area; phone; email; website_or_social; latitude; longitude; coordinate_type; source; management_type; update_year,"Default bookstore=true; used_antiquarian=true only if name/source indicates used or antiquarian, despite definition including new and/or used; preserve public/private/mixed management as a separate field.","Official/open data but stale-sensitive: resource last change observed as 2022-05-03. Data explorer/preview unavailable; current runtime could not fetch raw CSV, so exact row count remains uncomputed.",Execute harvester externally or in a runtime with DNS access; write raw CSV + normalized CSV + QA counts/hashes; then spot-check stale rows.
3,Iberia,Spain,CEGAL / Todos tus libros,network-grade / registry-network,static_listing_probe_complete_full_harvest_needed,https://www.todostuslibros.com/librerias,"CEGAL official project page confirms TTL as sector platform; TTL /librerias exposes public associated-bookshop listing with profile pages; CEGAL Mapa de Librerías 2024|2025 reports 776 TTL platform bookstores and 2,754 independent bookstores in Spain; visible TTL pagination supports 776 via 32 pages with one row on the final page.","Run included Spain TTL harvester in networked runtime: crawl /librerias pages for profile URLs, then crawl /libreria/<slug>_<id> profiles for address/contact fields. Produce profile URL ledger, normalized profile CSV, raw HTML, row-count QA, and hash manifest. Keep title inventory/availability observations separate from store entities.",country; source_platform; source_owner; source_record_id; store_name; street_address; postal_code; city; province; phone; email; website; hours; source_profile_url; source_listing_page; platform_membership,"Default platform_membership=ttl_associated_bookshop. Treat source as network-grade, not government open data. Do not use CEGAL 2,754 Spain-wide independent-bookstore census as TTL row count. Flag hybrid/store-type only from source name or profile content, not by assumption.","No public bulk CSV/JSON export found in this probe. The 776 count is official-report plus static-pagination supported, but full raw crawl and hash ledger remain pending. Dynamic location and inventory widgets may expose additional signals but should not be mixed into the bookstore-entity table.","Run full polite paginated/profile crawl; verify unique profile URL count against 776; preserve raw HTML and profile-level hashes. If deferred, proceed to Poland OBK with Spain marked full_crawl_ready."
4,Europe,Poland,Ogólnopolska Baza Księgarń OBK,registry-grade,static_listing_probe_complete_full_harvest_needed,https://obk.pik.org.pl/,"OBK official surfaces verify registry-grade national bookstore base. Institute of Books describes OBK as free public database of Polish stationary bookstores with address, activity profile, website, and more, built from bookseller submissions. OBK statistics archive reports 1,592 locations and 921 independent at end-March 2026; homepage live counter observed 1,584 księgarnie and 83 klubokawiarnie. Search/listing pages expose filters, static rows, pagination, and row fields.","Run included OBK harvester in networked runtime: discover unfiltered listing route/API if present; crawl static /search pages and paginated variants; preserve raw HTML; parse row blocks for names, phones, hours, obfuscated email, websites, address/postal/city/voivodeship, map links, awards/certificates; reconcile unique rows against live counter and dated statistics.",country; source_name; source_class; source_record_id_if_found; store_name; chain_or_network_name; phone; hours; email_obfuscated; website; street_address; postal_code; city; voivodeship; map_url; awards_certificates; bookstore_type; assortment_profile; source_url,"Treat OBK as registry-grade. Preserve source chain/network labels. Keep independent/chain from source where exposed; otherwise infer only after known-chain audit. Keep used/antiquarian as overlay when type/assortment/name indicates antykwariat or used-book profile. Keep club-café as separate flag, not a bookstore replacement.","No public bulk CSV/JSON confirmed in this probe. Count signals conflict by context: dated statistics 1,592/921, homepage live counter 1,584 bookstores and 83 club-cafes, filtered search counts 249 and 425. Do not collapse until full crawl/API inspection.",Run full polite OBK crawl in networked runtime; identify canonical unfiltered listing; compute unique row count and split filtered overlays; preserve raw HTML and hash manifest.
5,Africa,South Africa,SA Booksellers bookshops member table,member-grade / industry-network directory,static_member_table_probe_complete_role_filter_needed,https://www.sabooksellers.com/bookshops/,"SA Booksellers /bookshops page exposes Current members table with header Bookstore, EmailAddress, FirstName, SAAddressLine1-4, SACity, SARegion, SAPostalCode, PhoneNumber. Parsed text line span 12-260 gives 249 raw row-like candidate lines, but the member table includes non-bookshop and noise rows.",Fetch and archive /bookshops/ HTML; parse Current members block; preserve raw rendered line and HTML block; use email as strong delimiter where present; extract terminal phone candidate; classify entity_role_primary before promotion; exclude accounting/noise artifacts; split head-office/branch cases; preserve publishers/distributors/platforms in member-grade side table.,country_or_territory; entity_name; raw_email; contact_person; raw_address; city; region; postal_code; raw_phone; entity_role_primary; role_flags; qa_status; source_url; source_line_or_order,Promote only true bookshop/bookseller/campus bookstore candidates after QA. Mark stationers and school/office suppliers as stationery_hybrid; publishers/presses/PASA/councils as publisher_or_institutional_member; distributors/logistics/services as non_store_book_trade; Takealot/Snapplify as online/platform; Head Office as branch_expansion_needed; Admin/Bank/Credit/Digital Payment/Transaction rows as exclude_noise.,"Not a clean national bookstore registry. It is a public SABA member table for the book trade and includes storefront bookstores, stationery hybrids, publishers, distributors, professional services, chain head offices, online platforms, and apparent accounting/noise artifacts. Raw candidate line count should not be cited as bookstore count.",Run harvester in networked runtime to capture raw HTML and parsed candidates; produce role-filtered staging table; then proceed to United States ABA/IndieBound endpoint probe.
6,North America,United States,ABA BookWeb / IndieBound,registry/network,needs_query_endpoint_probe,https://www.bookweb.org/member_directory/search/ABAmember,ABA exposes a Bookseller Member Directory search and IndieBound exposes an indie-store finder; IndieBound results are member stores and can include ownership-identity filters.,Probe directory form parameters and IndieBound finder; use state/city sweeps only if permitted; preserve ABA member vs IndieBound public listing as separate source layers.,store_name; city; state; zip; address; phone; website; ownership_identity_public_flags; source_layer,Default independent bookstore/member; ownership identity fields are optional and public-only; do not infer missing identity data.,Search forms may require query inputs and may not expose bulk export; avoid overclaiming completeness if only finder-accessible.,Test form POST/GET parameters with one city/state; inspect if results paginate.
7,North America,Canada,CIBA / IndieBookstores.ca,registry/network,needs_static_dynamic_probe,https://www.indiebookstores.ca/bookstores/,IndieBookstores.ca has a Find an Independent Bookstore page with province and service filters; CIBA member bookstore list is available separately as March 2025.,Crawl bookstore finder and CIBA member-list page separately; treat bookstore finder and membership list as two overlays.,store_name; address; city; province; services; website; source_layer; member_list_date,"Default independent bookstore; services like stationery/cafe/games are attributes, not role replacement; CIBA member rows require date stamp.","Visible page includes placeholders before dynamic content loads; the complete data may be embedded JS or API-backed. CIBA member list date is March 2025, not necessarily current.",Inspect JS/API payload; compare all-bookstores page with CIBA member list.
8,Oceania,Australia,BookPeople / Love Your Bookshop Find a Bookshop,registry/network,needs_wordpress_probe,https://loveyourbookshop.org.au/find-a-bookshop/,"BookPeople/Love Your Bookshop has a Find a Bookshop surface and individual store pages with email, phone, website, online-only status and store descriptions.",Use site search/sitemap/WordPress endpoints if available; crawl /store/ profile pages and normalize online-only vs physical shop.,store_name; description; address/suburb/state; online_only; email; phone; website; source_profile_url,Flag online_only when stated; used_antiquarian when store description says secondhand/antiquarian; chain_branch only from brand/branch evidence.,Some profiles are online-only or used/antiquarian; do not collapse into general physical new-book stores.,Probe sitemap and WordPress REST; crawl store profiles; build online-only and used overlays.
9,Oceania,New Zealand,Booksellers Aotearoa / BookHub,registry/network,needs_circlepos_probe,https://bookhub.co.nz/,BookHub is presented by Booksellers Aotearoa NZ and exposes member bookshop/inventory surfaces; its About page states it brings together shelves of 70+ independent bookshops.,"Identify store pages, stock/find-store payloads and CircleSoft/CirclePOS endpoints; separate store entity rows from stock-by-title observations.",store_name; city/suburb; profile_url; inventory_enabled; stock_count_signals; website; source_layer,"Default independent/member network; keep BookHub inventory rows as observations linked to store entities, not standalone stores.","BookHub is an inventory-commerce network, not a national statutory registry; storefront coverage may be smaller than all NZ booksellers.",Probe BookHub store/profile index; inspect Find Store calls for API shape.
10,East Asia,Japan,e-hon bookstore network + Nihon no Furuhon-ya/Kosho,network + used-antiquarian overlay,split_probe_required,https://www.e-hon.ne.jp/bec/SF/Search,e-hon exposes bookstore-network search for pickup/receiving bookstores; Kosho/Nihon no Furuhon-ya is operated by old-book dealer associations and describes affiliated old-book stores/dealers.,"Split into two manifests: new-book/pickup bookstore network from e-hon, and used/antiquarian overlay from Kosho. Probe prefecture search and dealer/store info pages separately.",store_name; prefecture; municipality; address; source_layer; pickup_network_flag; used_antiquarian_flag; association_affiliation; profile_url,"For e-hon, avoid marking pickup-only partners as full bookstores unless store profile confirms retail bookstore. For Kosho, flag used_antiquarian=true and keep separate from new-book retail.",Japan lane is rich but not one clean registry. New-book/pickup and old-book dealer ecosystems need separate counts and dedupe later.,Run Tokyo-prefecture e-hon scrape dry test; run Kosho dealer listing probe; design dedupe key.
